# каталог линий из веб-конструктора ROI (Becqmoni)
# https://vibeengineering-llc.github.io/becqmoni-roi-wizard/
нуклид;E_кэВ;выход_%;окно_низ_кэВ;окно_верх_кэВ;T_1_2_лет;имя
XI;29.250;190.5;28.30;33.00;1e+09;ХРИ I Kα1 (28.3–33.0)
Bi212;39.857;1.06;;;0.000115123;Bi-212 (Th-232)
XW;60.180;188.9;58.00;67.20;1e+09;ХРИ W Kα1 (58.0–67.2)
Th232;63.810;0.263;;;1.39997e+10;Th-232
XW;69.070;7.6;;;1e+09;ХРИ W Kβ2
Tl208;74.160;1.977;72.80;75.00;5.80462e-06;Tl-208 X KA1 (Th-232) (72.8–75.0)
Pb212;76.250;26.8;74.80;77.10;0.00121173;Pb-212 X KA1 (Th-232) (74.8–77.1)
Th228;84.373;1.188;;;1.91156;Th-228 (Th-232)
Pb212;88.200;15.01;87.40;89.80;0.00121173;Pb-212 X KB (Th-232) (87.4–89.8)
Ac228;93.590;6.563;90.00;100.00;0.000701574;Ac-228 X KA1 (Th-232) (90.0–100)
Ac228;106.320;2.7;106.00;107.00;0.000701574;Ac-228 X KB (Th-232) (106–107)
Ac228;129.310;2.47;129.00;141.00;0.000701574;Ac-228 (Th-232) (129–141)
Ac228;210.020;4.762;204.00;215.00;0.000701574;Ac-228 (Th-232) (204–215)
Pb212;238.632;43.6;;;0.00121173;Pb-212 (Th-232)
Ra224;240.986;4.1;;;0.00994278;Ra-224 (Th-232)
Ac228;270.850;3.692;270.00;282.00;0.000701574;Ac-228 (Th-232) (270–282)
Tl208;277.371;2.372;;;5.80462e-06;Tl-208 (Th-232)
Bi212;288.200;0.337;;;0.000115123;Bi-212 (Th-232)
Pb212;300.087;3.3;;;0.00121173;Pb-212 (Th-232)
Ac228;335.910;15.34;322.00;341.00;0.000701574;Ac-228 (Th-232) (322–341)
Ac228;409.462;1.92;;;0.000701574;Ac-228 (Th-232)
Bi212;455.400;0.413;453.00;473.00;0.000115123;Bi-212 (Th-232) (453–473)
Ac228;462.400;4.521;440.00;463.00;0.000701574;Ac-228 (Th-232) (440–463)
Tl208;510.770;8.122;;;5.80462e-06;Tl-208 (Th-232)
Rn220;549.730;0.114;;;1.76186e-06;Rn-220 (Th-232)
Tl208;583.190;30.57;583.00;588.00;5.80462e-06;Tl-208 (Th-232) (583–588)
Ac228;673.720;2.418;652.00;677.00;0.000701574;Ac-228 (Th-232) (652–677)
Bi212;727.330;6.67;;;0.000115123;Bi-212 (Th-232)
Bi212;785.370;1.102;;;0.000115123;Bi-212 (Th-232)
Ac228;788.440;6.365;772.00;795.00;0.000701574;Ac-228 (Th-232) (772–795)
Ac228;836.000;3.11;825.00;840.00;0.000701574;Ac-228 (Th-232) (825–840)
Tl208;860.557;4.492;;;5.80462e-06;Tl-208 (Th-232)
Bi212;893.408;0.378;;;0.000115123;Bi-212 (Th-232)
Ac228;911.120;26.66;904.00;944.00;0.000701574;Ac-228 (Th-232) (904–944)
Ac228;967.900;21.38;948.00;989.00;0.000701574;Ac-228 (Th-232) (948–989)
Bi212;1078.620;0.564;;;0.000115123;Bi-212 (Th-232)
Bi212;1512.700;0.29;;;0.000115123;Bi-212 (Th-232)
Ac228;1585.660;3.998;1557.00;1588.00;0.000701574;Ac-228 (Th-232) (1557–1588)
Bi212;1620.500;1.47;;;0.000115123;Bi-212 (Th-232)
Ac228;1635.130;2.467;1625.00;1678.00;0.000701574;Ac-228 (Th-232) (1625–1678)
Tl208;2614.511;35.85;;;5.80462e-06;Tl-208 (Th-232)
