metric,value
n_events,300000000
n_hits_in_crystal,77918
flux_total_cm2_s,0.00494821
surface_cm2,11309.73355
rate_per_s,13.99073417
t_run_s,21442763.22
cps_total,0.003633766749
shield,0
shield_pb_mm,0
shield_cavity_mm,none

bin_keV,counts,cps
224,78,3.637590883e-06
225,117,5.456386325e-06
226,62,2.891418394e-06
227,80,3.730862444e-06
228,72,3.3577762e-06
229,102,4.756849616e-06
230,60,2.798146833e-06
231,104,4.850121178e-06
232,46,2.145245905e-06
233,84,3.917405566e-06
234,81,3.777498225e-06
235,119,5.549657886e-06
236,61,2.844782614e-06
237,102,4.756849616e-06
238,73,3.40441198e-06
239,113,5.269843203e-06
240,39,1.818795442e-06
241,123,5.736201008e-06
242,32,1.492344978e-06
243,106,4.943392739e-06
244,48,2.238517467e-06
245,107,4.990028519e-06
246,23,1.072622953e-06
247,72,3.3577762e-06
248,39,1.818795442e-06
249,140,6.529009277e-06
250,36,1.6788881e-06
251,95,4.430399153e-06
252,21,9.793513916e-07
253,106,4.943392739e-06
254,26,1.212530294e-06
255,178,8.301168938e-06
256,24,1.119258733e-06
257,125,5.829472569e-06
258,39,1.818795442e-06
259,65,3.031325736e-06
260,24,1.119258733e-06
261,106,4.943392739e-06
262,28,1.305801855e-06
263,104,4.850121178e-06
264,23,1.072622953e-06
265,92,4.290491811e-06
266,23,1.072622953e-06
267,86,4.010677128e-06
268,25,1.165894514e-06
269,140,6.529009277e-06
270,17,7.928082694e-07
271,90,4.19722025e-06
272,31,1.445709197e-06
273,110,5.129935861e-06
274,22,1.025987172e-06
275,68,3.171233078e-06
276,18,8.3944405e-07
277,105,4.896756958e-06
278,23,1.072622953e-06
279,60,2.798146833e-06
280,27,1.259166075e-06
281,69,3.217868858e-06
282,15,6.995367083e-07
283,89,4.150584469e-06
284,14,6.529009277e-07
285,51,2.378424808e-06
286,20,9.327156111e-07
287,66,3.077961517e-06
288,27,1.259166075e-06
289,67,3.124597297e-06
290,26,1.212530294e-06
291,55,2.56496793e-06
292,13,6.062651472e-07
293,69,3.217868858e-06
294,25,1.165894514e-06
295,55,2.56496793e-06
296,25,1.165894514e-06
297,57,2.658239492e-06
298,19,8.860798305e-07
299,62,2.891418394e-06
300,16,7.461724889e-07
301,53,2.471696369e-06
302,18,8.3944405e-07
303,47,2.191881686e-06
304,18,8.3944405e-07
305,58,2.704875272e-06
306,24,1.119258733e-06
307,42,1.958702783e-06
308,20,9.327156111e-07
309,54,2.51833215e-06
310,16,7.461724889e-07
311,52,2.425060589e-06
312,25,1.165894514e-06
313,34,1.585616539e-06
314,17,7.928082694e-07
315,38,1.772159661e-06
316,21,9.793513916e-07
317,60,2.798146833e-06
318,28,1.305801855e-06
319,47,2.191881686e-06
320,20,9.327156111e-07
321,31,1.445709197e-06
322,20,9.327156111e-07
