energy_keV,diff_cps
-3.7,0.00028583095140873824
-1.3,0.0003037974683544304
1.2,-0.00508392658703363
3.6,-0.005940482382542738
6.1,-0.006470140414244568
8.5,-0.0059579770962088895
11.0,0.00015543450963945334
13.4,0.010577197525670583
15.9,0.017365137084213115
18.3,0.020091063886456505
20.8,0.021656924314639947
23.2,0.0232850590167483
25.7,0.023957859331068653
28.1,0.025642670642296493
30.6,0.0270560815511459
33.0,0.0296483401246989
35.5,0.032823710345853775
37.9,0.0371881181577217
40.4,0.04044157266798056
42.8,0.04434694229725054
45.3,0.04820652173149008
47.8,0.052993943802943616
50.2,0.05572932539518772
52.7,0.05933290235773787
55.1,0.06272950577576421
57.6,0.0664011014241006
60.1,0.0694262914593297
62.5,0.07166728959768098
65.0,0.07404844931286503
67.4,0.07555043665620545
69.9,0.07711126419140764
72.4,0.07696316321003091
74.8,0.07585798467620514
77.3,0.0747291829778939
79.8,0.07279845849162733
82.2,0.07135924822128484
84.7,0.06894490872139022
87.2,0.06667631462690074
89.6,0.0653208650393455
92.1,0.06330784653620151
94.6,0.062327636963310194
97.0,0.060093719431860815
99.5,0.05912820869503671
102.0,0.05704210519616496
104.5,0.055577848702888386
106.9,0.05470583813666411
109.4,0.052957391769049574
111.9,0.051807182447523796
114.4,0.050685729747771774
116.8,0.049130418697035425
119.3,0.04808275347241372
121.8,0.04615223386783261
124.3,0.04465717862179692
126.7,0.04394703623543968
129.2,0.04186715157077681
131.7,0.041302594872108925
134.2,0.0396366487586302
136.7,0.03819518301604048
139.1,0.03707865877103081
141.6,0.035327192899082406
144.1,0.034486521689686245
146.6,0.034235185869729845
149.1,0.032048787185551514
151.6,0.030959726030769973
154.0,0.03081094563966622
156.5,0.029006304194911542
159.0,0.028479016368721174
161.5,0.02748226995381575
164.0,0.026509387049831492
166.5,0.02571028223635244
169.0,0.02482641175817639
171.5,0.02451237183881873
173.9,0.023550393840115674
176.4,0.022402631894205945
178.9,0.02203628553162272
181.4,0.021535727322866845
183.9,0.02085565256902599
186.4,0.01989523128625959
188.9,0.01920633282571637
191.4,0.01887573970516621
193.9,0.018220251770908306
196.4,0.017249322672381384
198.9,0.01642834560466027
201.4,0.016197544926715796
203.9,0.01554210302107602
206.4,0.015389626500913587
208.9,0.014829819237201322
211.4,0.014209790816888295
213.9,0.013853957730917375
216.4,0.013379514558188322
218.9,0.013068492508107276
221.4,0.012718878031840278
223.9,0.012198669086552726
226.4,0.012080032384368654
228.9,0.012086941624427819
231.4,0.01144363801665715
233.9,0.011027549716728414
236.4,0.010812516700387456
238.9,0.010331151568923263
241.4,0.0099885770762557
243.9,0.009879663659099522
246.4,0.00916433859186884
248.9,0.008862571966062783
251.5,0.008321932330250388
254.0,0.008001128292775727
256.5,0.007869225097413016
259.0,0.0073019695882403845
261.5,0.007480346722122199
264.0,0.007122523194296095
266.5,0.0067905836778168315
269.0,0.0066740268905831415
271.6,0.006418444448960417
274.1,0.006327530872871094
276.6,0.005995766547760496
279.1,0.00605553233513967
281.6,0.005908190867503434
284.1,0.00581687355217266
286.7,0.0055128484836964005
289.2,0.005528466727938382
291.7,0.005361698952526929
294.2,0.0052701271294304285
296.8,0.004970995338541385
299.3,0.005057215004817375
301.8,0.0046726122725894775
304.3,0.004525843759385567
306.8,0.0044342430156967235
309.4,0.004315835005412463
311.9,0.004140725919018324
314.4,0.003988872677942606
316.9,0.004089418445593232
319.5,0.004214384159456132
322.0,0.003938963893200656
324.5,0.0037324177862167723
327.1,0.0037587107716242534
329.6,0.0036676381980750676
332.1,0.003745976399978752
334.7,0.003578983320937046
337.2,0.0036117214928305724
339.7,0.00355582214700322
342.3,0.003485248831267383
344.8,0.0033339652709747
347.3,0.00323335641014422
349.9,0.0032248656288291337
352.4,0.002901169883322634
354.9,0.003150383029844966
357.5,0.0029407496043052407
360.0,0.00283835845683814
362.5,0.002823281420789357
365.1,0.0025997032968055117
367.6,0.0027071274095409525
370.2,0.002546846570291612
372.7,0.0022692355705800525
375.2,0.002320086124617132
377.8,0.0021430547701269077
380.3,0.002189437588911765
382.9,0.002188537009018848
385.4,0.002142456644761209
388.0,0.0020932466223424527
390.5,0.001995174828195505
393.1,0.001939597252314742
395.6,0.0019165518660833923
398.1,0.0018130653940797367
400.7,0.0018479122460411741
403.2,0.001822768644855094
405.8,0.001697213755579692
408.3,0.0016781924518593284
410.9,0.001727394035711026
413.4,0.0015819258198868315
416.0,0.0016114879595922245
418.5,0.0016041510502724774
421.1,0.0015846040487436626
423.7,0.001617518712243178
426.2,0.0014934238901283161
428.8,0.0015097856477887261
431.3,0.0015311378374664674
433.9,0.0014319042326957458
436.4,0.0014093776845310775
439.0,0.0014090396787985152
441.5,0.0013937149400002264
444.1,0.0014158748545135273
446.7,0.0013444262566648245
449.2,0.0012995533681525223
451.8,0.0013503725753226691
454.3,0.0012090294922013842
456.9,0.0012288812301251206
459.5,0.001320847934857856
462.0,0.0012395316492071057
464.6,0.0011808510634505511
467.2,0.0011615035055575211
469.7,0.0012214668259792297
472.3,0.0012343648115269636
474.9,0.001163007251459016
477.4,0.0011667332188449004
480.0,0.0012269841187460943
482.6,0.0010613911044599085
485.1,0.0011290784217574843
487.7,0.0011030037718864532
490.3,0.001132603561004861
492.8,0.001004814183212637
495.4,0.0011124841773837478
498.0,0.0009881796877920781
500.6,0.001016036996772763
503.1,0.001070554858379721
505.7,0.001035392134751463
508.3,0.0009571857650650365
510.9,0.0010390566748236384
513.4,0.00095355834600487
516.0,0.000995705972173586
518.6,0.0009694590815134581
521.2,0.0009958373741284043
523.8,0.0009742432716807327
526.3,0.0009315651821826958
528.9,0.0009073529654984502
531.5,0.0008694096018774061
534.1,0.0009397119590791806
536.7,0.0009105700414253237
539.2,0.0008539710183433121
541.8,0.0009393043110940638
544.4,0.0008548051303547389
547.0,0.0008453560200321102
549.6,0.0009012876021436202
552.2,0.0008151382411637064
554.7,0.0007589262904988643
557.3,0.0008335799949561473
559.9,0.0007509642405903325
562.5,0.0008196063736908806
565.1,0.0006757603942687348
567.7,0.0007708469816689967
570.3,0.0007583309770386298
572.9,0.0008419217638320029
575.5,0.0008465440054538006
578.1,0.0007221667649310828
580.6,0.0007400591901481218
583.2,0.0007762984159764591
585.8,0.0008635703575597842
588.4,0.000753835086140195
591.0,0.0008372458584381168
593.6,0.0008082280450219738
596.2,0.00082232739458754
598.8,0.0006595345660888407
601.4,0.000882591644166277
604.0,0.0008484765332316079
606.6,0.0006943741862208446
609.2,0.0008339146918099768
611.8,0.0007754915366219195
614.4,0.0006739121989671156
617.0,0.0007515449683969898
619.6,0.0007227156909865797
622.2,0.0007528796491822092
624.8,0.0007147501828093919
627.4,0.000688010147435724
630.0,0.0007973559455743257
632.6,0.0006427524478895491
635.2,0.0006576442829797069
637.9,0.0006709641327650695
640.5,0.0006935540879384224
643.1,0.0007199682176134798
645.7,0.0006358683270758503
648.3,0.0005382863926441744
650.9,0.0006076684600343468
653.5,0.0005246173631081993
656.1,0.0006532122766323726
658.7,0.0006013581987427281
661.3,0.0005769714905096094
664.0,0.0006155640340779004
666.6,0.0005231133576204538
669.2,0.0005512120566035233
671.8,0.0005935318762100813
674.4,0.0005899373863947172
677.0,0.0005451622787517275
679.7,0.0005915845325040655
682.3,0.0005121155519707617
684.9,0.0005107278104312626
687.5,0.00048470331851305275
690.1,0.0005189333468460928
692.8,0.000543154384437359
695.4,0.0005215511013447913
698.0,0.0005699880722722237
700.6,0.00048110243249866944
703.2,0.0004476645088923262
705.9,0.0005022854499703857
708.5,0.0004196478431040627
711.1,0.00046270483547865016
713.7,0.00046813157586392723
716.4,0.0004735575233075029
719.0,0.0004707837479300546
721.6,0.0004745538806876595
724.2,0.0004391753244368581
726.9,0.00045934816017928373
729.5,0.0004126358137418317
732.1,0.0005032054490751981
734.8,0.00046807672789836885
737.4,0.0004167594908667342
740.0,0.00047332699032060703
742.7,0.0004058669449886374
745.3,0.0004676292614996816
747.9,0.00047064879434437993
750.6,0.00034968329883844785
753.2,0.0003971074307201196
755.8,0.0004625492277747891
758.5,0.0004481226601111007
761.1,0.00037661593974522707
763.7,0.00048481165321944384
766.4,0.0004249418400995519
769.0,0.0004189591282230473
771.7,0.00038360022864510946
774.3,0.0004186146110078974
776.9,0.0003473572802519327
779.6,0.00039209147988594176
782.2,0.0003388663938634673
784.9,0.0003443161606191006
787.5,0.0004363365358895928
790.2,0.0003666079748742901
792.8,0.00033594816499280704
795.5,0.0003379424224821524
798.1,0.00031042221290343596
800.7,0.00037424485818212094
803.4,0.0003710822199082206
806.0,0.00032530744382385445
808.7,0.00039703045075721415
811.3,0.0003086766958957625
814.0,0.0003312431316368307
816.6,0.00031781468539730925
819.3,0.00032724638272610743
821.9,0.00033330539716873756
824.6,0.0003099433232290348
827.3,0.00035355560990458986
829.9,0.00027134328142504696
832.6,0.00033614612177562084
835.2,0.0003095098108454711
837.9,0.0003481812503648155
840.5,0.00033299714690227195
843.2,0.00039951162848354246
845.8,0.00033208123102345814
848.5,0.00037250045604333813
851.2,0.0002969689935958278
853.8,0.00037821085332104975
856.5,0.0002961512144543091
859.1,0.00032349856153026876
861.8,0.00033118840099809064
864.5,0.0003209009430322694
867.1,0.00028277227408059197
869.8,0.00036214861894022434
872.5,0.0003108036830385147
875.1,0.0003377478219770744
877.8,0.00037927869818095406
880.5,0.00029496376575116314
883.1,0.0003036373472167028
885.8,0.0003138463736444019
888.5,0.00029785698393669367
891.1,0.00028016588984661607
893.8,0.0002493627034495248
896.5,0.0003394157915208034
899.1,0.00030207467843235776
901.8,0.0003023274155457958
904.5,0.00031571446619593595
907.1,0.00031938360955433546
909.8,0.000297011061981364
912.5,0.00029763856044749475
915.2,0.0003131011247577295
917.8,0.00027804885164112056
920.5,0.000313388910426365
923.2,0.0003047782118229505
925.9,0.0002635968917614791
928.6,0.0002911519516631305
931.2,0.00032700061576271966
933.9,0.0002469187433767756
936.6,0.0003384145950021701
939.3,0.00027320018174471436
941.9,0.0002634807699683346
944.6,0.0003338065834270048
947.3,0.0003012880501893762
950.0,0.0002866385621349746
952.7,0.0002964544235015963
955.4,0.00025402832357399133
958.0,0.00031275283952850706
960.7,0.0002962875777158256
963.4,0.00031084988977582385
966.1,0.00029102116368042276
968.8,0.0002368232606842918
971.5,0.0002724371460592944
974.2,0.0002736897298276325
976.9,0.00032386579136786724
979.5,0.00030704249985079356
982.2,0.0002362815536655771
984.9,0.0002552674218231171
987.6,0.0002742038883011939
990.3,0.000283314493149062
993.0,0.0002678263379121997
995.7,0.00027024288258601254
998.4,0.00022688698061165843
1001.1,0.0002438710022067774
1003.8,0.00020361525402735447
1006.5,0.00021883501167877238
1009.2,0.00017517969362738152
1011.9,0.00023924633225718756
1014.6,0.00026241937666955076
1017.3,0.00013527010922599215
1020.0,0.0002318197237166871
1022.7,0.00019275492169903286
1025.4,0.0001389514567523259
1028.1,0.00019290438905450954
1030.8,0.0001847616726382354
1033.5,0.00019456368688567152
1036.2,0.00016188164886714852
1038.9,0.00019288733235533855
1041.6,0.00022062031261125425
1044.3,0.00020588495113990683
1047.0,0.0002009491311520996
1049.7,0.00021724837291038293
1052.4,0.00021395111874249537
1055.1,0.00018452229138848187
1057.8,0.00019756007964510052
1060.5,0.00023182968236147805
1063.3,0.00023016162256761781
1066.0,0.00016805180546270116
1068.7,0.000146763113414889
1071.4,0.00020385679473542917
1074.1,0.0001563975783692259
1076.8,0.00016444757340214203
1079.5,0.0001414355005602893
1082.2,0.00020658973665538675
1085.0,0.0001867806127763449
1087.7,0.0001849035884794044
1090.4,0.0001682820972635883
1093.1,0.00020389625690020268
1095.8,0.0002166096158709295
1098.5,0.00020805078329392347
1101.3,0.0001814874948513574
1104.0,0.00016633615012468368
1106.7,0.0001544249119225852
1109.4,0.00023067566021396467
1112.1,0.00016645032146982538
1114.9,0.0001740790170534441
1117.6,0.0002502915439700587
1120.3,0.00020071829069357415
1123.0,0.00015605549174981963
1125.8,0.00018652410157716636
1128.5,0.00021045057009473384
1131.2,0.00020825129675752666
1133.9,0.00022076735547143752
1136.7,0.00018429349029366947
1139.4,0.0002245825594226328
1142.1,0.00019793509192713907
1144.8,0.00017620676687050664
1147.6,0.0001855290565894319
1150.3,0.00021446875648254424
1153.0,0.0001438167747781983
1155.8,0.00018916432245523625
1158.5,0.00019044757631140512
1161.2,0.0001460472490214887
1164.0,0.00016213968827235269
1166.7,0.00015052887415639363
1169.4,0.0001373586010985374
1172.2,0.00011284366843486291
1174.9,0.00015539049161126064
1177.6,0.0001441446584440279
1180.4,0.00014120185494446926
1183.1,0.00010245259008448719
1185.9,0.0001422480970130025
1188.6,0.00013647382374390877
1191.3,8.680598492107614e-05
1194.1,0.00010426508099630068
1196.8,0.00015295452762777476
1199.6,0.00013490235950604294
1202.3,0.00011874309550599112
1205.0,9.297130633948109e-05
1207.8,9.520097398997958e-05
1210.5,0.00011567164674061245
1213.3,0.00011682592017587642
1216.0,9.857020864765295e-05
1218.8,9.525817453689958e-05
1221.5,0.00011510576266116835
1224.3,0.00011725239423394365
1227.0,0.00011955278883312367
1229.8,9.919690974116306e-05
1232.5,0.00010686963616583263
1235.3,0.00013107884683018496
1238.0,0.00011289390194181239
1240.8,6.544055631743501e-05
1243.5,0.00013249611014713383
1246.3,8.859512857245627e-05
1249.0,8.384888931005707e-05
1251.8,0.00012322449727926612
1254.5,5.812103406726597e-05
1257.3,8.612726548064129e-05
1260.0,0.00010253109677417098
1262.8,6.984850660462583e-05
1265.6,7.792709768104756e-05
1268.3,9.410966968438752e-05
1271.1,0.00011002677110867718
1273.8,0.00010127984719029691
1276.6,0.0001136027473357976
1279.4,0.00012420014300188947
1282.1,8.385414832636889e-05
1284.9,0.0001200802631651974
1287.6,7.281281522359984e-05
1290.4,9.403662723034506e-05
1293.2,8.395173324428558e-05
1295.9,7.367525672161937e-05
1298.7,8.935708225364593e-05
1301.5,0.00014901812940061864
1304.2,0.00010885767122486263
1307.0,6.688918850274303e-05
1309.8,6.888055678832061e-05
1312.5,7.565961268723112e-05
1315.3,5.9458113981261345e-05
1318.1,9.863707097318201e-05
1320.8,9.197347997366798e-05
1323.6,9.990573170847185e-05
1326.4,9.960601970752674e-05
1329.2,0.0001007999100398354
1331.9,9.536456586638397e-05
1334.7,9.473343948109719e-05
1337.5,9.402018417453535e-05
1340.2,0.00010463018792499819
1343.0,0.00010042621012153701
1345.8,8.958017560157348e-05
1348.6,7.372027698866014e-05
1351.4,0.00010020527369492631
1354.1,8.897700253040867e-05
1356.9,0.00010700231439635547
1359.7,9.383527607838049e-05
1362.5,0.00011478556816251318
1365.3,6.857251589454237e-05
1368.0,0.00011361836605545339
1370.8,9.800269880391822e-05
1373.6,8.540246234868087e-05
1376.4,0.00014272070185720039
1379.2,0.00011157690667071598
1381.9,8.665276885477336e-05
1384.7,0.00010549455480908121
1387.5,8.964785294241856e-05
1390.3,8.810273783072867e-05
1393.1,9.43849563486943e-05
1395.9,9.864235569367193e-05
1398.7,0.00010250448084158119
1401.5,7.647399629938259e-05
1404.2,9.91011808342621e-05
1407.0,6.749930867038393e-05
1409.8,8.129045263013154e-05
1412.6,8.00760921406751e-05
1415.4,7.679954253430265e-05
1418.2,7.019628203306519e-05
1421.0,6.182687669959033e-05
1423.8,0.00012198522519143274
1426.6,4.166629100596389e-05
1429.4,7.890286522297267e-05
1432.2,9.688783357394518e-05
1435.0,8.901945424943402e-05
1437.8,7.825739393432066e-05
1440.6,5.813781978430781e-05
1443.4,5.321558940700745e-05
1446.2,0.0001094843967436371
1449.0,6.847288379326077e-05
1451.8,6.091136748754471e-05
1454.6,0.00010481534294328967
1457.4,0.00011531195829171008
1460.2,0.00010878235081047472
1463.0,6.069740470059372e-05
1465.8,9.354870139942296e-05
1468.6,7.992411350267475e-05
1471.4,8.19360360630856e-05
1474.2,6.67056661291988e-05
1477.0,9.792656953451048e-05
1479.8,0.00010855533796853308
1482.6,7.400585178050326e-05
1485.4,0.00010378262308746342
1488.2,8.314629152658996e-05
1491.0,7.582130140825887e-05
1493.8,7.355018061796351e-05
1496.7,7.786801157304169e-05
1499.5,5.613659720715808e-05
1502.3,0.00010770077707889563
1505.1,6.752806792386092e-05
1507.9,8.423580242910116e-05
1510.7,9.896206786291446e-05
1513.5,9.53660632719015e-05
1516.3,9.788764870451763e-05
1519.2,0.0001178015113890979
1522.0,9.475017429319721e-05
1524.8,7.608778030890856e-05
1527.6,6.834423821028333e-05
1530.4,8.954447519508106e-05
1533.2,6.934511008579991e-05
1536.1,7.805980790164088e-05
1538.9,6.182222817139498e-05
1541.7,7.782787750188183e-05
1544.5,9.67142683006951e-05
1547.4,7.114197678704677e-05
1550.2,7.627684824092565e-05
1553.0,7.297411808477927e-05
1555.8,8.087522970925901e-05
1558.6,5.428926968050854e-05
1561.5,7.491428711975687e-05
1564.3,4.8071151490378396e-05
1567.1,5.873768147897002e-05
1570.0,8.571445278817601e-05
1572.8,5.3904839213051825e-05
1575.6,5.6441599802278195e-05
1578.4,7.37459790585482e-05
1581.3,6.0135342076842214e-05
1584.1,7.768942861139104e-05
1586.9,7.579280275721961e-05
1589.8,7.242741130179651e-05
1592.6,5.7804629149003895e-05
1595.4,3.684083784503584e-05
1598.3,5.8528559038980465e-05
1601.1,6.896714362776674e-05
1603.9,4.5285383202647264e-05
1606.8,5.28074617563408e-05
1609.6,3.925543753777602e-05
1612.4,3.077349174370856e-05
1615.3,8.610151530777923e-05
1618.1,6.803477700299159e-05
1621.0,5.658971938574166e-05
1623.8,4.521263370293797e-05
1626.6,4.531611368523829e-05
1629.5,2.7503202225825818e-05
1632.3,1.7852317051726024e-05
1635.2,5.554300279247435e-05
1638.0,2.9504380736239337e-05
1640.8,4.425337339365295e-05
1643.7,4.914363507160257e-05
1646.5,4.743728995836355e-05
1649.4,5.0559572359221895e-05
1652.2,2.743807482582177e-05
1655.1,5.8121097104580414e-05
1657.9,1.683899056149221e-05
1660.8,2.2821750030917525e-05
1663.6,4.5035487301150954e-05
1666.5,2.9592041072739987e-05
1669.3,1.077149614017698e-05
1672.2,2.7782817687113575e-05
1675.0,1.3667755072830144e-05
1677.9,4.8463258454771446e-05
1680.7,3.744157617585663e-05
1683.6,4.104076557580651e-05
1686.4,4.293634491526716e-05
1689.3,3.659147154031247e-05
1692.1,4.325112472762758e-05
1695.0,2.045467637597038e-05
1697.8,2.700728792868951e-05
1700.7,3.678142638671597e-05
1703.6,2.3649341582756726e-05
1706.4,4.8047469097899525e-05
1709.3,1.5251590932698059e-05
1712.1,1.5098506060792165e-05
1715.0,4.432650693909301e-05
1717.9,3.7607582963984026e-05
1720.7,4.721255652273174e-05
1723.6,4.701271788377851e-05
1726.4,3.374274369538024e-05
1729.3,4.171207473628653e-05
1732.2,4.478885950485915e-05
1735.0,2.500972066378447e-05
1737.9,2.1577427546628987e-05
1740.8,4.9194619427508015e-05
1743.6,2.619771223827403e-05
1746.5,2.2820862187651083e-05
1749.4,3.0900358632976e-05
1752.2,2.7571125926041144e-05
1755.1,4.5499536515685746e-05
1758.0,5.528617817561913e-05
1760.8,4.0597777675614366e-05
1763.7,3.4100253660023584e-05
1766.6,3.905938400031798e-05
1769.5,2.444233532999733e-05
1772.3,2.6178535905853974e-05
1775.2,3.6099822621171954e-05
1778.1,2.8071260183505264e-05
1781.0,2.659044617732836e-05
1783.8,4.7988175101035554e-05
1786.7,1.8762544082831402e-05
1789.6,4.017700606753758e-05
1792.5,2.7298984356375472e-05
1795.3,1.6054750053050328e-05
1798.2,2.1143406992751875e-05
1801.1,3.113021234650383e-05
1804.0,4.111343964071267e-05
1806.9,2.6591771133087442e-05
1809.7,2.1863662562300066e-05
1812.6,3.999468607614164e-05
1815.5,1.5652448634731956e-05
1818.4,3.8667861838104735e-05
1821.3,1.9207173716396663e-05
1824.2,3.240441396761702e-05
1827.0,9.66051981516342e-06
1829.9,2.4475458550634447e-05
1832.8,2.458375771604833e-05
1835.7,8.353022169231287e-06
1838.6,2.9683844397942376e-05
1841.5,3.631214409683714e-05
1844.4,2.6604081235881592e-05
1847.3,3.159438150922937e-05
1850.1,2.5151510845730995e-05
1853.0,2.8509840942902466e-05
1855.9,1.88040534352144e-05
1858.8,1.8901715778552844e-05
1861.7,-2.229251242601229e-06
1864.6,2.2378150925255944e-05
1867.5,2.5759471762197024e-05
1870.4,7.914449034031643e-06
1873.3,3.254233868979491e-05
1876.2,1.7978193846435244e-05
1879.1,9.95514594762174e-06
1882.0,1.8273134646297542e-05
1884.9,1.843222591306001e-05
1887.8,1.6965428553223335e-05
1890.7,5.705742843547139e-06
1893.6,1.4052378808934158e-05
1896.5,1.2606794860313048e-05
1899.4,3.07648259356193e-05
1902.3,-1.706332467869289e-06
1905.2,3.3921562830668684e-06
1908.1,2.6459507793805443e-05
1911.0,2.6661744445492286e-05
1913.9,3.013098841235584e-05
1916.8,5.833174261999175e-06
1919.7,2.0733447870507587e-05
1922.6,3.7264523430998104e-05
1925.5,2.112664020214815e-05
1928.4,2.2951481995993483e-05
1931.3,1.1703380029017904e-05
1934.2,1.1882830439181063e-05
1937.1,1.8589268854411683e-05
1940.1,1.8755599224325513e-05
1943.0,1.5647991085604733e-05
1945.9,1.0899357623349254e-05
1948.8,2.7375821960702804e-05
1951.7,2.7510728964677913e-05
1954.6,3.253696959498033e-05
1957.5,1.7954699934644984e-05
1960.4,1.9697220492551048e-05
1963.4,2.9595973249401064e-05
1966.3,1.1718781410049993e-05
1969.2,1.669831551407361e-05
1972.1,1.8401219290777515e-05
1975.0,2.172718724006228e-05
1977.9,1.5242684515931704e-05
1980.9,1.854721766287582e-05
1983.8,3.0007108074578874e-05
1986.7,2.022221081591097e-05
1989.6,1.0425262009943644e-05
1992.5,2.348229333327075e-05
1995.5,1.5292975335535482e-05
1998.4,1.5256779138797348e-05
2001.3,3.64398258814674e-05
2004.2,1.6775484711444885e-05
2007.2,5.262891529170629e-06
2010.1,8.434911556134192e-06
2013.0,8.324651297950525e-06
2015.9,1.146507567878133e-05
2018.9,3.1560715857649664e-06
2021.8,2.997340343342178e-06
2024.7,2.242208771065832e-05
2027.7,-2.2690615677530064e-06
2030.6,1.3856764089940907e-05
2033.5,7.100023759242176e-06
2036.4,8.493805268395173e-06
2039.4,1.9674543359359156e-05
2042.3,1.7775446848743668e-05
2045.2,6.064328960415916e-06
2048.2,2.2108927100265738e-05
2051.1,1.3644605133873681e-05
2054.0,-2.993649896145976e-06
2057.0,-3.3040547158979375e-06
2059.9,1.4348874554708924e-05
2062.9,1.5667737353952545e-05
2065.8,1.8621494127139938e-05
2068.7,3.462101214426653e-07
2071.7,-1.5891679637190114e-06
2074.6,6.284691263425986e-06
2077.6,9.270498472534582e-06
2080.5,1.8803030608219724e-05
2083.4,7.119752487695687e-06
2086.4,3.5620197013910084e-07
2089.3,-1.4863329266557728e-06
2092.3,1.7927077208951045e-05
2095.2,-2.016416187481697e-07
2098.2,1.2948090258792192e-06
2101.1,-2.082626198232629e-06
2104.0,2.2332818320641124e-05
2107.0,7.575011424349593e-06
2109.9,3.204288788631825e-05
2112.9,1.8969629007082166e-05
2115.8,7.553747666320254e-06
2118.8,7.593662841926752e-06
2121.7,1.908756272537416e-05
2124.7,4.467008276725472e-06
2127.6,1.7629249139849013e-05
2130.6,1.447217444295412e-05
2133.5,1.5264659527409013e-06
2136.5,1.1456355366552137e-05
2139.4,1.1592086366002139e-05
2142.4,5.197560197383013e-06
2145.4,-1.1961899770869387e-06
2148.3,1.3641619529464805e-05
2151.3,1.377577466735319e-05
2154.2,8.376397245555341e-07
2157.2,1.8925145495640756e-05
2160.1,1.9037276298945882e-05
2163.1,1.0972818997038363e-05
2166.1,-3.6357454380067064e-06
2169.0,9.510757715945633e-06
2172.0,1.1212402915612712e-05
2174.9,1.616909045947868e-05
2177.9,1.5146187913356418e-06
2180.9,-6.6173965498583e-06
2183.8,1.6273541626305118e-05
2186.8,6.48882931732231e-06
2189.8,1.6295694678746655e-05
2192.7,1.5956009513314433e-06
2195.7,3.2226987856590677e-06
2198.7,6.478296438765158e-06
2201.6,1.136357446691217e-05
2204.6,1.461304154601571e-05
2207.6,4.79454504946467e-06
2210.5,1.1308841533762252e-05
2213.5,-5.0428532909617434e-06
2216.5,6.373178816418373e-06
2219.4,1.6157842404291893e-05
2222.4,4.7118066257871834e-06
2225.4,4.701844364050468e-06
2228.4,9.594920748042375e-06
2231.3,6.324592038168994e-06
2234.3,3.057457252934465e-06
2237.3,-6.739875281571476e-06
2240.3,6.332149652817333e-06
2243.2,-1.930551129102645e-07
2246.2,1.1250535370462808e-05
2249.2,1.126280183722276e-05
2252.2,3.1100095136720723e-06
2255.1,-1.4164322503504095e-07
2258.1,1.507511469502335e-06
2261.1,-1.7427201196813178e-06
2264.1,2.604049649430231e-05
2267.1,1.4624305624006355e-05
2270.0,6.475021382238782e-06
2273.0,1.1392690064125764e-05
2276.0,-1.6554961972707957e-06
2279.0,4.897224577070994e-06
2282.0,3.284979429429078e-06
2285.0,6.575042248423649e-06
2288.0,6.840367376322596e-08
2290.9,1.316582722883624e-05
2293.9,-2.109763902458963e-05
2296.9,-3.0882119728035625e-06
2299.9,8.395986209623816e-06
2302.9,3.5565188369166378e-06
2305.9,3.6145366367458466e-07
2308.9,-4.454248193206847e-06
2311.9,1.5244142292680038e-05
2314.9,2.292048138125008e-06
2317.8,7.906739389803305e-07
2320.8,1.2374853656655659e-05
2323.8,1.4179512283605104e-05
2326.8,1.2739212249222227e-05
2329.8,-1.7448205151020588e-06
2332.8,3.3947697043174013e-06
2335.8,-7.77428463139463e-06
2338.8,-2.585045086276336e-06
2341.8,1.406284103466326e-05
2344.8,-2.9686957798677786e-07
2347.8,6.601865174434976e-06
2350.8,-1.1744318219595776e-06
2353.8,-7.599819593912994e-07
2356.8,-5.222293843907626e-06
2359.8,1.6470513185055293e-05
2362.8,1.2050788164717981e-05
2365.8,-3.783219246041536e-06
2368.8,2.123289445285138e-05
2371.8,3.7978146023576187e-06
2374.8,-2.1909935117548374e-06
2377.8,-4.9023743583713335e-06
2380.8,-1.0720169069845735e-06
2383.8,1.2564346936071685e-05
2386.8,6.604569895978322e-06
2389.9,2.2794250874806605e-06
2392.9,-3.6800760296548267e-06
2395.9,1.570255633570261e-07
2398.9,2.3553003977605676e-06
2401.9,2.9126729961493776e-06
2404.9,8.360479115823412e-06
2407.9,3.997050851767044e-06
2410.9,-5.279276541141855e-06
2413.9,1.482976051023476e-05
2417.0,3.890068090134203e-06
2420.0,1.0900159461832533e-05
2423.0,3.192748003879718e-06
2426.0,5.2669245058175365e-06
2429.0,-5.744317046672869e-06
