comp,layer,class,abs_Gy_s,eq_Sv_s,sig_eq
mum,1,3,1.20063e-11,1.20063e-11,3.63436e-14
mum,1,4,6.48767e-16,1.29753e-15,5.96488e-16
mum,1,5,5.50902e-16,1.1018e-15,6.36231e-16
mum,2,0,2.31241e-14,2.31241e-14,1.55361e-15
mum,2,1,3.80043e-15,3.79664e-14,9.84165e-15
mum,2,2,2.3711e-13,2.3711e-13,5.46848e-15
mum,2,3,1.21352e-11,1.21352e-11,4.39957e-14
mum,2,4,3.33995e-16,6.67991e-16,3.23178e-16
mum,2,5,1.86716e-16,3.73433e-16,3.73433e-16
mum,3,0,2.21361e-14,2.21361e-14,6.14793e-16
mum,3,1,4.04971e-15,4.26905e-14,2.18156e-15
mum,3,2,3.19548e-13,3.19548e-13,3.27544e-15
mum,3,3,1.20535e-11,1.20535e-11,2.68507e-14
mum,3,4,8.32016e-16,1.66403e-15,6.1872e-16
mum,3,5,2.3148e-16,4.62961e-16,2.86323e-16
mup,0,0,1.44773e-14,1.44773e-14,8.3414e-16
mup,0,1,2.06433e-17,1.64497e-16,1.64257e-16
mup,0,2,1.60458e-12,1.60458e-12,1.16516e-14
mup,0,3,1.16259e-11,1.16259e-11,3.66263e-14
mup,0,4,2.69069e-16,5.38139e-16,2.27219e-16
mup,0,5,5.90935e-16,1.18187e-15,7.92996e-16
mup,1,0,2.6079e-14,2.6079e-14,1.32011e-15
mup,1,1,1.34199e-19,2.68802e-18,2.68779e-18
mup,1,2,4.18475e-13,4.18475e-13,5.80088e-15
mup,1,3,1.27633e-11,1.27633e-11,3.70431e-14
mup,1,4,5.84581e-16,1.16916e-15,7.65331e-16
mup,1,5,1.85661e-16,3.71322e-16,2.45065e-16
mup,2,0,2.6112e-14,2.6112e-14,1.46578e-15
mup,2,1,6.69631e-18,5.37578e-17,5.30255e-17
mup,2,2,2.73915e-13,2.73915e-13,5.95845e-15
mup,2,3,1.3046e-11,1.3046e-11,4.52812e-14
mup,2,4,1.99558e-16,3.99115e-16,2.21088e-16
mup,2,5,1.69705e-16,3.3941e-16,3.3941e-16
mup,3,0,2.5687e-14,2.5687e-14,5.9904e-16
mup,3,1,6.929e-17,5.77905e-16,2.06665e-16
mup,3,2,3.51466e-13,3.51466e-13,3.41761e-15
mup,3,3,1.29252e-11,1.29252e-11,2.77993e-14
mup,3,4,2.6926e-16,5.38519e-16,1.88916e-16
mup,3,5,2.65957e-16,5.31915e-16,3.39967e-16
neutron,0,0,5.57008e-13,5.57008e-13,9.08998e-15
neutron,0,1,1.06152e-11,6.81394e-11,1.48442e-12
neutron,0,2,9.7362e-13,9.7362e-13,1.53848e-14
neutron,0,3,4.42422e-14,4.42422e-14,6.73738e-15
neutron,0,4,6.35598e-12,1.2712e-11,3.13021e-13
neutron,0,5,1.38484e-12,1.49813e-11,1.58988e-12
neutron,1,0,1.14083e-12,1.14083e-12,1.29194e-14
neutron,1,1,1.43359e-11,8.45883e-11,7.71998e-13
neutron,1,2,2.30687e-13,2.30687e-13,8.77947e-15
neutron,1,3,3.64058e-14,3.64058e-14,3.70146e-15
neutron,1,4,3.32704e-12,6.65408e-12,1.43991e-13
neutron,1,5,1.00854e-12,5.14319e-12,7.50205e-13
neutron,2,0,1.17443e-12,1.17443e-12,1.81581e-14
neutron,2,1,1.57163e-11,8.46018e-11,9.61492e-13
neutron,2,2,1.91127e-13,1.91127e-13,1.12853e-14
neutron,2,3,4.17487e-14,4.17487e-14,5.62826e-15
neutron,2,4,2.62865e-12,5.25731e-12,1.44549e-13
neutron,2,5,8.95996e-13,3.16847e-12,3.60327e-13
neutron,3,0,1.14488e-12,1.14488e-12,7.97521e-15
neutron,3,1,1.51306e-11,8.37045e-11,2.66171e-13
neutron,3,2,2.30275e-13,2.30275e-13,6.50924e-15
neutron,3,3,3.71459e-14,3.71459e-14,2.82363e-15
neutron,3,4,2.93333e-12,5.86666e-12,7.15728e-14
neutron,3,5,9.62795e-13,4.04258e-12,2.07252e-13
proton,0,0,1.71868e-13,1.71868e-13,3.63948e-15
proton,0,1,2.91027e-13,1.94652e-12,1.6899e-13
proton,0,2,1.05811e-12,1.05811e-12,9.98272e-15
proton,0,3,5.924e-14,5.924e-14,6.31419e-15
proton,0,4,2.2058e-11,4.41159e-11,2.77242e-13
proton,0,5,1.39849e-12,1.2599e-11,1.20953e-12
proton,1,0,2.63644e-13,2.63644e-13,5.63144e-15
proton,1,1,4.1077e-13,2.51904e-12,8.64337e-14
proton,1,2,2.79526e-13,2.79526e-13,6.11882e-15
proton,1,3,4.51909e-14,4.51909e-14,3.00077e-15
proton,1,4,2.2451e-11,4.49019e-11,2.34343e-13
proton,1,5,1.21855e-12,5.94195e-12,3.34909e-13
proton,2,0,3.08354e-13,3.08354e-13,7.7284e-15
proton,2,1,5.21521e-13,2.81411e-12,1.27694e-13
proton,2,2,2.44325e-13,2.44325e-13,7.54543e-15
proton,2,3,3.9447e-14,3.9447e-14,2.99959e-15
proton,2,4,2.20383e-11,4.40765e-11,2.83186e-13
proton,2,5,1.13148e-12,3.9763e-12,2.74967e-13
proton,3,0,2.97857e-13,2.97857e-13,4.89265e-15
proton,3,1,4.34609e-13,2.47632e-12,2.98429e-14
proton,3,2,2.63446e-13,2.63446e-13,4.60709e-15
proton,3,3,4.33353e-14,4.33353e-14,2.29015e-15
proton,3,4,2.21935e-11,4.4387e-11,1.41806e-13
proton,3,5,1.17121e-12,5.10042e-12,1.54746e-13
