E_keV,reaction,place_class,net_cph,sigma_cph,signif,found,origin
30.64,²⁷Al(n;γ); yield per 100 captures: 34.55,skin; structural framing | C,373.56200931850555,136.98583676419602,2.727011917016982,0,
57.608,¹²⁷I(n;n′) (1st level 57.608 keV; 7/2⁺; ENSDF) and ¹²⁷I(n;γ) 58.11; yield per 100 captures: 4.52 (capture),"NaI/CsI crystal — the classic ""iodine escape bump"" | B",-487.3012361633787,221.65581860673876,-2.1984590308813297,0,
58.11,¹²⁷I(n;n′) (1st level 57.608 keV; 7/2⁺; ENSDF) and ¹²⁷I(n;γ) 58.11; yield per 100 captures: 4.52 (capture),"NaI/CsI crystal — the classic ""iodine escape bump"" | B",251.54568670104686,221.57922146116425,1.135240412175267,0,
75.26,muonic X-ray C (2p–1s),composite; plastic; people | C,1115.5963446380545,216.30172781934587,5.157593311366403,1,gamma/primary/World 72.9%; gamma/eBrem/Pax 11.0%; gamma/eBrem/Skin 4.4%
78.08,³¹P(n;γ); yield per 100 captures: 34.30,passengers' bones | D,-200.26934790154382,236.12509358064798,-0.8481493638165242,0,
78.91,¹⁰⁷Ag(n;γ); yield per 100 captures: 10.37,contacts; solder | D,791.665953467786,234.09063455282856,3.381877942191345,0,
79.51,¹⁵⁷Gd(n;γ); yield per 100 captures: 1.58,GAGG crystal | B,125.86211402919866,206.06698407421436,0.6107825307127794,0,
88.97,¹⁵⁵Gd(n;γ); yield per 100 captures: 2.27,GAGG crystal | B,-585.9360343831236,216.93300081508596,-2.700999996227298,0,
90.99,²³Na(n;γ); yield per 100 captures: 44.34,people; NaI | C,-456.03117831139025,211.46115221351084,-2.1565718976643935,0,
102.4,muonic X-ray N,air; people | D,-196.38666470239673,174.53544103799342,-1.125196484647761,0,
115.22,⁶⁴Zn(n;γ); yield per 100 captures: 15.18,7075 alloy | D,333.2548564698043,159.6841719122248,2.0869623612601242,0,
116.61,¹³³Cs(n;γ); yield per 100 captures: 4.75,CsI crystal | C,226.17236403849085,157.48852537560762,1.4361196379169427,0,
133.54,muonic X-ray O,air; people; water | C,-438.05333636182274,140.9141150037771,-3.1086547742224475,0,
133.61,¹²⁷I(n;γ); yield per 100 captures: 22.90,NaI/CsI crystal | B,-438.0533363618274,140.9141150037771,-3.1086547742224804,0,
137.85,¹²⁷I(n;γ)¹²⁸I; isomeric level 4⁻; T½=845 ns (populated via a cascade through the 167.4 keV level; T½=175 ns; nearly all cascade energy is absorbed in the crystal — Yoon et al.; NIM A 848 (2017) 162; arXiv:1608.02409); yield per 100 captures: ≥0.07 (direct population per our emitter database; higher when the 167.4 keV cascade is included),NaI/CsI crystal | B,688.2536798899118,137.00844654420905,5.023439775064016,1,neutron/primary/World 65.0%; gamma/primary/World 20.0%; gamma/eBrem/Floor 2.1%
159.28,⁶³Cu(n;γ); yield per 100 captures: 14.34,wiring; 2024 alloy | C,-106.60361533511428,119.90927028370201,-0.88903564405732,0,
