# rates per second, sum over components
bin_keV,sumw,sumw2,light_sumw,light_sumw2
0,0,0,0,0
1,0.07469189186,2.598195905e-05,0.07469189186,2.598195905e-05
2,0.06674050045,2.400422671e-05,0.06674050045,2.400422671e-05
3,0.06003097429,2.501748278e-05,0.06003097429,2.501748278e-05
4,0.07262229978,3.432961986e-05,0.07262229978,3.432961986e-05
5,0.09479603106,4.96443347e-05,0.09479603106,4.96443347e-05
6,0.1065215841,5.581711444e-05,0.1065215841,5.581711444e-05
7,0.0932900498,5.075575588e-05,0.0932900498,5.075575588e-05
8,0.1024594584,5.750942996e-05,0.1024594584,5.750942996e-05
9,0.1094757803,6.2756948e-05,0.1094757803,6.2756948e-05
10,0.1149419014,6.452740527e-05,0.1149419014,6.452740527e-05
11,0.1499607257,7.338082235e-05,0.1499607257,7.338082235e-05
12,0.1307304271,7.743645707e-05,0.1307304271,7.743645707e-05
13,0.1181969219,7.036001571e-05,0.1181969219,7.036001571e-05
14,0.1252040497,7.807387092e-05,0.1252040497,7.807387092e-05
15,0.1240911762,7.184432673e-05,0.1240911762,7.184432673e-05
16,0.1226617295,7.375619322e-05,0.1226617295,7.375619322e-05
17,0.139189822,8.404959916e-05,0.139189822,8.404959916e-05
18,0.1401264146,8.641490392e-05,0.1401264146,8.641490392e-05
19,0.1398651192,8.878352107e-05,0.1398651192,8.878352107e-05
20,0.1494222759,8.870112556e-05,0.1494222759,8.870112556e-05
21,0.1332656544,8.151055816e-05,0.1332656544,8.151055816e-05
22,0.1471663057,9.12589568e-05,0.1471663057,9.12589568e-05
23,0.1306849278,7.704136943e-05,0.1306849278,7.704136943e-05
24,0.1482222649,8.834984272e-05,0.1482222649,8.834984272e-05
25,0.346942604,0.0002156271587,0.346942604,0.0002156271587
26,0.147735516,8.754128612e-05,0.147735516,8.754128612e-05
27,0.1377982591,7.506136322e-05,0.1377982591,7.506136322e-05
28,0.192507623,0.0001160597118,0.192507623,0.0001160597118
29,0.1724303627,0.0001451054338,0.1724303627,0.0001451054338
30,0.1643272097,9.434091587e-05,0.1643272097,9.434091587e-05
31,0.190826428,0.0001101994481,0.190826428,0.0001101994481
32,0.1841978674,0.0001120104553,0.1841978674,0.0001120104553
33,0.1926578092,0.0001126223987,0.1926578092,0.0001126223987
34,0.1602158541,9.1734885e-05,0.1602158541,9.1734885e-05
35,0.2083663187,0.0001274436323,0.2083663187,0.0001274436323
36,0.2179417109,0.0001256381331,0.2179417109,0.0001256381331
37,0.2279283357,0.0001352905402,0.2279283357,0.0001352905402
38,0.2608120318,0.0001659217302,0.2608120318,0.0001659217302
39,0.2674394443,0.000164122209,0.2674394443,0.000164122209
40,0.2888543097,0.0001804174545,0.2888543097,0.0001804174545
41,0.307374897,0.0001979012134,0.307374897,0.0001979012134
42,0.3404912847,0.0002107453704,0.3404912847,0.0002107453704
43,0.3373185246,0.0002239225896,0.3373185246,0.0002239225896
44,0.3963256076,0.0002536186532,0.3963256076,0.0002536186532
45,0.3876145587,0.0002471263437,0.3876145587,0.0002471263437
46,0.411776138,0.0002840794906,0.411776138,0.0002840794906
47,0.4390561642,0.0002783665412,0.4390561642,0.0002783665412
48,0.4710577343,0.0002998213882,0.4710577343,0.0002998213882
49,0.4676890369,0.0003002479701,0.4676890369,0.0003002479701
50,0.4840410224,0.0003076279727,0.4840410224,0.0003076279727
51,0.47725772,0.000303586565,0.47725772,0.000303586565
52,0.4961764018,0.0003191484715,0.4961764018,0.0003191484715
53,0.4886623138,0.0003093387371,0.4886623138,0.0003093387371
54,0.5180762886,0.00032264371,0.5180762886,0.00032264371
55,0.5452098356,0.0003426642019,0.5452098356,0.0003426642019
56,0.5395992113,0.0003408241233,0.5395992113,0.0003408241233
57,0.5391801636,0.0003463228698,0.5391801636,0.0003463228698
58,0.5329924093,0.0003395270404,0.5329924093,0.0003395270404
59,0.5198215717,0.0003298151141,0.5198215717,0.0003298151141
60,0.6007216662,0.0003581775844,0.6007216662,0.0003581775844
61,0.5360974307,0.0003409480567,0.5360974307,0.0003409480567
62,0.4922923539,0.0003052057631,0.4922923539,0.0003052057631
