E_keV,reaction,place_class,net_cph,sigma_cph,signif,found,origin
6418.43,⁴⁸Ti(n;γ),титан | B,-22.39993906189309,7.655395213948793,-2.926033004942509,0,
6419.59,⁴⁰Ca(n;γ),скелет — наложение с Ti! | B,-19.611769807787972,7.269461077692264,-2.6978299489037023,0,
6555.91,⁴⁸Ti(n;γ),титан | C,0.0,inf,0.0,0,
6600.63,⁶⁵Cu(n;γ),проводка | D,-27.60870877207764,6.043153873439944,-4.568592716697108,0,
6619.61,³⁵Cl(n;γ),ПВХ | C,-0.9259693064819261,6.851438789636268,-0.13514961381287977,0,
6680.0,⁶⁵Cu(n;γ),проводка | D,-99.09184766309258,9.498957076893964,-10.43186603128586,0,
6760.08,⁴⁸Ti(n;γ),титан | B,0.0,inf,0.0,0,
6785.5,³¹P(n;γ),кости | D,3.467748327000076,8.801507503902215,0.3939948157134018,0,
6915.5,¹⁶O(n;n′) 6917;1→g.s.; σ(MT53) 59 мб @8 МэВ,воздух; вода | B,-32.76876839377718,7.502817938432666,-4.367528129120851,0,
7069.2,⁶⁴Zn(n;γ),сплав 7075 | D,-10.169478670612145,5.952211476749675,-1.708521061513996,0,
7111.95,⁶⁴Zn(n;γ),сплав 7075 | D,3.5960018144145756,8.534547809697298,0.42134649598290996,0,
7115.15,¹⁶O(n;n′) 7116;85→g.s.; и ¹⁶N-распад (4;9 %),воздух; вода | B,0.0,inf,0.0,0,
7199.2,²⁸Si(n;γ),стекло | D,2.25743127651679,9.099565447928903,0.24808121766194782,0,
7306.93,⁶³Cu(n;γ),проводка | C,0.0,inf,0.0,0,
7367.78,²⁰⁷Pb(n;γ) = Sₙ,свинцовый экран прибора | B; если экран есть,-16.54506154909384,8.451560178908421,-1.9576339987950904,0,
7374.49,⁵²Cr(n;γ),нержавейка | C,-11.2067587607248,9.54191313339826,-1.1744771309538866,0,
7413.97,³⁵Cl(n;γ),ПВХ; тело | B,-42.823071771282855,6.402502840130943,-6.688489304974216,0,
7631.14,⁵⁶Fe(n;γ); дублет,сталь; крепёж; двигатели | A,0.0,inf,0.0,0,
7637.4,⁶³Cu(n;γ),проводка | C,-5.36786543591009,6.350015848239168,-0.8453310297483079,0,
7724.03,²⁷Al(n;γ) = Sₙ(²⁸Al),обшивка | B,0.0,inf,0.0,0,
7768.92,³⁹K(n;γ),люди | D,0.0,inf,0.0,0,
7790.33,³⁵Cl(n;γ),ПВХ; тело | B,0.0,inf,0.0,0,
7819.52,⁶⁰Ni(n;γ),сталь | C,0.0,inf,0.0,0,
7863.55,⁶⁴Zn(n;γ),сплав 7075 | D,0.0,inf,0.0,0,
7915.62,⁶³Cu(n;γ) = Sₙ,проводка; шины | B,-22.606976985284042,6.841684384495689,-3.304299893826575,0,
7938.46,⁵²Cr(n;γ) = Sₙ,нержавеющая сталь | B,-2.2103802869407967,7.909913823429665,-0.2794442943731587,0,
8120.57,⁵⁸Ni(n;γ),сталь | D,0.0,inf,0.0,0,
8533.51,⁵⁸Ni(n;γ),сталь | B,0.0,inf,0.0,0,
8869.3,¹⁶O(n;n′) 8871;9→g.s. (отн. 9;3),воздух; вода | D,20.72492328029054,10.70111585683143,1.9367067469940589,0,
8998.41,⁵⁸Ni(n;γ) = Sₙ(⁵⁹Ni),жаропрочные сплавы; двигатели | B,0.0,inf,0.0,0,
