# Извлечено 2026-08-09 из IAEA Live Chart of Nuclides (nds.iaea.org/relnsd/v1/data?fields=decay_rads&rad_types=g).
# Только строки с непустыми start_level_energy/end_level_energy (нуклидные гамма-переходы, не характеристический рентген).
# Назначение: F_B в export_data.py._sum_peaks_with_fb() и в tools/enumerate_sum_peaks.py (аудит Б1/Б4, коммит df5d178). Список нуклидов — ОБЕ цепочки целиком (Th-232 и Ra-226), см. докстринг tools/fetch_conversion_coeff.py.
nuclide,E_keV,I_percent,level,conversion_coeff,unc_cc,multipolarity,source
Ac228,853.17,0.0031,1944.83->1091.020,0.032,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,870.46,0.044,1893.02->1022.531,0.0481,,M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,873.17,0.031,1059.94->186.827,0.0044,,[E1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,874.44,0.047,874.48->0.0,0.01294,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,877.46,0.014,1899.97->1022.531,0.03,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,880.76,0.0062,938.61->57.763,0.01276,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,887.33,0.027,2010.20->1122.949,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,901.23,0.016,1297.440->396.083,0.0122,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,904.2,0.77,1091.020->186.827,0.01212,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,911.204,25.8,968.972->57.763,0.01194,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,918.97,0.027,2010.20->1091.020,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,921.98,0.0147,979.507->57.763,0.027,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,921.98,0.0147,1944.83->1022.531,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,924.03,0.0075,1893.02->968.972,0.026,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,930.93,0.0124,1899.97->968.972,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,930.93,0.0124,1450.35->519.195,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,939.87,0.009,2030.39->1091.020,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,944.196,0.095,944.200->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,947.982,0.106,1344.082->396.083,0.025,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,958.61,0.28,1016.386->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,964.766,4.99,1022.531->57.763,0.01119,,E2+M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,968.971,15.8,968.972->0.0,0.01061,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,975.96,0.05,1944.83->968.972,0.0356,,M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,979.48,0.026,979.507->0.0,0.01039,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,987.71,0.077,1174.50->186.827,0.022,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,988.63,0.077,1175.45->186.827,0.01021,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1000.69,0.005,1944.83->944.200,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1013.58,0.0046,2030.39->1016.386,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1016.44,0.019,1016.386->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1016.44,0.019,1344.082->328.006,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1017.92,0.0057,1987.46->968.972,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1019.86,0.021,1416.09->396.083,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1033.248,0.201,1091.020->57.763,0.00938,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1039.65,0.044,1226.566->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1040.92,0.044,2010.20->968.972,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1053.09,0.013,2022.64->968.972,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1054.11,0.018,1450.35->396.083,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1062.55,0.01,1937.18->874.48,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1065.18,0.132,1122.949->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1074.71,0.01,1906.63->831.822,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1088.18,0.0059,1416.09->328.006,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1095.679,0.129,1153.465->57.763,0.017,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1103.41,0.015,1431.981->328.006,0.0195,,[E3],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1110.61,0.285,1168.377->57.763,0.00288,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1110.61,0.019,1297.440->186.827,0.00288,,E1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1117.63,0.054,1175.45->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1135.24,0.0098,1531.478->396.083,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1142.85,0.0103,1539.24->396.083,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1148.12,0.0059,2022.64->874.48,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1153.52,0.139,1153.465->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1157.14,0.007,1344.082->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1164.5,0.065,1683.71->519.195,0.015,,(M1+E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1175.31,0.024,1175.45->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1190.81,0.0062,2022.64->831.822,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1217.03,0.021,1735.508->519.195,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1229.4,0.0075,1416.09->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1245.05,0.095,1431.981->186.827,0.013,,[M1 E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1247.08,0.5,1643.119->396.083,0.0187,,(M1),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1250.04,0.062,1646.005->396.083,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1276.69,0.014,1795.65->519.195,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1286.27,0.05,1344.082->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1287.68,0.08,1683.71->396.083,0.012,,(M1+E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1309.71,0.019,1638.283->328.006,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1315.34,0.015,1643.119->328.006,0.006,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1344.59,0.009,1531.478->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1347.5,0.015,1743.87->396.083,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1357.78,0.02,1735.508->378.178,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1365.7,0.014,1743.87->378.178,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1374.19,0.014,1431.981->57.763,,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1401.49,0.012,1797.66->396.083,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1415.66,0.021,1743.87->328.006,0.01141,,[E3],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1430.95,0.035,1617.78->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1451.4,0.0106,1638.283->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1459.138,0.83,1646.005->186.827,0.00498,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1469.71,0.02,1797.66->328.006,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1495.91,0.86,1682.754->186.827,0.00477,,(E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1501.57,0.46,1688.398->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1537.89,0.047,1724.288->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1548.65,0.038,1735.508->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1557.11,0.178,1743.87->186.827,0.007,,(E2+M1),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1559.85,0.02,1617.78->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1571.52,0.0057,1758.24->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1573.26,0.033,1760.17->186.827,0.00438,,(E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1580.53,0.6,1638.283->57.763,0.007,,(M1 E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1588.2,3.22,1646.005->57.763,0.00431,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1609.41,0.0077,1987.46->378.178,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1625.06,0.255,1682.754->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1630.627,1.51,1688.398->57.763,0.007,,(M1 E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1638.281,0.47,1638.283->0.0,0.0041,,(E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1666.523,0.178,1724.288->57.763,0.00895,,M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1677.67,0.054,1735.508->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1686.09,0.095,1743.87->57.763,0.00391,,(E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1700.59,0.0101,1758.24->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1702.43,0.048,1760.17->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1706.19,0.0085,1893.02->186.827,0.00776,,M1+E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1713.47,0.0054,1899.97->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1724.21,0.029,1724.288->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1738.22,0.018,1795.65->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1740.4,0.011,1797.66->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1742.0,0.008,1928.66->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1750.54,0.008,1937.18->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1758.11,0.035,1944.83->186.827,0.00371,,E2+M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1772.2,0.0018,1958.72->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1795.1,0.0021,2123.1->328.006,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1797.5,0.0021,1797.66->0.0,,,[E2],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1800.86,0.0044,1987.46->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1823.22,0.044,2010.20->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1826.7,0.0021,2013.6->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1835.43,0.038,1893.02->57.763,0.00382,,E2+M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1842.13,0.042,1899.97->57.763,0.0055,,M1+E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1850.13,0.0044,2037.00->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1870.83,0.0243,1928.66->57.763,0.0051,,(M1+E2),"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1879.6,0.0013,1937.18->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1887.1,0.09,1944.83->57.763,0.00333,,E2+M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1900.07,0.0028,1899.97->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1907.18,0.0119,1906.63->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1929.78,0.0199,1987.46->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1936.3,0.0021,2123.1->186.827,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1952.33,0.059,2010.20->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1955.9,0.0008,2013.6->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1958.4,0.0015,1958.72->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1965.24,0.0204,2022.64->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1971.9,0.0036,2030.39->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,1979.3,0.0018,2037.00->57.763,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Ac228,2029.4,0.0018,2030.39->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=KHALIFEH ABUSALEEM"
Bi212,39.857,1.06,39.857->0.0,23.2,,M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=M. J. MARTIN"
Bi212,180.2,0.0032,1800.9->1620.738,2.08,,[M1],"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=K. Auranen and E.A. McCutchan"
Bi212,288.2,0.337,328.04->39.857,0.436,,M1+E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=M. J. MARTIN"
Bi212,328.03,0.125,328.04->0.0,0.307,,M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=M. J. MARTIN"
Bi212,433.7,0.017,473.4->39.857,0.1451,,M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=M. J. MARTIN"
Bi212,452.98,0.363,492.84->39.857,0.1292,,M1,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=M. J. MARTIN"
Bi212,473.0,0.05,473.4->0.0,0.07,,M1+E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=M. J. MARTIN"
Bi212,493.3,0.003594,492.84->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=M. J. MARTIN"
Bi212,576.0,0.0003594,621->39.857,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=M. J. MARTIN"
Bi212,620.0,0.0010782,621->0.0,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=M. J. MARTIN"
Bi212,727.33,6.67,727.330->0.0,0.01393,,E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=K. Auranen and E.A. McCutchan"
Bi212,785.37,1.102,1512.70->727.330,0.0387,,M1+E2,"IAEA-NDS/ENSDF via Live Chart of Nuclides (decay_rads, rad_types=g, поле conversion_coeff); eval=K. Auranen and E.A. McCutchan"
