E_keV,fwhm_keV,d_fwhm_keV,source
60.0,7.5093,0.0000,law3 fwhm_points_g1s_2016
70.0,8.9786,0.0000,law3 fwhm_points_g1s_2016
80.0,10.2452,0.0000,law3 fwhm_points_g1s_2016
90.0,11.3772,0.0000,law3 fwhm_points_g1s_2016
100.0,12.4114,0.0000,law3 fwhm_points_g1s_2016
110.0,13.3705,0.0000,law3 fwhm_points_g1s_2016
120.0,14.2697,0.0000,law3 fwhm_points_g1s_2016
130.0,15.1197,0.0000,law3 fwhm_points_g1s_2016
140.0,15.9283,0.0000,law3 fwhm_points_g1s_2016
150.0,16.7016,0.0000,law3 fwhm_points_g1s_2016
160.0,17.4442,0.0000,law3 fwhm_points_g1s_2016
170.0,18.1600,0.0000,law3 fwhm_points_g1s_2016
180.0,18.8519,0.0000,law3 fwhm_points_g1s_2016
190.0,19.5226,0.0000,law3 fwhm_points_g1s_2016
200.0,20.1740,0.0000,law3 fwhm_points_g1s_2016
210.0,20.8082,0.0000,law3 fwhm_points_g1s_2016
220.0,21.4265,0.0000,law3 fwhm_points_g1s_2016
230.0,22.0303,0.0000,law3 fwhm_points_g1s_2016
240.0,22.6207,0.0000,law3 fwhm_points_g1s_2016
250.0,23.1989,0.0000,law3 fwhm_points_g1s_2016
260.0,23.7657,0.0000,law3 fwhm_points_g1s_2016
270.0,24.3218,0.0000,law3 fwhm_points_g1s_2016
280.0,24.8680,0.0000,law3 fwhm_points_g1s_2016
290.0,25.4050,0.0000,law3 fwhm_points_g1s_2016
300.0,25.9333,0.0000,law3 fwhm_points_g1s_2016
310.0,26.4534,0.0000,law3 fwhm_points_g1s_2016
320.0,26.9658,0.0000,law3 fwhm_points_g1s_2016
330.0,27.4710,0.0000,law3 fwhm_points_g1s_2016
340.0,27.9693,0.0000,law3 fwhm_points_g1s_2016
350.0,28.4610,0.0000,law3 fwhm_points_g1s_2016
360.0,28.9466,0.0000,law3 fwhm_points_g1s_2016
370.0,29.4264,0.0000,law3 fwhm_points_g1s_2016
380.0,29.9005,0.0000,law3 fwhm_points_g1s_2016
390.0,30.3693,0.0000,law3 fwhm_points_g1s_2016
400.0,30.8330,0.0000,law3 fwhm_points_g1s_2016
410.0,31.2919,0.0000,law3 fwhm_points_g1s_2016
420.0,31.7461,0.0000,law3 fwhm_points_g1s_2016
430.0,32.1958,0.0000,law3 fwhm_points_g1s_2016
440.0,32.6413,0.0000,law3 fwhm_points_g1s_2016
450.0,33.0827,0.0000,law3 fwhm_points_g1s_2016
460.0,33.5202,0.0000,law3 fwhm_points_g1s_2016
470.0,33.9539,0.0000,law3 fwhm_points_g1s_2016
480.0,34.3839,0.0000,law3 fwhm_points_g1s_2016
490.0,34.8104,0.0000,law3 fwhm_points_g1s_2016
500.0,35.2336,0.0000,law3 fwhm_points_g1s_2016
510.0,35.6535,0.0000,law3 fwhm_points_g1s_2016
520.0,36.0703,0.0000,law3 fwhm_points_g1s_2016
530.0,36.4840,0.0000,law3 fwhm_points_g1s_2016
540.0,36.8948,0.0000,law3 fwhm_points_g1s_2016
550.0,37.3028,0.0000,law3 fwhm_points_g1s_2016
560.0,37.7080,0.0000,law3 fwhm_points_g1s_2016
570.0,38.1105,0.0000,law3 fwhm_points_g1s_2016
580.0,38.5105,0.0000,law3 fwhm_points_g1s_2016
590.0,38.9080,0.0000,law3 fwhm_points_g1s_2016
600.0,39.3031,0.0000,law3 fwhm_points_g1s_2016
610.0,39.6958,0.0000,law3 fwhm_points_g1s_2016
620.0,40.0863,0.0000,law3 fwhm_points_g1s_2016
630.0,40.4745,0.0000,law3 fwhm_points_g1s_2016
640.0,40.8606,0.0000,law3 fwhm_points_g1s_2016
650.0,41.2446,0.0000,law3 fwhm_points_g1s_2016
660.0,41.6266,0.0000,law3 fwhm_points_g1s_2016
670.0,42.0066,0.0000,law3 fwhm_points_g1s_2016
680.0,42.3847,0.0000,law3 fwhm_points_g1s_2016
690.0,42.7609,0.0000,law3 fwhm_points_g1s_2016
700.0,43.1353,0.0000,law3 fwhm_points_g1s_2016
710.0,43.5079,0.0000,law3 fwhm_points_g1s_2016
720.0,43.8788,0.0000,law3 fwhm_points_g1s_2016
730.0,44.2480,0.0000,law3 fwhm_points_g1s_2016
740.0,44.6156,0.0000,law3 fwhm_points_g1s_2016
750.0,44.9816,0.0000,law3 fwhm_points_g1s_2016
760.0,45.3459,0.0000,law3 fwhm_points_g1s_2016
770.0,45.7088,0.0000,law3 fwhm_points_g1s_2016
780.0,46.0702,0.0000,law3 fwhm_points_g1s_2016
790.0,46.4301,0.0000,law3 fwhm_points_g1s_2016
800.0,46.7886,0.0000,law3 fwhm_points_g1s_2016
810.0,47.1457,0.0000,law3 fwhm_points_g1s_2016
820.0,47.5014,0.0000,law3 fwhm_points_g1s_2016
830.0,47.8559,0.0000,law3 fwhm_points_g1s_2016
840.0,48.2090,0.0000,law3 fwhm_points_g1s_2016
850.0,48.5608,0.0000,law3 fwhm_points_g1s_2016
860.0,48.9114,0.0000,law3 fwhm_points_g1s_2016
870.0,49.2608,0.0000,law3 fwhm_points_g1s_2016
880.0,49.6090,0.0000,law3 fwhm_points_g1s_2016
890.0,49.9560,0.0000,law3 fwhm_points_g1s_2016
900.0,50.3019,0.0000,law3 fwhm_points_g1s_2016
910.0,50.6467,0.0000,law3 fwhm_points_g1s_2016
920.0,50.9904,0.0000,law3 fwhm_points_g1s_2016
930.0,51.3330,0.0000,law3 fwhm_points_g1s_2016
940.0,51.6745,0.0000,law3 fwhm_points_g1s_2016
950.0,52.0150,0.0000,law3 fwhm_points_g1s_2016
960.0,52.3545,0.0000,law3 fwhm_points_g1s_2016
970.0,52.6930,0.0000,law3 fwhm_points_g1s_2016
980.0,53.0306,0.0000,law3 fwhm_points_g1s_2016
990.0,53.3671,0.0000,law3 fwhm_points_g1s_2016
1000.0,53.7028,0.0000,law3 fwhm_points_g1s_2016
1010.0,54.0375,0.0000,law3 fwhm_points_g1s_2016
1020.0,54.3713,0.0000,law3 fwhm_points_g1s_2016
1030.0,54.7043,0.0000,law3 fwhm_points_g1s_2016
1040.0,55.0363,0.0000,law3 fwhm_points_g1s_2016
1050.0,55.3675,0.0000,law3 fwhm_points_g1s_2016
1060.0,55.6979,0.0000,law3 fwhm_points_g1s_2016
1070.0,56.0275,0.0000,law3 fwhm_points_g1s_2016
1080.0,56.3562,0.0000,law3 fwhm_points_g1s_2016
1090.0,56.6842,0.0000,law3 fwhm_points_g1s_2016
1100.0,57.0113,0.0000,law3 fwhm_points_g1s_2016
1110.0,57.3377,0.0000,law3 fwhm_points_g1s_2016
1120.0,57.6633,0.0000,law3 fwhm_points_g1s_2016
1130.0,57.9882,0.0000,law3 fwhm_points_g1s_2016
1140.0,58.3124,0.0000,law3 fwhm_points_g1s_2016
1150.0,58.6359,0.0000,law3 fwhm_points_g1s_2016
1160.0,58.9586,0.0000,law3 fwhm_points_g1s_2016
1170.0,59.2806,0.0000,law3 fwhm_points_g1s_2016
1180.0,59.6020,0.0000,law3 fwhm_points_g1s_2016
1190.0,59.9227,0.0000,law3 fwhm_points_g1s_2016
1200.0,60.2427,0.0000,law3 fwhm_points_g1s_2016
1210.0,60.5621,0.0000,law3 fwhm_points_g1s_2016
1220.0,60.8808,0.0000,law3 fwhm_points_g1s_2016
1230.0,61.1989,0.0000,law3 fwhm_points_g1s_2016
1240.0,61.5164,0.0000,law3 fwhm_points_g1s_2016
1250.0,61.8333,0.0000,law3 fwhm_points_g1s_2016
1260.0,62.1496,0.0000,law3 fwhm_points_g1s_2016
1270.0,62.4652,0.0000,law3 fwhm_points_g1s_2016
1280.0,62.7803,0.0000,law3 fwhm_points_g1s_2016
1290.0,63.0948,0.0000,law3 fwhm_points_g1s_2016
1300.0,63.4088,0.0000,law3 fwhm_points_g1s_2016
1310.0,63.7222,0.0000,law3 fwhm_points_g1s_2016
1320.0,64.0350,0.0000,law3 fwhm_points_g1s_2016
1330.0,64.3473,0.0000,law3 fwhm_points_g1s_2016
1340.0,64.6591,0.0000,law3 fwhm_points_g1s_2016
1350.0,64.9703,0.0000,law3 fwhm_points_g1s_2016
1360.0,65.2810,0.0000,law3 fwhm_points_g1s_2016
1370.0,65.5912,0.0000,law3 fwhm_points_g1s_2016
1380.0,65.9009,0.0000,law3 fwhm_points_g1s_2016
1390.0,66.2101,0.0000,law3 fwhm_points_g1s_2016
1400.0,66.5189,0.0000,law3 fwhm_points_g1s_2016
1410.0,66.8271,0.0000,law3 fwhm_points_g1s_2016
1420.0,67.1348,0.0000,law3 fwhm_points_g1s_2016
1430.0,67.4421,0.0000,law3 fwhm_points_g1s_2016
1440.0,67.7489,0.0000,law3 fwhm_points_g1s_2016
1450.0,68.0553,0.0000,law3 fwhm_points_g1s_2016
1460.0,68.3612,0.0000,law3 fwhm_points_g1s_2016
1470.0,68.6667,0.0000,law3 fwhm_points_g1s_2016
1480.0,68.9717,0.0000,law3 fwhm_points_g1s_2016
1490.0,69.2763,0.0000,law3 fwhm_points_g1s_2016
1500.0,69.5804,0.0000,law3 fwhm_points_g1s_2016
1510.0,69.8842,0.0000,law3 fwhm_points_g1s_2016
1520.0,70.1875,0.0000,law3 fwhm_points_g1s_2016
1530.0,70.4904,0.0000,law3 fwhm_points_g1s_2016
1540.0,70.7929,0.0000,law3 fwhm_points_g1s_2016
1550.0,71.0950,0.0000,law3 fwhm_points_g1s_2016
1560.0,71.3967,0.0000,law3 fwhm_points_g1s_2016
1570.0,71.6980,0.0000,law3 fwhm_points_g1s_2016
1580.0,71.9989,0.0000,law3 fwhm_points_g1s_2016
1590.0,72.2995,0.0000,law3 fwhm_points_g1s_2016
1600.0,72.5997,0.0000,law3 fwhm_points_g1s_2016
1610.0,72.8995,0.0000,law3 fwhm_points_g1s_2016
1620.0,73.1989,0.0000,law3 fwhm_points_g1s_2016
1630.0,73.4979,0.0000,law3 fwhm_points_g1s_2016
1640.0,73.7967,0.0000,law3 fwhm_points_g1s_2016
1650.0,74.0950,0.0000,law3 fwhm_points_g1s_2016
1660.0,74.3930,0.0000,law3 fwhm_points_g1s_2016
1670.0,74.6907,0.0000,law3 fwhm_points_g1s_2016
1680.0,74.9880,0.0000,law3 fwhm_points_g1s_2016
1690.0,75.2850,0.0000,law3 fwhm_points_g1s_2016
1700.0,75.5816,0.0000,law3 fwhm_points_g1s_2016
1710.0,75.8779,0.0000,law3 fwhm_points_g1s_2016
1720.0,76.1739,0.0000,law3 fwhm_points_g1s_2016
1730.0,76.4696,0.0000,law3 fwhm_points_g1s_2016
1740.0,76.7649,0.0000,law3 fwhm_points_g1s_2016
1750.0,77.0599,0.0000,law3 fwhm_points_g1s_2016
1760.0,77.3547,0.0000,law3 fwhm_points_g1s_2016
1770.0,77.6491,0.0000,law3 fwhm_points_g1s_2016
1780.0,77.9432,0.0000,law3 fwhm_points_g1s_2016
1790.0,78.2370,0.0000,law3 fwhm_points_g1s_2016
1800.0,78.5305,0.0000,law3 fwhm_points_g1s_2016
1810.0,78.8237,0.0000,law3 fwhm_points_g1s_2016
1820.0,79.1167,0.0000,law3 fwhm_points_g1s_2016
1830.0,79.4093,0.0000,law3 fwhm_points_g1s_2016
1840.0,79.7016,0.0000,law3 fwhm_points_g1s_2016
1850.0,79.9937,0.0000,law3 fwhm_points_g1s_2016
1860.0,80.2855,0.0000,law3 fwhm_points_g1s_2016
1870.0,80.5770,0.0000,law3 fwhm_points_g1s_2016
1880.0,80.8683,0.0000,law3 fwhm_points_g1s_2016
1890.0,81.1593,0.0000,law3 fwhm_points_g1s_2016
1900.0,81.4500,0.0000,law3 fwhm_points_g1s_2016
1910.0,81.7404,0.0000,law3 fwhm_points_g1s_2016
1920.0,82.0306,0.0000,law3 fwhm_points_g1s_2016
1930.0,82.3205,0.0000,law3 fwhm_points_g1s_2016
1940.0,82.6102,0.0000,law3 fwhm_points_g1s_2016
1950.0,82.8996,0.0000,law3 fwhm_points_g1s_2016
1960.0,83.1888,0.0000,law3 fwhm_points_g1s_2016
1970.0,83.4777,0.0000,law3 fwhm_points_g1s_2016
1980.0,83.7664,0.0000,law3 fwhm_points_g1s_2016
1990.0,84.0548,0.0000,law3 fwhm_points_g1s_2016
2000.0,84.3430,0.0000,law3 fwhm_points_g1s_2016
2010.0,84.6310,0.0000,law3 fwhm_points_g1s_2016
2020.0,84.9187,0.0000,law3 fwhm_points_g1s_2016
2030.0,85.2062,0.0000,law3 fwhm_points_g1s_2016
2040.0,85.4935,0.0000,law3 fwhm_points_g1s_2016
2050.0,85.7805,0.0000,law3 fwhm_points_g1s_2016
2060.0,86.0673,0.0000,law3 fwhm_points_g1s_2016
2070.0,86.3539,0.0000,law3 fwhm_points_g1s_2016
2080.0,86.6403,0.0000,law3 fwhm_points_g1s_2016
2090.0,86.9264,0.0000,law3 fwhm_points_g1s_2016
2100.0,87.2124,0.0000,law3 fwhm_points_g1s_2016
2110.0,87.4981,0.0000,law3 fwhm_points_g1s_2016
2120.0,87.7836,0.0000,law3 fwhm_points_g1s_2016
2130.0,88.0689,0.0000,law3 fwhm_points_g1s_2016
2140.0,88.3539,0.0000,law3 fwhm_points_g1s_2016
2150.0,88.6388,0.0000,law3 fwhm_points_g1s_2016
2160.0,88.9235,0.0000,law3 fwhm_points_g1s_2016
2170.0,89.2080,0.0000,law3 fwhm_points_g1s_2016
2180.0,89.4922,0.0000,law3 fwhm_points_g1s_2016
2190.0,89.7763,0.0000,law3 fwhm_points_g1s_2016
2200.0,90.0602,0.0000,law3 fwhm_points_g1s_2016
2210.0,90.3439,0.0000,law3 fwhm_points_g1s_2016
2220.0,90.6273,0.0000,law3 fwhm_points_g1s_2016
2230.0,90.9106,0.0000,law3 fwhm_points_g1s_2016
2240.0,91.1937,0.0000,law3 fwhm_points_g1s_2016
2250.0,91.4767,0.0000,law3 fwhm_points_g1s_2016
2260.0,91.7594,0.0000,law3 fwhm_points_g1s_2016
2270.0,92.0419,0.0000,law3 fwhm_points_g1s_2016
2280.0,92.3243,0.0000,law3 fwhm_points_g1s_2016
2290.0,92.6065,0.0000,law3 fwhm_points_g1s_2016
2300.0,92.8885,0.0000,law3 fwhm_points_g1s_2016
2310.0,93.1703,0.0000,law3 fwhm_points_g1s_2016
2320.0,93.4520,0.0000,law3 fwhm_points_g1s_2016
2330.0,93.7334,0.0000,law3 fwhm_points_g1s_2016
2340.0,94.0147,0.0000,law3 fwhm_points_g1s_2016
2350.0,94.2959,0.0000,law3 fwhm_points_g1s_2016
2360.0,94.5768,0.0000,law3 fwhm_points_g1s_2016
2370.0,94.8576,0.0000,law3 fwhm_points_g1s_2016
2380.0,95.1383,0.0000,law3 fwhm_points_g1s_2016
2390.0,95.4187,0.0000,law3 fwhm_points_g1s_2016
2400.0,95.6990,0.0000,law3 fwhm_points_g1s_2016
2410.0,95.9791,0.0000,law3 fwhm_points_g1s_2016
2420.0,96.2591,0.0000,law3 fwhm_points_g1s_2016
2430.0,96.5389,0.0000,law3 fwhm_points_g1s_2016
2440.0,96.8186,0.0000,law3 fwhm_points_g1s_2016
2450.0,97.0981,0.0000,law3 fwhm_points_g1s_2016
2460.0,97.3774,0.0000,law3 fwhm_points_g1s_2016
2470.0,97.6566,0.0000,law3 fwhm_points_g1s_2016
2480.0,97.9357,0.0000,law3 fwhm_points_g1s_2016
2490.0,98.2145,0.0000,law3 fwhm_points_g1s_2016
2500.0,98.4933,0.0000,law3 fwhm_points_g1s_2016
2510.0,98.7719,0.0000,law3 fwhm_points_g1s_2016
2520.0,99.0503,0.0000,law3 fwhm_points_g1s_2016
2530.0,99.3286,0.0000,law3 fwhm_points_g1s_2016
2540.0,99.6067,0.0000,law3 fwhm_points_g1s_2016
2550.0,99.8847,0.0000,law3 fwhm_points_g1s_2016
2560.0,100.1626,0.0000,law3 fwhm_points_g1s_2016
2570.0,100.4403,0.0000,law3 fwhm_points_g1s_2016
2580.0,100.7179,0.0000,law3 fwhm_points_g1s_2016
2590.0,100.9953,0.0000,law3 fwhm_points_g1s_2016
2600.0,101.2726,0.0000,law3 fwhm_points_g1s_2016
2610.0,101.5498,0.0000,law3 fwhm_points_g1s_2016
2620.0,101.8268,0.0000,law3 fwhm_points_g1s_2016
2630.0,102.1037,0.0000,law3 fwhm_points_g1s_2016
2640.0,102.3805,0.0000,law3 fwhm_points_g1s_2016
2650.0,102.6571,0.0000,law3 fwhm_points_g1s_2016
2660.0,102.9336,0.0000,law3 fwhm_points_g1s_2016
2670.0,103.2099,0.0000,law3 fwhm_points_g1s_2016
2680.0,103.4862,0.0000,law3 fwhm_points_g1s_2016
2690.0,103.7623,0.0000,law3 fwhm_points_g1s_2016
2700.0,104.0383,0.0000,law3 fwhm_points_g1s_2016
2710.0,104.3141,0.0000,law3 fwhm_points_g1s_2016
2720.0,104.5898,0.0000,law3 fwhm_points_g1s_2016
2730.0,104.8654,0.0000,law3 fwhm_points_g1s_2016
2740.0,105.1409,0.0000,law3 fwhm_points_g1s_2016
2750.0,105.4163,0.0000,law3 fwhm_points_g1s_2016
2760.0,105.6915,0.0000,law3 fwhm_points_g1s_2016
2770.0,105.9666,0.0000,law3 fwhm_points_g1s_2016
2780.0,106.2416,0.0000,law3 fwhm_points_g1s_2016
2790.0,106.5165,0.0000,law3 fwhm_points_g1s_2016
2800.0,106.7912,0.0000,law3 fwhm_points_g1s_2016
2810.0,107.0659,0.0000,law3 fwhm_points_g1s_2016
2820.0,107.3404,0.0000,law3 fwhm_points_g1s_2016
2830.0,107.6148,0.0000,law3 fwhm_points_g1s_2016
2840.0,107.8891,0.0000,law3 fwhm_points_g1s_2016
2850.0,108.1633,0.0000,law3 fwhm_points_g1s_2016
2860.0,108.4373,0.0000,law3 fwhm_points_g1s_2016
2870.0,108.7113,0.0000,law3 fwhm_points_g1s_2016
2880.0,108.9851,0.0000,law3 fwhm_points_g1s_2016
2890.0,109.2589,0.0000,law3 fwhm_points_g1s_2016
2900.0,109.5325,0.0000,law3 fwhm_points_g1s_2016
2910.0,109.8060,0.0000,law3 fwhm_points_g1s_2016
2920.0,110.0794,0.0000,law3 fwhm_points_g1s_2016
2930.0,110.3527,0.0000,law3 fwhm_points_g1s_2016
2940.0,110.6259,0.0000,law3 fwhm_points_g1s_2016
2950.0,110.8990,0.0000,law3 fwhm_points_g1s_2016
2960.0,111.1720,0.0000,law3 fwhm_points_g1s_2016
2970.0,111.4449,0.0000,law3 fwhm_points_g1s_2016
2980.0,111.7177,0.0000,law3 fwhm_points_g1s_2016
2990.0,111.9904,0.0000,law3 fwhm_points_g1s_2016
3000.0,112.2629,0.0000,law3 fwhm_points_g1s_2016
