# Извлечено 2026-08-09 из IAEA Live Chart of Nuclides (nds.iaea.org/relnsd/v1/data?fields=gammas), схема уровней ВНЕ распада (ADOPTED LEVELS ENSDF), не decay_rads.
# Роль — ПЕРЕКРЁСТНАЯ ПРОВЕРКА к data/conversion_coeff_sum_peak_levels.csv, не замена: полнота tot_conv_coeff ниже (см. докстринг tools/fetch_adopted_gammas.py). Сверка — tools/check_cc_cross_source.py.
nuclide,E_keV,level,start_jp,end_jp,relative_intensity,multipolarity,mixing_ratio,tot_conv_coeff,tce_unc,source
Po214,2109.98,2719.26->609.317,1+,2+,82,[M1+E2],,0.0029,0.0007,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2118.514,2118.535->0,1+,0+,54.4,M1,,0.00356,0.00005,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2120.0,2728.616->609.317,(0+ 1 2),2+,1.8,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2148.0,2147.86->0,(1- 2+),0+,3.1,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2160.4,2769.91->609.317,(1 2+),2+,6.1,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2176.52,2785.97->609.317,(1 2+),2+,33,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2184.8,2794.1->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2192.58,2192.536->0,(2)+,0+,5.5,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2193.3,2802.54->609.317,,2+,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2204.1,2204.102->0,1+,0+,100,M1,,0.00333,0.00005,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2251.55,2860.93->609.317,(1 2+),2+,41,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2260.32,2869.63->609.317,(2- 3-),2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2266.52,2266.4->0,2+,0+,26.1,[E2],,0.002,0.00003,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2270.9,2880.36->609.317,(1- 2+),2+,13.2,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2284.33,2893.63->609.317,(1 2+),2+,28,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2287.65,2896.98->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2293.38,2293.362->0,(1+ 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2310.2,2919.5->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2312.45,2921.89->609.317,(1 2+),2+,67,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2319.3,2928.55->609.317,(1 2+),2+,38,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2325.18,2934.54->609.317,(1 2+),2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2331.38,2940.67->609.317,(1- 2+),2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2348.0,2348.3->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2353.5,2962.8->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2358.0,2967.6->609.317,,2+,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2360.99,2360.97->0,(1 2+),0+,9.2,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2369.56,2978.93->609.317,(1 2+),2+,20,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2376.89,2986.22->609.317,(2- 3),2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2390.82,3000->609.317,(1- 2+),2+,18.4,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2396.5,3005.8->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2405.1,3014.1->609.317,(1 2+),2+,2.6,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2413.1,3022.3->609.317,(2- 3 4+),2+,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2421.0,3030.3->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2423.32,2423.24->0,(1 2+),0+,15.5,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2430.0,3039.3->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2444.7,3053.88->609.317,(1 2+),2+,37,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2447.69,2447.701->0,1-,0+,100,E1,,0.00142,0.00002,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2459.0,3068.3->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2469.4,3078.7->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2472.9,3081.84->609.317,(1 2+),2+,38,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2482.8,2482.459->0,(1- 2+),0+,0.22,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2482.8,3094->609.317,(1- 2+),2+,37,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2505.46,2505.34->0,(1- 2+),0+,3.8,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2529.7,3139->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2540.3,3149.2->609.317,(1 2+),2+,,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2550.6,3160.4->609.317,(1 2+),2+,58,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2553.0,2553->0,,0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2555.1,3164.4->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2562.0,2562.4->0,,0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2564.0,3173.3->609.317,,2+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2574.7,3183.7->609.317,(1 2+),2+,37,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2604.5,2604.68->0,(2+),0+,0.32,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2630.9,2630.84->0,(1 2+),0+,4,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2662.4,2662.33->0,(2+),0+,0.33,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2694.66,2694.62->0,(1- 2+),0+,36.7,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2699.21,2698.6->0,(1 2)+,0+,6.1,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2719.32,2719.26->0,1+,0+,1.7,[M1],,0.00256,0.00004,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2769.92,2769.91->0,(1 2+),0+,82,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2785.93,2785.97->0,(1 2+),0+,36,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2826.96,2826.82->0,(1 2+),0+,13.3,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2861.1,2860.93->0,(1 2+),0+,3.1,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2880.35,2880.36->0,(1- 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2893.59,2893.63->0,(1 2+),0+,33,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2921.97,2921.89->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2928.53,2928.55->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2934.54,2934.54->0,(1 2+),0+,27,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2940.0,2940.67->0,(1- 2+),0+,16,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,2978.94,2978.93->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,3000.0,3000->0,(1- 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,3053.9,3053.88->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,3081.79,3081.84->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,3094.0,3094->0,(1- 2+),0+,11,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,3142.6,3142.6->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,3149.0,3149.2->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,3160.7,3160.4->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Po214,3183.6,3183.7->0,(1 2+),0+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Shaofei Zhu and E. A. McCutchan"
Ra224,74.4,290.352->215.985,3-,1-,1.4,[E2],,38.5,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,84.373,84.372->0,2+,0+,100,E2,,21.2,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,113.9,754.88->640.69,8+,(7-),11,[E1],,0.35,0.007,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,131.613,215.985->84.372,1-,2+,51.4,E1,,0.247,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,142.66,433.02->290.352,(5)-,3-,56,[E2],,2.14,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,151.2,906.17->754.88,(9-),8+,15,[E1],,0.177,0.003,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,160.5,640.69->479.12,(7-),6+,13,[E1],,0.153,0.0025,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,166.41,250.782->84.372,4+,2+,100,E2,,1.164,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,182.29,433.02->250.782,(5)-,4+,100,[E1],,0.1126,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,205.936,290.352->84.372,3-,2+,100,E1,,0.0841,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,207.8,640.69->433.02,(7-),(5)-,100,[E2],,0.51,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,215.983,215.985->0,1-,0+,100,E1,,0.0752,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,228.3,479.12->250.782,6+,4+,100,[E2],,0.367,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,265.5,906.17->640.69,(9-),(7-),100,[E2],,0.223,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,275.8,754.88->479.12,8+,6+,100,[E2],,0.197,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,290.5,290.352->0,3-,0+,,[E3],,1.084,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,313.6,1068.5->754.88,10+,8+,100,[E2],,0.1332,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,314.5,1220.7->906.17,(11-),(9-),100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,325.348,1378.41->1053.041,1-,1-,34.9,M1(+E2),0.3,0.549,0.02,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,335.056,1425.152->1090.087,(0 1 2)-,(2 3)-,22.9,M1(+E2),0.5,0.48,0.05,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,345.2,1413.7->1068.5,(12+),10+,100,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,348.5,433.02->84.372,(5)-,2+,,[E3],,0.508,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,356.7,1573.6->1220.7,(13-),(11-),100,[E2],,0.092,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,372.08,1425.152->1053.041,(0 1 2)-,1-,14.4,M1(+E2),1.1,0.308,0.086,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,373.8,1787.5->1413.7,(14+),(12+),100,[E2],,0.0809,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,382.511,1435.54->1053.041,1-,1-,45.9,M1(+E2),0.7,0.32,0.05,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,386.4,1379.04->992.7,(1+ 2+),(2+),27.9,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,391.1,1964.7->1573.6,(15-),(13-),100,[E2],,0.0717,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,400.2,2187.7->1787.5,(16+),(14+),100,[E2],,0.0674,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,413.4,1379.04->965.65,(1+ 2+),2+,94,M1(+E2),0.5,0.272,0.024,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,419.4,2384.1->1964.7,(17-),(15-),100,[E2],,0.0597,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,424.4,2612.1->2187.7,(18+),(16+),100,[E2],,0.0579,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,442.78,1435.54->992.7,1-,(2+),24,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,442.9,2827->2384.1,(19-),(17-),100,[E2],,0.052,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,447.1,3059.2->2612.1,(20+),(18+),100,[E2],,0.0508,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,461.98,1378.41->916.38,1-,0+,11.2,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,462.8,3289.8->2827,(21-),(19-),100,[E2],,0.0466,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,467.1,3526.3->3059.2,(22+),(20+),100,[E2],,0.0456,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,479.8,3769.6->3289.8,(23-),(21-),100,[E2],,0.0427,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,485.1,4011.4->3526.3,(24+),(22+),100,[E2],,0.0416,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,496.8,4266.4->3769.6,(25-),(23-),100,[E2],,0.0393,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,500.8,4512.2->4011.4,(26+),(24+),100,[E2],,0.0385,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,511.6,4778->4266.4,(27-),(25-),,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,518.2,5030.4->4512.2,(28+),(26+),,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,519.5,1435.54->916.38,1-,0+,7.9,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,659.64,1652.49->992.7,2+,(2+),11.5,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,700.5,916.38->215.985,0+,1-,21,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,702.0,1754.84->1053.041,0+ 1 2,1-,51,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,741.9,992.7->250.782,(2+),4+,88,,,,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,762.63,1053.041->290.352,1-,3-,23.4,(E2),,0.01536,,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
Ra224,799.705,1090.087->290.352,(2 3)-,3-,100,M1(+E2),,0.033,0.019,"IAEA-NDS/ENSDF via Live Chart of Nuclides (gammas, ADOPTED LEVELS — вне распада); eval=Balraj Singh and  Sukhjeet Singh"
