nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Bi214,1032.390,0.064,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2447.701->1415.498,gamma
Bi214,1033.310,0.02,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2694.62->1661.282,gamma
Bi214,1038.000,0.0082,0.0014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2802.54->1764.520,gamma
Bi214,1038.000,0.0077,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2698.60->1661.282,gamma
Bi214,1045.730,0.021,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2423.25->1377.681,gamma
Bi214,1051.960,0.313,0.01,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1661.282->609.318,gamma
Bi214,1058.100,0.008,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2719.26->1661.282,gamma
Bi214,1062.400,0.013,0.008,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2826.82->1764.520,gamma
Bi214,1067.400,0.025,0.006,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2728.617->1661.282,gamma
Bi214,1069.970,0.273,0.018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2447.701->1377.681,gamma
Bi214,1087.400,0.015,0.007,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2630.84->1543.370,gamma
Bi214,1103.700,0.095,0.014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1712.93->609.318,gamma
Bi214,1104.680,0.076,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2482.460->1377.681,gamma
Bi214,1108.800,0.0068,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2769.91->1661.282,gamma
Bi214,1118.900,0.039,0.01,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2662.33->1543.370,gamma
Bi214,1120.294,14.9,0.08,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1729.613->609.318,gamma
Bi214,1130.380,0.037,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2508.12->1377.681,gamma
Bi214,1133.660,0.254,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1742.99->609.318,gamma
Bi214,1155.210,1.634,0.01,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1764.520->609.318,gamma
Bi214,1155.600,0.015,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2698.60->1543.370,gamma
Bi214,1156.000,0.007,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3003.4->1847.446,gamma
Bi214,1167.260,0.0123,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2544.92->1377.681,gamma
Bi214,1173.010,0.055,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2447.701->1274.765,gamma
Bi214,1207.680,0.454,0.018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2482.460->1274.765,gamma
Bi214,1226.700,0.13,0.05,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2604.68->1377.681,gamma
Bi214,1226.800,0.03,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2769.91->1543.370,gamma
Bi214,1230.600,0.008,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2505.34->1274.765,gamma
Bi214,1238.122,5.83,0.03,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1847.446->609.318,gamma
Bi214,1279.000,0.0132,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2940.67->1661.282,gamma
Bi214,1280.976,1.435,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1890.306->609.318,gamma
Bi214,1284.000,0.0118,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2662.33->1377.681,gamma
Bi214,1285.100,0.016,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3014.11->1729.613,gamma
Bi214,1303.750,0.105,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2719.26->1415.498,gamma
Bi214,1316.990,0.082,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2694.62->1377.681,gamma
Bi214,1321.500,0.0045,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2698.60->1377.681,gamma
Bi214,1329.940,0.0118,0.0014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2604.68->1274.765,gamma
Bi214,1341.490,0.021,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2719.26->1377.681,gamma
Bi214,1351.000,0.0068,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2728.617->1377.681,gamma
Bi214,1353.000,0.0045,0.0011,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3014.11->1661.282,gamma
Bi214,1370.500,0.01,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2785.97->1415.498,gamma
Bi214,1377.669,3.985,0.022,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1377.681->0.0,gamma
Bi214,1385.310,0.801,0.008,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1994.639->609.318,gamma
Bi214,1392.500,0.017,0.007,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2769.91->1377.681,gamma
Bi214,1401.515,1.333,0.008,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2010.831->609.318,gamma
Bi214,1407.988,2.388,0.013,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2017.315->609.318,gamma
Bi214,1419.700,0.005,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2694.62->1274.765,gamma
Bi214,1448.850,0.018,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2826.82->1377.681,gamma
Bi214,1471.100,0.0016,0.0007,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3014.11->1543.370,gamma
Bi214,1479.190,0.055,0.008,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2088.44->609.318,gamma
Bi214,1481.300,0.0009,0.0003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3142.6->1661.282,gamma
Bi214,1483.500,0.013,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2860.93->1377.681,gamma
Bi214,1509.211,2.127,0.016,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2118.535->609.318,gamma
Bi214,1515.700,0.018,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2893.60->1377.681,gamma
Bi214,1538.530,0.436,0.023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2147.86->609.318,gamma
Bi214,1543.330,0.309,0.014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1543.370->0.0,gamma
Bi214,1583.203,0.708,0.007,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2192.536->609.318,gamma
Bi214,1594.750,0.273,0.018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2204.103->609.318,gamma
Bi214,1594.800,0.005,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2869.63->1274.765,gamma
Bi214,1598.000,0.006,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3014.11->1415.498,gamma
Bi214,1599.560,0.327,0.018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2208.69->609.318,gamma
Bi214,1636.360,0.0114,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3014.11->1377.681,gamma
Bi214,1637.000,0.007,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3053.88->1415.498,gamma
Bi214,1657.040,0.05,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2266.41->609.318,gamma
Bi214,1661.274,1.046,0.008,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1661.282->0.0,gamma
Bi214,1665.860,0.009,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2940.67->1274.765,gamma
Bi214,1676.100,0.002272,0.000009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3053.88->1377.681,gamma
Bi214,1684.012,0.218,0.014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2293.362->609.318,gamma
Bi214,1711.000,0.0018,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2986.22->1274.765,gamma
Bi214,1717.000,0.0055,0.0014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3093.48->1377.681,gamma
Bi214,1729.595,2.87,0.03,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1729.613->0.0,gamma
Bi214,1751.600,0.005,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2360.97->609.318,gamma
Bi214,1764.491,15.29,0.08,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1764.520->0.0,gamma
Bi214,1813.730,0.0109,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2423.25->609.318,gamma
Bi214,1819.200,0.001363,0.000006,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3093.48->1274.765,gamma
Bi214,1838.360,0.35,0.014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2447.701->609.318,gamma
Bi214,1847.433,2.027,0.016,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1847.446->0.0,gamma
Bi214,1873.160,0.214,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2482.460->609.318,gamma
Bi214,1890.300,0.084,0.01,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,1890.306->0.0,gamma
Bi214,1896.050,0.15,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2505.34->609.318,gamma
Bi214,1898.680,0.05,0.009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2508.12->609.318,gamma
Bi214,1935.580,0.03,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2544.92->609.318,gamma
Bi214,1994.600,0.007,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2604.68->609.318,gamma
Bi214,2004.500,0.0023,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,,gamma
Bi214,2010.800,0.0441,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2010.831->0.0,gamma
Bi214,2021.520,0.0214,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2630.84->609.318,gamma
Bi214,2052.960,0.069,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2662.33->609.318,gamma
Bi214,2085.190,0.0082,0.0005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2694.62->609.318,gamma
Bi214,2089.650,0.045,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2698.60->609.318,gamma
Bi214,2109.980,0.085,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2719.26->609.318,gamma
Bi214,2118.513,1.156,0.01,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2118.535->0.0,gamma
Bi214,2120.000,0.0068,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2728.617->609.318,gamma
Bi214,2148.000,0.0136,0.0014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2147.86->0.0,gamma
Bi214,2160.400,0.0018,0.0005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2769.91->609.318,gamma
Bi214,2176.520,0.005,0.0018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2785.97->609.318,gamma
Bi214,2192.580,0.039,0.004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2192.536->0.0,gamma
Bi214,2204.100,4.92,0.03,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2204.103->0.0,gamma
Bi214,2251.550,0.0055,0.0005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2860.93->609.318,gamma
Bi214,2260.320,0.0086,0.0005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2869.63->609.318,gamma
Bi214,2266.520,0.0168,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2266.41->0.0,gamma
Bi214,2270.900,0.00132,0.00023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2880.36->609.318,gamma
Bi214,2284.330,0.005,0.0005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2893.60->609.318,gamma
Bi214,2287.650,0.0045,0.0005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2896.98->609.318,gamma
Bi214,2293.380,0.309,0.005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2293.362->0.0,gamma
Bi214,2310.200,0.0014,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2919.5->609.318,gamma
Bi214,2312.450,0.0091,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2921.89->609.318,gamma
Bi214,2319.300,0.00041,0.00014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2928.55->609.318,gamma
Bi214,2325.180,0.00168,0.00018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2934.54->609.318,gamma
Bi214,2331.380,0.023,0.003,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2940.67->609.318,gamma
Bi214,2348.000,0.00014,0.00009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2348.3->0.0,gamma
Bi214,2353.500,0.00036,0.00014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2962.8->609.318,gamma
Bi214,2360.990,0.00164,0.00023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2360.97->0.0,gamma
Bi214,2369.560,0.0027,0.0005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2978.93->609.318,gamma
Bi214,2376.890,0.0091,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2986.22->609.318,gamma
Bi214,2390.820,0.00159,0.00014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3000.00->609.318,gamma
Bi214,2405.100,0.00041,0.00014,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3014.11->609.318,gamma
Bi214,2423.320,0.005,0.0005,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2423.25->0.0,gamma
Bi214,2444.700,0.0077,0.0023,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3053.88->609.318,gamma
Bi214,2447.690,1.545,0.011,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2447.701->0.0,gamma
Bi214,2472.900,0.0023,0.0008,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3081.84->609.318,gamma
Bi214,2482.800,0.002,0.0009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3093.48->609.318,gamma
Bi214,2482.800,0.001,0.00018,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2482.460->0.0,gamma
Bi214,2505.460,0.0056,0.001,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2505.34->0.0,gamma
Bi214,2550.600,0.00032,0.00009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,3160.4->609.318,gamma
Bi214,2553.000,9.09e-05,0.0000004,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2553.0->0.0,gamma
Bi214,2562.000,0.00018,0.00009,IAEA-NDS/ENSDF;decay=B-/A;type=gamma;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=09-Aug-2026,2562.4->0.0,gamma
