nuclide,E_keV,I_percent,unc_I_percent,source,level,line_type
Eu152,1084.38,0.0106,0.0008,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1769.130->684.69,gamma
Eu152,1085.837,10.11,0.05,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1085.8408->0.0,gamma
Eu152,1089.737,1.734,0.011,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1434.020->344.2789,gamma
Eu152,1109.18,0.189,0.006,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1109.200->0.0,gamma
Eu152,1112.076,13.67,0.08,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1233.8626->121.7818,gamma
Eu152,1170.97,0.0372,0.0016,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1292.753->121.7818,gamma
Eu152,1206.09,0.013,0.0013,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1550.17->344.2789,gamma
Eu152,1212.948,1.415,0.008,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1579.427->366.4795,gamma
Eu152,1246.34,0.00093,0.00013,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1612.88->366.4795,gamma
Eu152,1249.94,0.187,0.003,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1371.721->121.7818,gamma
Eu152,1261.35,0.0335,0.0013,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1605.596->344.2789,gamma
Eu152,1292.78,0.101,0.003,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1292.753->0.0,gamma
Eu152,1299.142,1.633,0.011,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1643.421->344.2789,gamma
Eu152,1314.6,0.0019,0.0005,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1314.640->0.0,gamma
Eu152,1315.58,0.00364,0.00016,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1682.07->366.4795,gamma
Eu152,1318.38,0.00157,0.00013,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1318.456->0.0,gamma
Eu152,1348.1,0.0173,0.0008,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1692.40->344.2789,gamma
Eu152,1363.78,0.0258,0.0006,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1730.207->366.4795,gamma
Eu152,1390.5,0.00425,0.00016,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1757.001->366.4795,gamma
Eu152,1408.013,20.87,0.09,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1529.8019->121.7818,gamma
Eu152,1455.1,0.0025,0.0005,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1822.03->366.4795,gamma
Eu152,1457.643,0.497,0.004,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1579.427->121.7818,gamma
Eu152,1491.4,0.0006,0.0003,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1612.88->121.7818,gamma
Eu152,1528.1,0.279,0.003,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1649.833->121.7818,gamma
Eu152,1605.62,0.0079,0.0004,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1605.596->0.0,gamma
Eu152,1608.36,0.0054,0.00021,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1730.207->121.7818,gamma
Eu152,1635.38,0.00016,0.00004,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1757.001->121.7818,gamma
Eu152,1647.44,0.0073,0.0003,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1769.130->121.7818,gamma
Eu152,1769.09,0.00931,0.00022,IAEA-NDS/ENSDF;extracted=nds.iaea.org/relnsd/v1/data;fields=decay_rads;rad_types=g;date=11-Aug-2026,1769.130->0.0,gamma
