 Summary of calculated flux in (/(MeV/n)/cm2/sr/s) 
             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35
 *****************  New condition ***********************************************************************************************
 Year= 2019 Month= 12 Day= 15 Lat(deg)= 55.97 Lon(deg)= 37.41 Alti(m)= 11000 g= 10
 Total dose in uSv/h  6.10467
 Dose rate      3.021788e+00  1.420824e+00  1.055938e-01  4.712660e-05  2.546640e-05  9.833299e-05  3.514738e-05  1.016012e-05  4.068373e-05  1.102232e-06  1.230008e-07  2.785781e-08  1.876669e-07  3.434383e-08  1.591754e-07  7.112801e-09  3.337828e-08  6.035818e-09  1.331140e-08  7.680661e-09  6.691082e-10  1.222372e-10  4.105557e-10  2.270698e-10  4.633421e-10  4.088421e-10  4.891771e-09  5.255760e-11  2.568062e-10  1.167987e-01  1.046343e-01  3.513360e-01  3.097294e-01  6.737086e-01
 Dose contri    4.949960e-01  2.327438e-01  1.729721e-02  7.719759e-06  4.171624e-06  1.610782e-05  5.757455e-06  1.664318e-06  6.664359e-06  1.805555e-07  2.014863e-08  4.563359e-09  3.074151e-08  5.625828e-09  2.607435e-08  1.165141e-09  5.467661e-09  9.887211e-10  2.180527e-09  1.258161e-09  1.096059e-10  2.002355e-11  6.725271e-11  3.719607e-11  7.589958e-11  6.697199e-11  8.013160e-10  8.609406e-12  4.206716e-11  1.913268e-02  1.714003e-02  5.755199e-02  5.073645e-02  1.103595e-01
 Energy(MeV/n)        neutro        proton        he---4        li---7        be---9        b---11        c---12        n---14        o---16        f---19        ne--20        na--23        mg--24        al--27        si--28        p---31        s---32        cl--35        ar--40        k---39        ca--40        sc--45        ti--48        v---51        cr--52        mn--55        fe--56        co--59        ni--59        muplus        mumins        electr        positr        photon (/(MeV/n)/cm2/s) 
  1.129400e-08  4.611369e+05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.421900e-08  4.789419e+05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  1.790100e-08  4.948032e+05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
  2.253600e-08  5.078613e+05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
