             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22
 *****************  New condition ***********************************************************************************************
W-index= 11.1 Rc(GV)= 1.3758 depth(g/cm2)= 231.465 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1          -0.9          -0.8          -0.7          -0.6          -0.5          -0.4          -0.3          -0.2          -0.1             0           0.1           0.2           0.3           0.4           0.5           0.6           0.7           0.8           0.9             1 (/(MeV/n)/cm2/s/sr)
  1.129400e-08  4.177635e+04  4.188020e+04  4.198388e+04  4.208739e+04  4.219069e+04  4.229375e+04  4.239652e+04  4.249893e+04  4.260086e+04  4.270206e+04  4.272487e+04  4.271786e+04  4.276646e+04  4.282209e+04  4.288286e+04  4.294775e+04  4.301614e+04  4.308758e+04  4.316175e+04  4.323839e+04  4.331730e+04
  1.421900e-08  4.339029e+04  4.349815e+04  4.360585e+04  4.371335e+04  4.382064e+04  4.392768e+04  4.403442e+04  4.414079e+04  4.424666e+04  4.435177e+04  4.437546e+04  4.436818e+04  4.441866e+04  4.447644e+04  4.453955e+04  4.460695e+04  4.467798e+04  4.475218e+04  4.482922e+04  4.490882e+04  4.499077e+04
  1.790100e-08  4.482821e+04  4.493965e+04  4.505091e+04  4.516198e+04  4.527282e+04  4.538341e+04  4.549368e+04  4.560358e+04  4.571295e+04  4.582155e+04  4.584603e+04  4.583850e+04  4.589066e+04  4.595035e+04  4.601555e+04  4.608518e+04  4.615857e+04  4.623523e+04  4.631482e+04  4.639706e+04  4.648173e+04
  2.253600e-08  4.601222e+04  4.612660e+04  4.624080e+04  4.635480e+04  4.646857e+04  4.658208e+04  4.669527e+04  4.680806e+04  4.692033e+04  4.703179e+04  4.705692e+04  4.704920e+04  4.710273e+04  4.716400e+04  4.723092e+04  4.730239e+04  4.737771e+04  4.745640e+04  4.753809e+04  4.762251e+04  4.770941e+04
  2.837100e-08  4.685248e+04  4.696894e+04  4.708523e+04  4.720131e+04  4.731716e+04  4.743274e+04  4.754800e+04  4.766285e+04  4.777717e+04  4.789067e+04  4.791625e+04  4.790839e+04  4.796290e+04  4.802529e+04  4.809343e+04  4.816621e+04  4.824291e+04  4.832303e+04  4.840621e+04  4.849217e+04  4.858066e+04
  3.571700e-08  4.725197e+04  4.736943e+04  4.748671e+04  4.760378e+04  4.772062e+04  4.783718e+04  4.795342e+04  4.806926e+04  4.818455e+04  4.829901e+04  4.832481e+04  4.831689e+04  4.837186e+04  4.843478e+04  4.850351e+04  4.857690e+04  4.865425e+04  4.873506e+04  4.881895e+04  4.890564e+04  4.899489e+04
