cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
3,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,8.6487e-02,0.0000e+00,8.1404e-08,8.6482e-02,8.6254e-02,1.0696e-01
3,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,9.3404e-01,0.0000e+00,4.5169e-02,7.1406e-01,4.0712e-01,3.6242e-01
3,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,4.4266e-01,0.0000e+00,4.8313e-04,4.2814e-01,3.2776e-01,3.2007e-01
3,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,3.3648e+01,0.0000e+00,1.3464e+01,6.6183e+00,2.5597e+00,7.1385e-01
4,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,6.2086e+00,1.8203e-01,2.3769e+00,2.5254e+00,1.3986e+00,3.3676e+00
4,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,3.4569e-01,0.0000e+00,7.6731e-06,3.4559e-01,3.4281e-01,1.5363e+00
4,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,9.6057e-02,0.0000e+00,8.0568e-08,9.6053e-02,9.5824e-02,1.1847e-01
4,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,8.6064e-02,0.0000e+00,8.0227e-08,8.6059e-02,8.5835e-02,1.0642e-01
4,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,9.2782e-01,0.0000e+00,4.4868e-02,7.0931e-01,4.0441e-01,3.6001e-01
4,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,4.3948e-01,0.0000e+00,4.7966e-04,4.2506e-01,3.2540e-01,3.1777e-01
4,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,3.3211e+01,0.0000e+00,1.3289e+01,6.5324e+00,2.5264e+00,7.0459e-01
5,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,5.6589e+00,1.6570e-01,2.1628e+00,2.3060e+00,1.2780e+00,3.0830e+00
5,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,3.2496e-01,0.0000e+00,7.0988e-06,3.2487e-01,3.2230e-01,1.4460e+00
5,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,9.5057e-02,0.0000e+00,7.7266e-08,9.5053e-02,9.4833e-02,1.1716e-01
