cond,header,particle,flux_total,flux_lt0.5eV,flux_0.5eV-0.1MeV,flux_gt1MeV,flux_gt10MeV,Edep_dose_uSvph
13,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.072700e+01 Lon(deg)= 6.163900e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.9002e+01,0.0000e+00,1.1605e+01,5.7046e+00,2.2063e+00,6.1530e-01
14,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,5.1756e+00,1.5143e-01,1.9763e+00,2.1108e+00,1.1692e+00,2.8251e+00
14,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,2.7514e-01,0.0000e+00,6.3029e-06,2.7506e-01,2.7277e-01,1.2230e+00
14,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,8.7530e-02,0.0000e+00,6.9745e-08,8.7526e-02,8.7327e-02,1.0790e-01
14,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.8772e-02,0.0000e+00,6.9633e-08,7.8768e-02,7.8572e-02,9.7360e-02
14,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,8.3092e-01,0.0000e+00,4.0182e-02,6.3523e-01,3.6217e-01,3.2241e-01
14,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.9355e-01,0.0000e+00,4.2954e-04,3.8065e-01,2.9140e-01,2.8457e-01
14,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.9053e+01,0.0000e+00,1.1626e+01,5.7145e+00,2.2101e+00,6.1637e-01
15,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,5.0307e+00,1.4716e-01,1.9205e+00,2.0523e+00,1.1369e+00,2.7486e+00
15,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,2.7018e-01,0.0000e+00,6.1657e-06,2.7010e-01,2.6787e-01,1.2014e+00
15,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,8.7174e-02,0.0000e+00,6.8793e-08,8.7170e-02,8.6974e-02,1.0745e-01
15,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.8309e-02,0.0000e+00,6.8612e-08,7.8306e-02,7.8112e-02,9.6774e-02
15,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,8.2675e-01,0.0000e+00,3.9981e-02,6.3204e-01,3.6036e-01,3.2080e-01
15,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.9161e-01,0.0000e+00,4.2741e-04,3.7876e-01,2.8996e-01,2.8316e-01
15,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.020400e+01 Lon(deg)= 8.916500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.8798e+01,0.0000e+00,1.1523e+01,5.6644e+00,2.1907e+00,6.1096e-01
16,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,4.6606e+00,1.3623e-01,1.7774e+00,1.9034e+00,1.0547e+00,2.5540e+00
16,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,2.5695e-01,0.0000e+00,5.7990e-06,2.5687e-01,2.5477e-01,1.1437e+00
16,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,8.6098e-02,0.0000e+00,6.6095e-08,8.6094e-02,8.5906e-02,1.0607e-01
16,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.7110e-02,0.0000e+00,6.5900e-08,7.7107e-02,7.6921e-02,9.5252e-02
16,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,8.1445e-01,0.0000e+00,3.9386e-02,6.2264e-01,3.5500e-01,3.1602e-01
16,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.8592e-01,0.0000e+00,4.2121e-04,3.7327e-01,2.8575e-01,2.7905e-01
16,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.794000e+01 Lon(deg)= 1.015430e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.8086e+01,0.0000e+00,1.1239e+01,5.5244e+00,2.1366e+00,5.9586e-01
17,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,4.1355e+00,1.2066e-01,1.5732e+00,1.6936e+00,9.3943e-01,2.2798e+00
17,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,2.2330e-01,0.0000e+00,5.2255e-06,2.2324e-01,2.2134e-01,9.9219e-01
17,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,8.4005e-02,0.0000e+00,6.1480e-08,8.4002e-02,8.3827e-02,1.0341e-01
17,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.5297e-02,0.0000e+00,6.1674e-08,7.5293e-02,7.5120e-02,9.2948e-02
17,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,7.9159e-01,0.0000e+00,3.8281e-02,6.0516e-01,3.4503e-01,3.0715e-01
17,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.7561e-01,0.0000e+00,4.0996e-04,3.6330e-01,2.7812e-01,2.7160e-01
17,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.463500e+01 Lon(deg)= 1.121480e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.6898e+01,0.0000e+00,1.0763e+01,5.2907e+00,2.0462e+00,5.7066e-01
18,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,3.4464e+00,1.0020e-01,1.3038e+00,1.4200e+00,7.8930e-01,1.9210e+00
18,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,1.7450e-01,0.0000e+00,4.2785e-06,1.7444e-01,1.7289e-01,7.8027e-01
18,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,7.9907e-02,0.0000e+00,5.4022e-08,7.9904e-02,7.9750e-02,9.8260e-02
18,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,7.2379e-02,0.0000e+00,5.4945e-08,7.2376e-02,7.2221e-02,8.9251e-02
18,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,7.4934e-01,0.0000e+00,3.6237e-02,5.7286e-01,3.2661e-01,2.9076e-01
18,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.5721e-01,0.0000e+00,3.8988e-04,3.4550e-01,2.6449e-01,2.5829e-01
18,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 5.055100e+01 Lon(deg)= 1.209910e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.5025e+01,0.0000e+00,1.0014e+01,4.9222e+00,1.9037e+00,5.3091e-01
19,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,2.7069e+00,7.8512e-02,1.0176e+00,1.1220e+00,6.2248e-01,1.5248e+00
19,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,1.3640e-01,0.0000e+00,3.2222e-06,1.3636e-01,1.3520e-01,6.1436e-01
19,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,7.3961e-02,0.0000e+00,4.5548e-08,7.3959e-02,7.3829e-02,9.0862e-02
19,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,6.7983e-02,0.0000e+00,4.6797e-08,6.7980e-02,6.7847e-02,8.3737e-02
19,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,6.9087e-01,0.0000e+00,3.3410e-02,5.2816e-01,3.0113e-01,2.6807e-01
19,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,3.3238e-01,0.0000e+00,3.6278e-04,3.2148e-01,2.4611e-01,2.4034e-01
19,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.590900e+01 Lon(deg)= 1.283390e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,2.2830e+01,0.0000e+00,9.1354e+00,4.4905e+00,1.7367e+00,4.8435e-01
20,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,1.7567e+00,5.1033e-02,6.5577e-01,7.3150e-01,4.0062e-01,9.9839e-01
20,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,9.4971e-02,0.0000e+00,2.1768e-06,9.4943e-02,9.4155e-02,4.3170e-01
20,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,6.2206e-02,0.0000e+00,3.2922e-08,6.2204e-02,6.2110e-02,7.6353e-02
20,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,5.7810e-02,0.0000e+00,3.3913e-08,5.7808e-02,5.7712e-02,7.1120e-02
20,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,5.8339e-01,0.0000e+00,2.8212e-02,4.4600e-01,2.5428e-01,2.2637e-01
20,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,2.8399e-01,0.0000e+00,3.0995e-04,2.7467e-01,2.1027e-01,2.0534e-01
20,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 4.087000e+01 Lon(deg)= 1.345070e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,1.9165e+01,0.0000e+00,7.6688e+00,3.7696e+00,1.4579e+00,4.0659e-01
21,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,1.4247e+00,4.1294e-02,5.2893e-01,5.9677e-01,3.2746e-01,8.1635e-01
21,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,7.7980e-02,0.0000e+00,1.7696e-06,7.7957e-02,7.7316e-02,3.5567e-01
21,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,5.5892e-02,0.0000e+00,2.7454e-08,5.5891e-02,5.5813e-02,6.8594e-02
21,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,5.2029e-02,0.0000e+00,2.8229e-08,5.2028e-02,5.1948e-02,6.3989e-02
21,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,5.3068e-01,0.0000e+00,2.5663e-02,4.0570e-01,2.3131e-01,2.0592e-01
21,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,2.5728e-01,0.0000e+00,2.8080e-04,2.4884e-01,1.9050e-01,1.8603e-01
21,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,1.7323e+01,0.0000e+00,6.9316e+00,3.4072e+00,1.3178e+00,3.6751e-01
22,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,5.6262e+00,1.6471e-01,2.1498e+00,2.2934e+00,1.2713e+00,3.0669e+00
22,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,3.2647e-01,0.0000e+00,7.0875e-06,3.2638e-01,3.2382e-01,1.4522e+00
22,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,9.5558e-02,0.0000e+00,7.7423e-08,9.5553e-02,9.5333e-02,1.1777e-01
22,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,8.5377e-02,0.0000e+00,7.7296e-08,8.5373e-02,8.5157e-02,1.0551e-01
22,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,9.1382e-01,0.0000e+00,4.4191e-02,6.9860e-01,3.9831e-01,3.5458e-01
22,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,4.3230e-01,0.0000e+00,4.7183e-04,4.1812e-01,3.2009e-01,3.1258e-01
22,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 5.597000e+01 Lon(deg)= 3.741000e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,3.2108e+01,0.0000e+00,1.2848e+01,6.3154e+00,2.4425e+00,6.8118e-01
23,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,6.5369e+00,1.9178e-01,2.5046e+00,2.6566e+00,1.4710e+00,3.5377e+00
23,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,3.6216e-01,0.0000e+00,8.0475e-06,3.6205e-01,3.5914e-01,1.6088e+00
23,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,9.7111e-02,0.0000e+00,8.2746e-08,9.7106e-02,9.6871e-02,1.1980e-01
23,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,8.7186e-02,0.0000e+00,8.2470e-08,8.7181e-02,8.6950e-02,1.0783e-01
23,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,9.4341e-01,0.0000e+00,4.5622e-02,7.2123e-01,4.1120e-01,3.6606e-01
23,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,4.4717e-01,0.0000e+00,4.8806e-04,4.3251e-01,3.3110e-01,3.2334e-01
23,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,3.4080e+01,0.0000e+00,1.3637e+01,6.7034e+00,2.5926e+00,7.2303e-01
24,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",neutron,1.5110e+00,4.3802e-02,5.6096e-01,6.3290e-01,3.4730e-01,8.6539e-01
24,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",proton,8.3701e-02,0.0000e+00,1.8982e-06,8.3676e-02,8.2989e-02,3.8185e-01
24,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muplus,5.9008e-02,0.0000e+00,2.9588e-08,5.9006e-02,5.8922e-02,7.2410e-02
24,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",muminus,5.5226e-02,0.0000e+00,3.0527e-08,5.5225e-02,5.5138e-02,6.7910e-02
24,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",electron,5.6130e-01,0.0000e+00,2.7144e-02,4.2911e-01,2.4466e-01,2.1780e-01
24,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",positron,2.7365e-01,0.0000e+00,2.9867e-04,2.6467e-01,2.0262e-01,1.9787e-01
24,"Year= 2026 Month= 9 Day= 1 Lat(deg)= 3.555000e+01 Lon(deg)= 1.397800e+02 Alti(m)= 1.100000e+04 g= 1.000000e+01",photon,1.8466e+01,0.0000e+00,7.3893e+00,3.6322e+00,1.4048e+00,3.9177e-01
25,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",neutron,4.3919e+00,1.6694e-01,1.6353e+00,1.9635e+00,1.2649e+00,2.6980e+00
25,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",proton,3.5376e-01,0.0000e+00,7.8967e-06,3.5366e-01,3.5080e-01,1.5714e+00
25,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",muplus,9.6332e-02,0.0000e+00,8.1689e-08,9.6327e-02,9.6095e-02,1.1883e-01
25,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",muminus,8.6487e-02,0.0000e+00,8.1404e-08,8.6482e-02,8.6254e-02,1.0696e-01
25,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",electron,9.3404e-01,0.0000e+00,4.5169e-02,7.1406e-01,4.0712e-01,3.6242e-01
25,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",positron,4.4266e-01,0.0000e+00,4.8313e-04,4.2814e-01,3.2776e-01,3.2007e-01
25,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",photon,3.3648e+01,0.0000e+00,1.3464e+01,6.6183e+00,2.5597e+00,7.1385e-01
26,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",neutron,2.9565e+00,1.1111e-01,1.0215e+00,1.4518e+00,1.0128e+00,2.0334e+00
26,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",proton,3.5376e-01,0.0000e+00,7.8967e-06,3.5366e-01,3.5080e-01,1.5714e+00
26,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",muplus,9.6332e-02,0.0000e+00,8.1689e-08,9.6327e-02,9.6095e-02,1.1883e-01
26,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",muminus,8.6487e-02,0.0000e+00,8.1404e-08,8.6482e-02,8.6254e-02,1.0696e-01
26,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",electron,9.3404e-01,0.0000e+00,4.5169e-02,7.1406e-01,4.0712e-01,3.6242e-01
26,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",positron,4.4266e-01,0.0000e+00,4.8313e-04,4.2814e-01,3.2776e-01,3.2007e-01
26,"Year= 2019 Month= 12 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",photon,3.3648e+01,0.0000e+00,1.3464e+01,6.6183e+00,2.5597e+00,7.1385e-01
27,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",neutron,3.5391e+00,1.3416e-01,1.3134e+00,1.5873e+00,1.0229e+00,2.1931e+00
27,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",proton,2.7514e-01,0.0000e+00,6.3029e-06,2.7506e-01,2.7277e-01,1.2230e+00
27,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",muplus,8.7530e-02,0.0000e+00,6.9745e-08,8.7526e-02,8.7327e-02,1.0790e-01
27,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",muminus,7.8772e-02,0.0000e+00,6.9633e-08,7.8768e-02,7.8572e-02,9.7360e-02
27,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",electron,8.3092e-01,0.0000e+00,4.0182e-02,6.3523e-01,3.6217e-01,3.2241e-01
27,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",positron,3.9355e-01,0.0000e+00,4.2954e-04,3.8065e-01,2.9140e-01,2.8457e-01
27,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -2.450000e+00",photon,2.9053e+01,0.0000e+00,1.1626e+01,5.7145e+00,2.2101e+00,6.1637e-01
28,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",neutron,2.3832e+00,8.9292e-02,8.2042e-01,1.1738e+00,8.1914e-01,1.6541e+00
28,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",proton,2.7514e-01,0.0000e+00,6.3029e-06,2.7506e-01,2.7277e-01,1.2230e+00
28,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",muplus,8.7530e-02,0.0000e+00,6.9745e-08,8.7526e-02,8.7327e-02,1.0790e-01
28,"Year= 2014 Month= 2 Day= 15 Lat(deg)= 6.117600e+01 Lon(deg)= 7.551500e+01 Alti(m)= 1.100000e+04 g= -1.245000e+01",muminus,7.8772e-02,0.0000e+00,6.9633e-08,7.8768e-02,7.8572e-02,9.7360e-02
