config,matrix,rho_gcm3,E_keV,eps_p,d_eps_p,eps_t,d_eps_t,f_abs
full_air_0.00,air,0.0012,30.0,7.288000e-03,6.04e-05,7.446000e-03,6.10e-05,1.0000
full_air_0.00,air,0.0012,46.5,6.284500e-03,5.61e-05,7.225000e-03,6.01e-05,1.0000
full_air_0.00,air,0.0012,59.5,6.603500e-03,5.75e-05,9.244000e-03,6.80e-05,1.0000
full_air_0.00,air,0.0012,80.0,6.972000e-03,5.90e-05,9.465500e-03,6.88e-05,1.0000
full_air_0.00,air,0.0012,92.6,6.834500e-03,5.85e-05,9.052000e-03,6.73e-05,1.0000
full_air_0.00,air,0.0012,122.0,6.471000e-03,5.69e-05,8.477500e-03,6.51e-05,1.0000
full_air_0.00,air,0.0012,186.0,4.470500e-03,4.73e-05,6.234500e-03,5.58e-05,1.0000
full_air_0.00,air,0.0012,238.6,3.058000e-03,3.91e-05,4.833000e-03,4.92e-05,1.0000
full_air_0.00,air,0.0012,295.2,2.049000e-03,3.20e-05,3.831000e-03,4.38e-05,1.0000
full_air_0.00,air,0.0012,351.9,1.411000e-03,2.66e-05,3.192000e-03,3.99e-05,1.0000
full_air_0.00,air,0.0012,477.0,7.625000e-04,1.95e-05,2.489500e-03,3.53e-05,1.0000
full_air_0.00,air,0.0012,583.2,5.170000e-04,1.61e-05,2.195000e-03,3.31e-05,1.0000
full_air_0.00,air,0.0012,609.3,4.875000e-04,1.56e-05,2.116500e-03,3.25e-05,1.0000
full_air_0.00,air,0.0012,661.7,4.105000e-04,1.43e-05,1.984000e-03,3.15e-05,1.0000
full_air_0.00,air,0.0012,795.0,3.190000e-04,1.26e-05,1.808000e-03,3.01e-05,1.0000
full_air_0.00,air,0.0012,911.2,2.340000e-04,1.08e-05,1.696500e-03,2.91e-05,1.0000
full_air_0.00,air,0.0012,968.9,2.280000e-04,1.07e-05,1.676000e-03,2.89e-05,1.0000
full_air_0.00,air,0.0012,1120.3,1.570000e-04,8.86e-06,1.541000e-03,2.78e-05,1.0000
full_air_0.00,air,0.0012,1173.2,1.500000e-04,8.66e-06,1.532500e-03,2.77e-05,1.0000
full_air_0.00,air,0.0012,1332.5,1.180000e-04,7.68e-06,1.405500e-03,2.65e-05,1.0000
full_air_0.00,air,0.0012,1460.8,8.850000e-05,6.65e-06,1.379500e-03,2.63e-05,1.0000
full_air_0.00,air,0.0012,1764.5,7.350000e-05,6.06e-06,1.373000e-03,2.62e-05,1.0000
full_air_0.00,air,0.0012,2204.0,5.850000e-05,5.41e-06,1.288500e-03,2.54e-05,1.0000
full_air_0.00,air,0.0012,2614.5,3.850000e-05,4.39e-06,1.268000e-03,2.52e-05,1.0000
full_air_0.00,air,0.0012,3000.0,2.500000e-05,3.54e-06,1.254500e-03,2.50e-05,1.0000
full_organic_0.50,organic,0.5000,30.0,6.898500e-03,5.87e-05,7.259500e-03,6.02e-05,0.9466
full_organic_0.50,organic,0.5000,46.5,5.975500e-03,5.47e-05,7.893500e-03,6.28e-05,0.9508
full_organic_0.50,organic,0.5000,59.5,6.213000e-03,5.57e-05,1.008600e-02,7.10e-05,0.9409
full_organic_0.50,organic,0.5000,80.0,6.168500e-03,5.55e-05,1.046450e-02,7.23e-05,0.8848
full_organic_0.50,organic,0.5000,92.6,6.201000e-03,5.57e-05,1.026750e-02,7.17e-05,0.9073
full_organic_0.50,organic,0.5000,122.0,5.777000e-03,5.37e-05,9.581500e-03,6.92e-05,0.8928
full_organic_0.50,organic,0.5000,186.0,4.093000e-03,4.52e-05,7.300500e-03,6.04e-05,0.9156
full_organic_0.50,organic,0.5000,238.6,2.832500e-03,3.76e-05,5.698500e-03,5.34e-05,0.9263
full_organic_0.50,organic,0.5000,295.2,1.865000e-03,3.05e-05,4.622000e-03,4.81e-05,0.9102
full_organic_0.50,organic,0.5000,351.9,1.304500e-03,2.55e-05,3.836500e-03,4.38e-05,0.9245
