E_keV,k_organic_0.49,k_soil_1.20,k_soil_1.60,k_water_1.00
1325.0,1.0436,0.8799,1.0035,0.9934
1335.0,1.0300,0.8867,1.0566,1.0560
1345.0,1.0103,0.8884,1.1001,1.0994
1355.0,0.9884,0.8823,1.1304,1.1145
1365.0,0.9682,0.8697,1.1475,1.1015
1375.0,0.9519,0.8551,1.1522,1.0670
1385.0,0.9399,0.8446,1.1443,1.0204
1395.0,0.9312,0.8428,1.1230,0.9712
1405.0,0.9246,0.8510,1.0895,0.9266
1415.0,0.9190,0.8665,1.0483,0.8905
1425.0,0.9137,0.8851,1.0055,0.8629
1435.0,0.9085,0.9028,0.9661,0.8420
1445.0,0.9029,0.9177,0.9321,0.8252
1455.0,0.8969,0.9295,0.9036,0.8099
1465.0,0.8901,0.9385,0.8794,0.7945
1475.0,0.8823,0.9456,0.8582,0.7775
1485.0,0.8733,0.9513,0.8390,0.7578
1495.0,0.8628,0.9561,0.8211,0.7347
1505.0,0.8509,0.9601,0.8056,0.7085
1515.0,0.8377,0.9626,0.7951,0.6816
1525.0,0.8238,0.9624,0.7945,0.6589
1535.0,0.8101,0.9577,0.8087,0.6473
1545.0,0.7977,0.9475,0.8391,0.6515
1555.0,0.7866,0.9320,0.8799,0.6699
1565.0,0.7756,0.9127,0.9212,0.6951
1575.0,0.7634,0.8914,0.9537,0.7184
1585.0,0.7487,0.8693,0.9720,0.7343
1595.0,0.7317,0.8471,0.9750,0.7414
1605.0,0.7143,0.8255,0.9640,0.7420
1615.0,0.7003,0.8057,0.9423,0.7408
1625.0,0.6960,0.7897,0.9145,0.7445
1635.0,0.7086,0.7807,0.8861,0.7610
1645.0,0.7453,0.7831,0.8625,0.7978
1655.0,0.8098,0.8014,0.8485,0.8605
1665.0,0.8988,0.8388,0.8464,0.9492
1675.0,1.0003,0.8947,0.8556,1.0560
1685.0,1.0965,0.9623,0.8733,1.1661
1695.0,1.1718,1.0307,0.8967,1.2626
1705.0,1.2211,1.0892,0.9241,1.3343
1715.0,1.2513,1.1315,0.9555,1.3799
1725.0,1.2747,1.1575,0.9906,1.4049
1735.0,1.3018,1.1708,1.0273,1.4173
1745.0,1.3377,1.1756,1.0620,1.4229
1755.0,1.3826,1.1755,1.0901,1.4248
1765.0,1.4334,1.1724,1.1069,1.4238
1775.0,1.4848,1.1666,1.1082,1.4189
1785.0,1.5302,1.1570,1.0909,1.4078
1795.0,1.5611,1.1413,1.0535,1.3874
1805.0,1.5684,1.1163,0.9972,1.3536
1815.0,1.5441,1.0791,0.9269,1.3022
1825.0,1.4849,1.0289,0.8503,1.2313
1835.0,1.3951,0.9688,0.7767,1.1424
1845.0,1.2860,0.9056,0.7139,1.0419
