E_keV,eps_p_mine,eps_p_lsrm,ratio,shape
80.0,5.602500e-03,4.109660e-03,1.3633,1.1748
92.6,5.524000e-03,4.278454e-03,1.2911,1.1126
122.0,5.187000e-03,4.238599e-03,1.2238,1.0546
186.0,3.667500e-03,3.003359e-03,1.2211,1.0523
238.6,2.526000e-03,2.099247e-03,1.2033,1.0369
295.2,1.757500e-03,1.450752e-03,1.2114,1.0440
351.9,1.192000e-03,1.043015e-03,1.1428,0.9848
477.0,6.690000e-04,5.802175e-04,1.1530,0.9936
583.2,4.690000e-04,3.983623e-04,1.1773,1.0145
609.3,3.960000e-04,3.680318e-04,1.0760,0.9272
661.7,3.690000e-04,3.179837e-04,1.1604,1.0000
795.0,2.510000e-04,2.336013e-04,1.0745,0.9259
911.2,2.060000e-04,1.887127e-04,1.0916,0.9407
968.9,1.965000e-04,1.721897e-04,1.1412,0.9834
1120.3,1.380000e-04,1.400817e-04,0.9851,0.8489
1173.2,1.315000e-04,1.315656e-04,0.9995,0.8613
1332.5,1.050000e-04,1.113379e-04,0.9431,0.8127
1460.8,1.125000e-04,9.917234e-05,1.1344,0.9776
1764.5,6.800000e-05,7.889198e-05,0.8619,0.7428
2204.0,5.500000e-05,6.068492e-05,0.9063,0.7810
2614.5,3.200000e-05,4.954841e-05,0.6458,0.5565
3000.0,2.300000e-05,4.195080e-05,0.5483,0.4725
