#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/distance_sensitivity.py
#@ src.git = 5e614eb-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = относительная чувствительность телесного угла диска к расстоянию источник-кристалл; не эффективность регистрации и не результат счёта
#@ obs.area = н/п — аналитическая формула; не съём площади пика
#@ obs.window = н/п
#@ obs.shelf = н/п — подложка не вычитается; расчёт не по спектру
#@ obs.blurred = н/п
#@ obs.caveat = верхняя граница геометрической части эффективности; поглощение в торце и кристалле не учтено
#@ obs.formula = Omega/4pi(d)=(1-d/sqrt(d^2+a^2))/2; производная по d аналитическая; не конечная разность
# Аналитическая чувствительность телесного угла диска-кристалла к расстоянию источник-кристалл; НЕ замена унаследованным числам 3;05/0;89 %%/мм в report.md — независимая проверка порядка величины (см. докстринг скрипта).
# d_stated_mm — заявленное расстояние (5/25 см от НАРУЖНОЙ плоскости корпуса; подтверждено оператором 31.07.2026).
# d_to_disc_mm = d_stated + ZFACE - cryLen/2 — фактическое расстояние до плоскости кристалла; та же величина, что разыгрывает геометрия (run_all_grids.py: ZFACE + dist).
# sensitivity_pct_per_mm = |d(Omega/4pi)/dd| / (Omega/4pi) * 100; формула и вывод — в докстринге distance_sensitivity.py.
# Отношение чувствительностей 5/25 см = 3.67.
geometry,d_stated_mm,d_to_disc_mm,crystal_radius_mm,omega_over_4pi,sensitivity_pct_per_mm
точечная 5 см,50.0,59.5,31.50,0.058106,2.798
точечная 25 см,250.0,259.5,31.50,0.003644,0.762
