#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/light_matrix_check.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = цена пересчёта эффективности между матрицами пробы через f(mu*ro*d_eff) — против прямого прогона
#@ obs.area = чистая площадь пика за вычетом полки; одно правило на обе стороны
#@ obs.window = +-6 кэВ в каналах; полка [E-25; E-10]
#@ obs.shelf = односторонняя слева
#@ obs.blurred = нет — депозит-спектры как есть
# Цена f(mu*ро*d_eff)-пересчёта между матрицами: маринелли, прямой прогон ОИСН-06 ро=0,64 (600k распадов)
# против пересчёта со штатного прогона ро=1,6/ОИСН-16 (вода как лёгкая среда), окна одинаковые.
# formula_over_direct < 1 — формула ЗАНИЖАЕТ eps (и завышает активность) на этой линии.
E_keV,eps_direct,eps_formula,formula_over_direct,d_ratio
583.187,5.994634e-03,6.077089e-03,1.0138,0.0176
911.204,4.744600e-03,4.547918e-03,0.9585,0.0186
2614.511,2.184929e-03,2.022939e-03,0.9259,0.0260
