#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = C — поправка на каскадное суммирование: отношение эффективности на моноэнергии к эффективности той же линии в прогоне полного распада
#@ obs.area = чистая площадь пика за вычетом полки; ОДНО правило на обе стороны отношения
#@ obs.window = +-6 кэВ в каналах; полка [E-25; E-10]
#@ obs.shelf = односторонняя слева; вычитается одинаково с обеих сторон
#@ obs.blurred = нет — депозит-спектры как есть
nuclide,E_keV,run,N_decays,N_emitted,eps_decay,eps_mono,C_summing,d_C,note
Bi-214,609.32,decay_Bi214,600000,274429,0.021627,0.026023,1.2033,0.0201,
Bi-214,768.36,decay_Bi214,600000,29877,0.017726,0.021228,1.1976,0.067,
Bi-214,1120.294,decay_Bi214,600000,89335,0.012974,0.015579,1.2009,0.041,
Bi-214,1764.491,decay_Bi214,600000,92346,0.010305,0.01053,1.0219,0.0371,
Cs-137,661.657,decay_Cs137,600000,510769,0.022759,0.023947,1.0522,0.0147,контроль: каскада нет
K-40,1460.822,decay_K40,2000000,213084,0.011747,0.0125,1.0642,0.0261,контроль: каскада нет
Tl-208,583.187,decay_Tl208,600000,509096,0.02217,0.026664,1.2027,0.0166,
Tl-208,2614.511,decay_Tl208,600000,598428,0.005949,0.007315,1.2296,0.0308,
