# Пересчёт объёмных записей комплекта поверки.
# A_изм = R_пика / eps_на_распад; A_пасп приведена на дату измерения.
# ratio = A_изм / A_пасп: меньше единицы — модель ЗАВЫШАЕТ эффективность.
# run — прогон распада, из которого взята eps_на_распад.
geometry,nuclide,E_keV,rate_cps,eps_per_decay,A_meas_Bq_kg,A_pass_Bq_kg,ratio,d_pass_pct,run
Marinelli_1L,Cs-137,661.657,16.8673,2.070582e-02,1429.2,1890,0.7951,5.0,decay_Cs137
Marinelli_1L,K-40,1460.822,1.5816,1.258009e-03,1890.6,2540,0.7443,10.0,decay_K40
Marinelli_1L,Ra-226,351.932,6.8137,6.840502e-03,1601.4,1850,0.8656,10.0,chain_Ra226
Marinelli_1L,Ra-226,609.320,9.2729,1.028784e-02,1449.1,1850,0.7833,10.0,chain_Ra226
Marinelli_1L,Ra-226,1120.294,1.4544,1.823964e-03,1281.9,1850,0.6929,10.0,chain_Ra226
Marinelli_1L,Th-232,583.187,13.8683,5.474125e-03,1583.4,1940,0.8162,6.0,chain_Th232
Marinelli_1L,Th-232,911.204,11.4810,4.175910e-03,1718.3,1940,0.8857,6.0,chain_Th232
Marinelli_1L,Th-232,2614.511,4.7402,1.917205e-03,1545.3,1940,0.7965,6.0,chain_Th232
Denta_120mL,Cs-137,661.657,1.6591,2.157337e-02,1130.9,1760,1.0777,5.0,cup_denta_Cs137
Denta_120mL,Ra-226,351.932,1.2050,8.118193e-03,2005.8,1780,1.1379,6.0,cup_denta_Ra226chain
Denta_120mL,Ra-226,609.320,1.6292,1.044714e-02,2107.4,1780,1.1955,6.0,cup_denta_Ra226chain
Denta_120mL,Ra-226,1120.294,0.2717,1.742236e-03,2107.4,1780,1.1955,6.0,cup_denta_Ra226chain
Denta_120mL,Th-232,583.187,2.3369,5.110494e-03,2381.7,1940,1.2277,6.0,cup_denta_Th232chain
Denta_120mL,Th-232,911.204,2.0058,3.931629e-03,2657.1,1940,1.3696,6.0,cup_denta_Th232chain
Denta_120mL,Th-232,2614.511,0.8047,1.983050e-03,2113.4,1940,1.0894,6.0,cup_denta_Th232chain
Petri_60mL,Cs-137,661.657,1.1672,2.606257e-02,1317.2,1760,1.2551,5.0,cup_petri_Cs137
Petri_60mL,Ra-226,351.932,0.8129,9.369483e-03,2344.9,1780,1.3302,6.0,cup_petri_Ra226chain
Petri_60mL,Ra-226,609.320,1.0918,1.292414e-02,2283.2,1780,1.2952,6.0,cup_petri_Ra226chain
Petri_60mL,Ra-226,1120.294,0.1807,2.097305e-03,2328.5,1780,1.3209,6.0,cup_petri_Ra226chain
Petri_60mL,Th-232,583.187,1.6314,6.219622e-03,2732.3,1940,1.4084,6.0,cup_petri_Th232chain
Petri_60mL,Th-232,911.204,1.3427,5.568035e-03,2512.0,1940,1.2948,6.0,cup_petri_Th232chain
Petri_60mL,Th-232,2614.511,0.5265,2.367867e-03,2316.2,1940,1.1939,6.0,cup_petri_Th232chain
