#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/hard_edge_th228.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = активность Th-228 по точечной записи 5 см на нашей и штатной кривых; двумя методами программы
#@ obs.area = площадь снимает СпектраЛайн; сюда приходит готовое число из окна программы
#@ obs.window = конвенция программы (границы пиков в долях ПШПВ)
#@ obs.shelf = ступенька-из-образа плюс полином — конвенция программы
#@ obs.blurred = не применимо — измеренный спектр
# Th-228 (эталон ОСГИ); точечная 5 см; поверка 2024. Паспорт 129000 Бк +-3 % на 09.10.2023; на дату измерения 88653 Бк
#   (T1/2 = 1;9125 года по библиотеке нуклидов прибора).
# Оба прогона — с применённой калибровкой по эффективности; полином зон нашей кривой пересчитан (efa_zones.py).
# Отношение наша/штатная при одной площади есть тождество eps_штатн/eps_наша (известно из полиномов до прогона);
#   прогон подтвердил; что программа потребляет полином в восстановленной конвенции — это проверка транспорта.
# СТРУКТУРА ПЛАТО+РАЗРЫВ: плато 583-861 кэВ 0;933/0;932/0;919 (eps модели выше на 7;8 %); край 2614;5 — 0;784 (на 27;5 %).
# 238;6 (дублет с 240;99) и 300;1 (триплет с 277;4 и 288;2) исключены по неразделимости; 510;77 блендится с 511 кэВ.
# sqrt(1/Sw) как оценка sigma завышена: линии делят паспорт; время и кривую — интервал не трактовать как согласие.
method,A_lsrm_Bq,ratio_lsrm,chi2_lsrm,A_ours_Bq,ratio_ours,chi2_ours,ours_over_lsrm
Base,86012,0.9702,0.27,78332,0.8836,0.22,0.9107
ZoneByZone_Plus,86570,0.9765,0.25,78041,0.8803,0.28,0.9015
