#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/escape_balance.py
#@ src.git = fc36222
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 5
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = отношение площади пика вылета к площади линии; измерение против модели
#@ obs.area = пик полного поглощения; окно вылета +-0;5 ПШПВ
#@ obs.window = линия +-1;0 ПШПВ; вылет +-0;5 ПШПВ
#@ obs.shelf = симметричные полки той же доли ПШПВ; вырез полос НЕ применяется (проверяется именно его нужность)
#@ obs.blurred = модель размыта до приборного ПШПВ; измерение как есть
#@ obs.escape_keV = 28;6 (K-рентген иода)
# Доля пика вылета K-рентгена иода (E-28;6 кэВ) к площади линии: измерение против модели.
# Оценщик ОДИН на обе стороны: сумма в +-0;5 ПШПВ вокруг E-28;6 за вычетом подложки; сравнивается согласие; а не
#   абсолютная доля.
# Проверяет допущение; на котором держится отказ от выреза полос вылета: заражены обе стороны сравнения; и в
#   отношении A = скорость/eps смещение сокращается ТОЛЬКО если модель передаёт вылет верно.
nuclide,E_keV,meas_ratio,d_meas,model_ratio,d_model,sigma
Am-241,59.540,-0.06699,0.00054,0.05539,0.00327,36.88
Ba-133,80.998,0.01951,0.00077,-0.14118,0.00552,28.85
Cd-109,88.030,-0.00946,0.00214,0.00762,0.00361,4.07
Co-57,122.060,-0.04627,0.01035,-0.06999,0.00220,2.24
Ce-139,165.860,-0.35042,0.00238,-0.18708,0.00424,33.61
