#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/bridge_measured.py
#@ src.git = asn16-2026-08-06-response-66-gcf28157-dirty
#@ src.tree_sha1 = 6ba88d759ff4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = B(E) — отношение площади; снятой программой обработки; к истинному пику полного поглощения того же спектра. ИЗМЕРЕНО программой; не воспроизведено своим фитом
#@ obs.area = числитель — чистая площадь штатного фита программы (подложка вычтена ею же); знаменатель — сумма отсчётов истинного пика депозит-спектра; печатается экспортёром в шапку .spe
#@ obs.window = конвенция прибора: зона пика +-2;5 ПШПВ; подложка полиномом 2-й степени; поправка на суммирование выключена
#@ obs.shelf = подложку строит программа; своя реализация не применяется
#@ obs.blurred = да — спектры размыты приборной шириной перед экспортом (той же; какой размывает bridge_mono.py)
#@ obs.geometry = точечный источник на оси; 5 см от наружной поверхности корпуса; полный 4pi
# ОТЗЫВ 02.08.2026 (состязательный аудит): измерение ниже дефектно, программа читала чужой полином ПШПВ из шапки .spe (95;8 кэВ; запись поверки 2016), а не мерила реально размытый пик (108;4 кэВ). Цитированию не подлежит; подробности -- common/docs/method-rules.md §8.
# B(E) ИЗМЕРЕН программой обработки; а не воспроизведён своим фитом (сеанс 01.08.2026). Условия: зона пика +-2;5 ПШПВ; подложка полиномом 2-й степени; поправка на суммирование выключена — параметры конфигурации прибора.
# Сравнение с модельным мостом (bridge_mono.csv): своя реализация завышала B на 1;6...2;4 % на среднем участке и на 10;2 % на жёстком крае. Ошибка НЕРАВНОМЕРНА по энергии; и максимальна там; где решается вывод о балансе.
# Механизм: ширина фита программы на 2614;5 кэВ равна 95;8 кэВ против приборных 108;4 — алгоритм сжимает пик примерно на 12 % и теряет хвосты.
# d_bridge — верхняя оценка: числитель и знаменатель сняты с одних событий и коррелированы.
# decisive=0 — линия 122;1 кэВ; окно полки конвенции лежит там ближе центра; чем одна ПШПВ; конвенция к ней неприменима.
# Центроиды смещены вправо на 3;6...6;7 кэВ: энергетическая шкала экспорта взята из записи поверки 2016 года. На площадь не влияет; при следующем экспорте брать свежую шкалу.
E_keV,area_program,area_true,bridge,d_bridge,fwhm_fit_keV,centroid_keV,d_centroid_keV,decisive
122.100,67572,71185,0.9492,0.0051,13.802,125.707,0.431,0
583.187,25253,25702,0.9825,0.0087,39.034,587.580,0.380,1
661.657,22300,22753,0.9801,0.0092,41.889,665.739,0.417,1
727.330,20327,20752,0.9795,0.0097,44.282,731.410,0.499,1
860.557,17210,17578,0.9791,0.0105,49.428,863.874,0.582,1
2614.511,5133,5946,0.8633,0.0164,95.803,2621.197,1.432,1
