# Второй независимый источник Th-232: партия 420-17031 (860 Бк/кг ±6%, ОИСН-06 ро=0,64), поверка 2024.
# A_изм = R/eps_на_распад тем же конвейером, что kit_recalc (прогон распада, f(mu*ро*d), вода как лёгкая среда).
# ratio = A_изм/A_пасп; usable=0 — линия плохо разделена, в активность не идёт (порог чистоты 0.95).
# Фон — из kit-XML записи Th-232 той же геометрии (bg_ref).
geometry,E_keV,rate_cps,eps_per_decay,A_meas_Bq_kg,A_pass_Bq_kg,ratio,purity,usable,bg_ref
Marinelli_1L,583.187,2.9178,6.077089e-03,750.2,860,0.8723,0.891,0,Th232_420-7-17_Маринелли_0cm.xml
Marinelli_1L,911.204,2.2240,4.547918e-03,764.1,860,0.8885,0.482,0,Th232_420-7-17_Маринелли_0cm.xml
Marinelli_1L,2614.511,0.9955,2.022939e-03,768.9,860,0.8941,1.000,1,Th232_420-7-17_Маринелли_0cm.xml
Petri_60mL,583.187,0.3101,6.491218e-03,1244.0,860,1.4465,0.893,0,sample_Th232_420-7-17_Петри-60мл_0cm.xml
Petri_60mL,911.204,0.2609,5.764659e-03,1178.6,860,1.3705,0.483,0,sample_Th232_420-7-17_Петри-60мл_0cm.xml
Petri_60mL,2614.511,0.1012,2.419597e-03,1089.2,860,1.2666,1.000,1,sample_Th232_420-7-17_Петри-60мл_0cm.xml
Denta_120mL,583.187,0.4657,5.592986e-03,1084.1,860,1.2606,0.893,0,sample_Th232_420-7-17_Дента-120мл_0cm.xml
Denta_120mL,911.204,0.4003,4.231808e-03,1231.7,860,1.4323,0.477,0,sample_Th232_420-7-17_Дента-120мл_0cm.xml
Denta_120mL,2614.511,0.1522,2.076757e-03,954.0,860,1.1093,1.000,1,sample_Th232_420-7-17_Дента-120мл_0cm.xml
