#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/compare_xcom.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = массовый коэффициент ослабления; см2/г: Geant4 против NIST XCOM
#@ obs.area = не применимо — сечения; а не спектры
#@ obs.window = не применимо
#@ obs.shelf = не применимо
#@ obs.blurred = не применимо
# Массовый коэффициент ослабления, см²/г: Geant4 11.2.1 (EmStandardPhysics_option4) против NIST XCOM.
# no_coh = compt+phot+conv, сверяется с XCOM without coherent; with_coh добавляет Rayleigh.
# Эталон: https://physics.nist.gov/PhysRefData/Xcom/html/xcom1.html
# Резина — состав ICRU-37 (NIST STAR, материал 243), готовой таблицы mu/ro для неё у NIST нет.
material,E_keV,g4_no_coh,xcom_no_coh,dev_no_coh_pct,g4_with_coh,xcom_with_coh,dev_with_coh_pct
MgO,59.5,2.06132e-01,2.07500e-01,-0.659,2.31431e-01,2.32600e-01,-0.503
MgO,88.0,1.61671e-01,1.62100e-01,-0.264,1.73929e-01,1.74300e-01,-0.213
MgO,122.1,1.42829e-01,1.43000e-01,-0.119,1.49418e-01,1.49600e-01,-0.122
MgO,661.7,7.63795e-02,7.65500e-02,-0.223,7.66148e-02,7.67900e-02,-0.228
Al,59.5,2.44580e-01,2.46600e-01,-0.819,2.79361e-01,2.81000e-01,-0.583
Al,88.0,1.69276e-01,1.69700e-01,-0.250,1.86190e-01,1.86500e-01,-0.166
Al,122.1,1.42764e-01,1.42900e-01,-0.095,1.51888e-01,1.52000e-01,-0.073
Al,661.7,7.41692e-02,7.43500e-02,-0.243,7.44979e-02,7.46700e-02,-0.231
rubber,59.5,1.84385e-01,1.84800e-01,-0.224,1.93279e-01,1.93600e-01,-0.166
rubber,88.0,1.69446e-01,1.69900e-01,-0.267,1.73690e-01,1.74100e-01,-0.236
rubber,122.1,1.56887e-01,1.57100e-01,-0.136,1.59135e-01,1.59300e-01,-0.104
rubber,661.7,8.58912e-02,8.60900e-02,-0.231,8.59696e-02,8.61700e-02,-0.233
NaI,59.5,6.37320e+00,6.37000e+00,+0.050,6.61230e+00,6.59500e+00,+0.262
NaI,88.0,2.21240e+00,2.21600e+00,-0.162,2.33463e+00,2.33100e+00,+0.156
NaI,122.1,9.35157e-01,9.38700e-01,-0.377,1.00274e+00,1.00400e+00,-0.125
NaI,661.7,7.38010e-02,7.39700e-02,-0.229,7.63748e-02,7.66400e-02,-0.346
