#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/soft_edge_am241.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = активность Am-241 по чистой монолинии 59;5 кэВ на нашей и штатной кривых
#@ obs.area = площадь снимает СпектраЛайн; сюда приходит готовое число
#@ obs.window = конвенция программы (границы пиков в долях ПШПВ)
#@ obs.shelf = ступенька-из-образа плюс полином — конвенция программы
#@ obs.blurred = не применимо — измеренный спектр
# Am-241 59;5 кэВ (чистая монолиния); точечная 5 см; поверка 2024. Паспорт 103100 Бк +-3 % (k=2; 30.03.2021) -> 102513 Бк на дату измерения 21.10.2024.
# Сеанс 30.07.2026 на параметрах резервного слепка; калибровка по эффективности применена в обоих прогонах;
#   полином зон нашей кривой пересчитан (efa_zones.py).
# На краю зоны полином отходит от узла: штатный +3;44 %; наш +0;64 % (подтверждено столбцом Deviation редактора);
#   поэтому расхождение кривых здесь 5;1 % по полиномам; а не 2;5 % по узлам — и оно выше разрешения вывода.
# Предсказание 104600 Бк было зафиксировано до прогона; получено 105000 (Base) и 104000 (ZoneByZone_Plus).
# Знак обратен жёсткому краю: здесь наша кривая завышает активность на 6 %; на 2614;5 кэВ занижает на 22 %;
#   полиномы пересекаются на 81;0 кэВ — единым множителем расхождение не объясняется.
curve,method,peak_area,A_Bq,unc_pct,ratio_to_passport,eps_from_activity
штатная,Base,2654000,99000,13,0.9657,4.122294e-02
штатная,ZoneByZone_Plus,2650000,99000,17,0.9657,4.116081e-02
наша,Base,2655000,105000,16,1.0243,3.888199e-02
наша,ZoneByZone_Plus,2650000,104000,19,1.0145,3.918192e-02
