#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/continuum.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = активность по УЧАСТКУ континуума вне пиков; отнесённая к активности по опорной линии
#@ obs.area = сумма отсчётов участка; подложка НЕ вычитается — участок и есть подложка
#@ obs.window = участки шириной E_STEP вне пиков; границы в столбцах E_lo_keV и E_hi_keV
#@ obs.shelf = не применимо — снимается сам континуум; а не пик над ним
#@ obs.blurred = измерение как есть; модель размыта приборной ПШПВ
# континуум вне пиков: активность по участку против опоры
geometry,E_lo_keV,E_hi_keV,A_Bq,ratio_to_anchor,d_ratio
Petri_60mL,1268,1292,216.23,0.9213,0.0173
Petri_60mL,1308,1332,237.01,1.0098,0.0199
Petri_60mL,1348,1372,272.23,1.1598,0.0235
Petri_60mL,1388,1412,314.58,1.3403,0.0292
Petri_60mL,1428,1452,309.02,1.3166,0.0332
Petri_60mL,1468,1492,333.08,1.4191,0.0292
Petri_60mL,1668,1692,238.09,1.0144,0.0184
Petri_60mL,1708,1732,252.97,1.0778,0.0234
Petri_60mL,1748,1772,258.44,1.1011,0.0246
Petri_60mL,1788,1812,251.30,1.0707,0.0234
Petri_60mL,1828,1852,242.73,1.0341,0.0227
Petri_60mL,1868,1892,254.29,1.0834,0.0224
Petri_60mL,1908,1932,224.20,0.9552,0.0206
Petri_60mL,1948,1972,209.22,0.8914,0.0196
Petri_60mL,1988,2012,228.96,0.9755,0.0203
Petri_60mL,2028,2052,198.71,0.8466,0.0174
Petri_60mL,2068,2092,191.13,0.8143,0.0141
Petri_60mL,2108,2132,235.91,1.0051,0.0149
Petri_60mL,2148,2172,258.03,1.0993,0.0175
Petri_60mL,2188,2212,247.40,1.0540,0.0188
Petri_60mL,2228,2252,237.80,1.0131,0.0185
Petri_60mL,2268,2292,230.25,0.9810,0.0178
Petri_60mL,2308,2332,223.10,0.9505,0.0173
Petri_60mL,2348,2372,202.26,0.8617,0.0169
Petri_60mL,2388,2412,220.57,0.9397,0.0207
Petri_60mL,2428,2452,207.82,0.8854,0.0238
Petri_60mL,2468,2492,232.05,0.9887,0.0279
