#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/tcc_selfcheck.py
#@ src.git = 6e620d0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = unstamped
#@ src.inputs_n = 10
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_unstamped = 5
#@ src.inputs_digest = c3f2833812a7
#@ obs.quantity = поправка на истинное совпадение; измеренная моделью на самой себе: прогон распада против моноэнергии
#@ obs.area = чистая площадь пика; ОДНО правило на обе стороны отношения (common/py/peakwin.area)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = симметричная [E-25; E-10] и [E+10; E+25] средней плотностью; 15 каналов каждая; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
# Поправка на истинное совпадение, измеренная моделью на самой себе: прогон полного распада против моноэнергий.
# TCC = eps_decay / (yield * eps_mono). Деление на выход обязательно: eps_decay считается НА РАСПАД и уже содержит выход,
#   а eps_mono — на испущенный квант. Без деления Cs-137 дал бы 0,85 вместо 1,00 при полном отсутствии суммирования.
# Выход берётся из emit-файла того же прогона распада — фактический, а не табличный.
# Cs-137 — контроль метода (каскада нет), Co-60 — рабочая точка.
nuclide,E_keV,eps_decay,yield,eps_mono,tcc,d_tcc,expected
Cs-137,661.657,1.21905e-02,0.85096,1.40140e-02,1.0222,0.0162,1.00000
Co-60,1173.230,7.92950e-03,0.99859,8.20937e-03,0.9673,0.0192,0.97387
Co-60,1332.490,6.90600e-03,0.99984,7.16612e-03,0.9639,0.0205,0.97291
