#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/cascade_predict_p5.py
#@ src.git = 0ecf649-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 5
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = e2ca0e3cdc99
#@ obs.quantity = C — поправка на каскадное суммирование для точечной 5 см; отношение эффективности на моноэнергии к эффективности той же линии в прогоне полного распада
#@ obs.area = чистая площадь пика за вычетом полки; ОДНО правило на обе стороны (common/py/peakwin.area)
#@ obs.window = +-6 кэВ в каналах; полка [E-25; E-10] — конвенция peakwin
#@ obs.shelf = односторонняя слева; вычитается на обеих сторонах одинаково
#@ obs.blurred = нет — депозит-спектры как есть
#@ obs.geometry = точечный источник z = 91 мм; полный 4pi; моно и распад в одинаковых условиях
# C = eps(моно) / eps(распад) для точечной 5 см: во сколько раз пик недобирает в полном распаде из-за суммирования.
# underest_pct = 1/C - 1 — на столько занижен узел аттестации; ЕСЛИ поправка при её построении не вводилась.
# observed_pct/d_observed_pct — просадка узла относительно опоры одиночных излучателей и её погрешность (attested_cascade_check.csv, dev_pct/d_node_pct); вне 662…1116 опоры нет.
# n_sigma_comb — |модель-наблюдение| к КОМБИНИРОВАННОЙ погрешности обеих независимых сторон (в квадратуре), не только модели.
# Обе стороны C сняты ОДНИМ правилом peakwin.area — иначе в C вошла бы разница конвенций; а не физика.
# C модели относится к цепочке в равновесии Geant4; состояние источника комплекта не установлено.
E_keV,peak_decay,emitted,C_summing,underest_pct,d_underest_pct,observed_pct,d_observed_pct,n_sigma_comb
583.187,13899,914685,1.0543,-5.15,1.00,,,
727.330,2670,200239,0.9713,+2.96,2.12,-4.31,2.72,2.1
860.557,1513,136603,0.9911,+0.90,2.70,-4.67,2.51,1.5
2614.511,3816,1075522,1.0473,-4.52,1.98,,,
