#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/ba133_sumpeak.py
#@ src.git = 8fe3604-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 2
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = сумма отсчётов в окне вокруг линии — депозит и эмиссия по отдельности; активность не вычисляется
#@ obs.area = сырая сумма БЕЗ вычета подложки (окно +-3 кэВ); сум-пик 437;011 кэВ сравнивается с суммой предшественников; а не с чистой площадью пика
#@ obs.window = +-3.0 кэВ по энергии (не в каналах)
#@ obs.shelf = нет — подложка не вычитается
#@ obs.blurred = нет (депозит-спектр распада как есть)
# Ba-133 точечная 5 см; МК-спектр распада с истинным суммированием (resolving_time 1000 нс; 400000 распадов).
# 437,011 кэВ — сум-пик 356,013 плюс 80,998; реальной линии нет (выход 0; эмиссия 0); весь депозит от суммирования.
# Переход 80;998 сильно конверсионный: alpha_total = 1;703 (опубликованное; поле conversion_coeff IAEA NDS; mult M1+E2);
#   P(гамма) = 1/(1+alpha) = 0;370. Без множителя расчёт завышен в 2;7 раза — ошибка первого захода; 2;7 и есть 1/0;370.
# Предсказание 437 = (пик356 + N_437)*0;370*eps_p81_моно(0;04374) = 101; наблюдение 107; набл/пред 1.06 при стат. ~10 %
#   согласие в пределах статистики; вывод «0;36 = подавление угловой корреляции» первого захода ОТОЗВАН.
# correlatedGamma в прогоне не включён (default выключено) — корреляции в этих отсчётах нет по построению;
#   каскад E2 -> почти чистый M1 (delta 0;158) допускает лишь W = 1 + A22*P2; подавление 0;37 требовало бы A22 <~ -0;8.
# НИЖЕ — числа рентгеновского и сум-ин канала НЕ пересчитаны этим прогоном (нет кода; получены разбором вручную по старому прогону); в report.md не цитируются (см. method-rules).
# Канал рентгена Cs (по старому прогону, для справки): 386;5 кэВ -> 102 отсчёта (356 + Kalpha; эмиссия 0); 390-392 -> 25 (356 + Kbeta);
#   это ВТРОЕ сильнее гамма-канала 302x81 (35). В реальном спектре при ПШПВ ~40 кэВ особенность внутри линии 383;849.
# Сум-ин (по старому прогону, для справки) измерен независимо сравнением с моно-сеткой: отношение распад/сетка 356 -> 0;963 (сум-аут); 384 -> 1;089 (сум-ин);
#   избыток на 384 = 77 отсчётов; гамма-канал 302x81 даёт 37; остаток ~40 — канал 356 + рентген K-серии Cs.
E_keV,yield_pct,deposit_counts,emission_counts
80.998,32.949,6022,143705
302.851,18.336,2088,73655
356.013,62.050,6112,246658
383.849,8.941,981,36117
437.011,0.000,107,0
