#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 1d4e536-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 24
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = 8a4617c1f50b
#@ obs.quantity = абсолютная эффективность регистрации в ППП — доля испущенных квантов данной энергии; давших отсчёт в пике
#@ obs.area = eps_net — площадь пика за вычетом полки континуума (правило common/py/peakwin); eps_gross — та же площадь без вычета (столбцы намеренно оба)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.in_range = 1 внутри паспортного диапазона 50…3000 кэВ (п. 2.2); 0 вне его — там прибор не аттестован
#@ obs.solid_angle = точечные сетки разыграны в конус; eps приведена к 4pi множителем из grid/<метка>_solidangle.txt
E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction,in_range
45.3,0.007751,0.00014023373345953535,0.007815,400000,3100.4,1.0,0
56.1,0.0175155,0.00021479699718571484,0.0180375,400000,7006.2,1.0,1
59.5,0.020919499999999997,0.0002363149381651528,0.0217075,400000,8367.8,1.0,1
88.0,0.0415005,0.00037021649071860646,0.0489025,400000,16600.2,1.0,1
122.1,0.055391499999999996,0.00042351593830693076,0.0644775,400000,22156.6,1.0,1
165.9,0.060581499999999996,0.0004270781544401446,0.0674575,400000,24232.6,1.0,1
238.632,0.058261499999999994,0.00040094357458375613,0.0616175,400000,23304.6,1.0,1
241.995,0.057128000000000005,0.0003981632830887348,0.06062,400000,22851.2,1.0,1
295.223,0.051618500000000005,0.00037259797369282625,0.0537925,400000,20647.4,1.0,1
338.32,0.046615,0.00035144345206590495,0.048165,400000,18646.0,1.0,1
351.932,0.046191,0.0003488631536863703,0.047575,400000,18476.4,1.0,1
463.004,0.036744,0.0003076962788205278,0.03737,400000,14697.6,1.0,1
583.187,0.030174,0.0002776364529380103,0.03054,400000,12069.6,1.0,1
609.32,0.029099,0.00027217549485580075,0.029395,400000,11639.6,1.0,1
661.657,0.026883,0.00026116374174069417,0.027105,400000,10753.2,1.0,1
768.36,0.0232495,0.0002425587557685766,0.0234075,400000,9299.8,1.0,1
911.204,0.020579499999999997,0.00022769442241741452,0.0206675,400000,8231.8,1.0,1
1120.29,0.0167865,0.00020547080084527825,0.0168425,400000,6714.6,1.0,1
1460.82,0.013573,0.00018472005846685953,0.013615,400000,5429.2,1.0,1
1764.49,0.0113225,0.00016851186901817926,0.0113425,400000,4529.0,1.0,1
2614.51,0.007776,0.00013949193525075203,0.00778,400000,3110.4,1.0,1
3000.0,0.0067465,0.00012997403586870727,0.0067525,400000,2698.6,1.0,1
3304.8,0.006085,0.0001233389638354401,0.006085,400000,2434.0,1.0,0
3552.5,0.0055520000000000005,0.00011796609682446903,0.00556,400000,2220.8,1.0,0
