#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/cell_lsrm_curve.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = скорости счёта нашего конвейера на кривой ЛСРМ — клетка эксперимента 2x2
#@ obs.area = чистая площадь пика за вычетом подложки; съём нашим конвейером
#@ obs.window = окно нашего конвейера в долях ПШПВ
#@ obs.shelf = симметричные полки той же доли ПШПВ
#@ obs.blurred = не применимо — измеренный спектр
# Клетка 2x2 (кривая ЛСРМ x наш алгоритм): скорости нашего конвейера, eps из штатного .efa, A=R/(eps*I), без поправки на цепочку (у оператора выключена).
# Паспорт 3104 Бк; плотность source = плотности аттестации, поправки самопоглощения нет.
# Контроль площади 2614,5 (один спектр, три обработки): наша 53820, сеанс СпектраЛайн 54000, аттестация .efr 59668.
E_keV,rate_cps,eps_lsrm,I_frac,A_Bq,ratio,usable
583.187,13.8667,2.171222e-02,0.3050,2094.0,0.6746,0
911.204,11.4814,1.346059e-02,0.2580,3306.1,1.0651,0
2614.511,4.7380,4.713864e-03,0.3590,2799.8,0.9020,1
