#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/point_recalc_lsrm.py
#@ src.git = 9a8b949-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 34
#@ src.inputs_sha1 = bd17f9bea1e4
#@ obs.quantity = A_изм/A_пасп ПАРОЙ: по нашей модели и по аттестованной кривой .efr; rate и паспорт общие
#@ obs.area = пик полного поглощения; вычтена подложка по полкам
#@ obs.window = +-1;0 ПШПВ (единая конвенция на обеих дистанциях; задача 132)
#@ obs.shelf = симметричные по 1;0 ПШПВ с двух сторон; вырез полос вылета НЕ применяется (см. obs.escape_bias)
#@ obs.blurred = да — обе стороны (5 и 25 см) размыты до приборного ПШПВ; включая сетку моноэнергий на 25 см
#@ obs.escape_bias = НЕ УСТРАНЕНА: пик вылета K-рентгена иода (28.6 кэВ) попадает в левую полку конвенции ±1 ПШПВ в полосе 54.3...217.4 кэВ (линии 59.5; 81.0; 88.0; 121.8; 122.1; 165.9). Обе стороны сравнения считаются ОДНИМ правилом без выреза; вырез сломан на измеренной стороне (задача 135)
#@ obs.lineset = СУЖЕН: только линии внутри надёжной области интерполяции .efr (узел ближе 5 кэВ либо оба анкера ближе 60 кэВ)
#@ obs.pileup = учтён множителем exp(2*тау*R) по полной скорости счёта
#@ obs.warning = ratio_ours НЕ сводка point_recalc.py — набор линий другой; для сводки брать kit_activity_point.csv
# Активность по нашей Geant4-модели и по штатной кривой ЛСРМ (.efr), обе против паспорта источника.
# Один и тот же rate и паспорт A0 для обеих колонок — различается только источник эффективности.
# ours_over_lsrm показывает, сколько нашей систематики остаётся ПОСЛЕ вычета того, что не сходится
#   даже у штатной, аттестованной кривой прибора.
# ratio_ours посчитан на СУЖЕННОМ наборе линий (см. obs.lineset в штампе) и НЕ равен
#   сводке kit_activity_point.csv. Сводка модели — там; здесь пара на общем наборе.
geometry,ratio_ours,d_ratio_ours,ratio_lsrm,d_ratio_lsrm,ours_over_lsrm
Point_5cm,1.0376,0.0131,0.9614,0.0277,1.0793
Point_25cm,1.0248,0.0192,0.9562,0.0150,1.0717
