#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/shield_role.py
#@ src.git = 6e620d0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = unstamped
#@ src.inputs_n = 8
#@ src.inputs_sha1 = БЕЗ-ШТАМПА
#@ src.inputs_unstamped = 8
#@ src.inputs_digest = 678b97b1e5c4
#@ obs.quantity = отношение чистых площадей ППП с защитой и без (shield/bare); точечный источник 5 см; полный 4π
#@ obs.area = чистая площадь пика; одно правило на обе стороны отношения (common/py/peakwin.area)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = симметричная [E-25; E-10] и [E+10; E+25] средней плотностью; 15 каналов каждая; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
# Вклад защиты в ППП: отношение чистых площадей shield/bare; точечный источник 5 см; полный 4pi.
# ratio_sym - основная оценка (симметричная полка); ratio_left - контроль чувствительности к способу.
# Больше единицы - защита добавляет в пик обратнорассеянные кванты.
E_keV,ratio_sym,d_ratio,ratio_left,total_per_prim_shield,total_per_prim_bare
122.1,1.0059,0.0060,1.0061,0.04898,0.04674
165.9,0.9985,0.0059,0.9987,0.05008,0.04763
661.7,1.0081,0.0100,1.0076,0.03272,0.03040
2614.5,0.9754,0.0185,0.9749,0.02534,0.02123
