# Мост методик; точечная 5 см; моно-спектры полной геометрии scat_p5_full (661;7 и 2614;5 кэВ).
# мост = площадь гаусс-фита по размытому спектру / истинный полнопоглощённый пик депозит-спектра.
# мост < 1 и падающий: аттестованная конвенция занижает площадь тем сильнее; чем выше энергия — снимает часть разрыва.
# Фон линейный; СпектраЛайн берёт ступеньку+полином 2 — восстановит больше; мост 0;84 на 2614;5 — нижняя граница.
# Полный набор шести линий требует моно-сетки точечной 5 см (регенерация драйвером); открыто.
E_keV,true_peak,fit_area,bridge_fit_over_truepeak
661.657,20349,20189,0.9922
2614.511,5482,4616,0.8421
