#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/cell_2x2.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = активность по аттестационной записи в четырёх сочетаниях кривая x алгоритм
#@ obs.area = площадь снимает СпектраЛайн своим алгоритмом; сюда приходит готовое число из окна программы
#@ obs.window = задаётся конфигурацией прибора (границы пиков в долях ПШПВ)
#@ obs.shelf = ступенька-из-образа плюс полином — конвенция программы
#@ obs.blurred = не применимо — измеренный спектр
# Эксперимент 2x2 (кривая x алгоритм) на аттестационной записи Th232_420-7-17_Маринелли_0cm, паспорт 1940 Бк/кг.
# Клетки СпектраЛайн — метод «По всем зонам», один сеанс разметки; сводка по правилу ЛСРМ с погрешностями окна.
# Клетки нашего алгоритма — по чистой линии 2614,5 (у нас она единственная годная по чистоте).
# ВАЖНО: редактор эффективности перенормировал нашу кривую (множитель ~1,12), поэтому клетка «наша x SL» отвечает
#   о ФОРМЕ кривой, не об уровне.
cell,A_Bq_kg,ratio_to_passport,chi2_dof,n_lines
кривая ЛСРМ x СпектраЛайн,1826,0.9413,0.95,6
кривая наша x СпектраЛайн,1752,0.9030,0.62,5
кривая наша x наш алгоритм,1544,0.7960,,1
кривая ЛСРМ x наш алгоритм,1750,0.9020,,1
