#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/bridge_attested_ratio.py
#@ src.git = 9478efd-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = отношение штатная/наша эффективность eps_master(E)/eps_ours(E) на узлах Th-228; посчитанное АНАЛИТИЧЕСКИ по полиномам зон .efa — не снято программой; тождество проверено отдельно (hard_edge_th228.py; сеанс 30.07.2026)
#@ obs.area = не применимо — величина не из съёма площади; а из полинома калибровки эффективности
#@ obs.window = не применимо
#@ obs.shelf = не применимо
#@ obs.blurred = не применимо
# Точное r(E) = eps_master(E)/eps_ours(E) по коэффициентам полинома зон .efa; заменяет ATTESTED_RATIO (bridge_mono.py) — ту же величину, снятую ранее вручную из округлённого вывода программы (hard_edge_th228.py, сеанс 30.07.2026, до peakwin).
# eps_master — блок Точечная-5см РАБОЧЕГО .efa прибора (G1S_LSRM_MASTER_EFA, ЛИЧНЫЙ файл, не в репозитории; читаются только числа, заводской номер никуда не переносится).
# eps_ours — results/efa_export/G4MC_проба_Точечная-5см.efa (committed, обезличен, ТЕКУЩАЯ кривая после миграции на peakwin, задача 150).
# d_ratio_pct — квадратура СКО фита обеих зон (поле 4 Zone_k, лог10-шкала, 10**СКО-1 в %); на 583;187 кэВ (перекрытие зон 1 и 2, см. docstring) добавлена квадратурой половина разброса между зонами.
# Тождество r = A_наша/A_штатная при одной площади проверено ПРОГОНОМ СпектраЛайн 30.07.2026 (hard_edge_th228.py) — здесь используется, не переоткрывается. ОГОВОРКА: 727;330 и 860;557 (плато) и 2614;511 (край) — одна зона 2 у обоих полиномов; их d_ratio_pct НЕ независимы (общая систематика качества фита зоны) — квадратурные комбинации ниже по конвейеру (residual_budget_2614.py) консервативны, не строги.
E_keV,eps_master,eps_ours,ratio_attested_over_ours,d_ratio_pct
583.187,1.484170e-02,1.602969e-02,0.9259,2.83
727.330,1.206256e-02,1.309341e-02,0.9213,2.77
860.557,1.019905e-02,1.117020e-02,0.9131,2.77
2614.511,2.922446e-03,3.727946e-03,0.7839,2.77
