#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/curve_crossing_p5cm.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = активность Ba-133 по точечной записи 5 см на двух кривых — нашей и штатной
#@ obs.area = площадь снимает СпектраЛайн; сюда приходит готовое число
#@ obs.window = конвенция программы (границы пиков в долях ПШПВ)
#@ obs.shelf = ступенька-из-образа плюс полином — конвенция программы
#@ obs.blurred = не применимо — измеренный спектр
# Ba-133 #SRC-21; точечная 5 см; поверка 2024; живое время 6049;951 с. Оба прогона с ПРИМЕНЁННОЙ калибровкой по
#   эффективности; параметры обработки резервного слепка; полином зон нашей кривой пересчитан (efa_zones.py).
# ПРОВЕРКА ТРАНСПОРТА; не модели: A_наша/A_штатн при одной площади есть тождество eps_штатн/eps_наша — известно из
#   полиномов до прогона. Точка 81;0 кэВ — корень eps_наша=eps_штатн; отношение 1;0000 там предопределено.
# Что прогон дал: СпектраЛайн потребляет полином в восстановленной конвенции; поправок поверх не вносит.
# Точность печатная: активности округлены до 2-3 значащих; отношения несут ~1 %; не 0;1 % — 15600->15600 не измерение.
# Линия 383;849 загрязнена истинным суммированием (сум-пик 437;011 в 1;66 ПШПВ; крыло дублета 356;013): 21000 Бк; +38 %.
# Отсюда пустая таблица базового метода (порог MaxChiSquare=20 в [TemplateCalc]); у ОБЕИХ кривых — механизм физический.
# Отношения по методам числами не сверены (штат — Зоны+; наш — Все зоны): презумпция; открыто в задаче 121.
E_keV,eps_lsrm,eps_ours,A_lsrm_Bq,A_predicted_Bq,A_ours_Bq,ratio_ours_over_lsrm
80.998,4.244300e-02,4.244200e-02,15600,15600,15600,1.0000
276.399,2.843500e-02,3.139900e-02,12300,11139,11100,0.9024
302.851,2.668700e-02,2.947900e-02,14800,13398,13500,0.9122
356.013,2.358200e-02,2.600300e-02,15400,13967,14200,0.9221
383.849,2.215300e-02,2.438100e-02,21000,19081,19400,0.9238
