#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/export_curves.py
#@ src.git = 1d4e536-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 216
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = ead406b59781
#@ obs.quantity = абсолютная эффективность регистрации в ППП — доля испущенных квантов данной энергии; давших отсчёт в пике
#@ obs.area = eps_net — площадь пика за вычетом полки континуума (правило common/py/peakwin); eps_gross — та же площадь без вычета (столбцы намеренно оба)
#@ obs.window = +-6.0 кэВ = 12 каналов (счёт в каналах; ширина не зависит от дробной части E)
#@ obs.shelf = односторонняя [E-25; E-10] = 15 каналов; множитель вычитания 12/15
#@ obs.blurred = нет (депозит как есть; на ПШПВ не нормируется)
#@ obs.in_range = 1 внутри паспортного диапазона 50…3000 кэВ (п. 2.2); 0 вне его — там прибор не аттестован
#@ obs.solid_angle = точечные сетки разыграны в конус; eps приведена к 4pi множителем из grid/<метка>_solidangle.txt
grid,geometry,matrix,density_g_cm3,fill_ml,shield_lid,E_keV,eps_net,d_eps,eps_gross,N_primaries,net_counts,solid_angle_fraction,in_range
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,338.32,0.046615,0.00035144345206590495,0.048165,400000,18646.0,1.0,1
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,351.932,0.046191,0.0003488631536863703,0.047575,400000,18476.4,1.0,1
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,463.004,0.036744,0.0003076962788205278,0.03737,400000,14697.6,1.0,1
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,583.187,0.030174,0.0002776364529380103,0.03054,400000,12069.6,1.0,1
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,609.32,0.029099,0.00027217549485580075,0.029395,400000,11639.6,1.0,1
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,661.657,0.026883,0.00026116374174069417,0.027105,400000,10753.2,1.0,1
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,768.36,0.0232495,0.0002425587557685766,0.0234075,400000,9299.8,1.0,1
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,911.204,0.020579499999999997,0.00022769442241741452,0.0206675,400000,8231.8,1.0,1
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,1120.29,0.0167865,0.00020547080084527825,0.0168425,400000,6714.6,1.0,1
denta1.60,Дента 120 мл,ОИСН-16,1.6,120.0,закрыта,1460.82,0.013573,0.00018472005846685953,0.013615,400000,5429.2,1.0,1
