#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/attested_cascade_check.py
#@ src.git = 8a34b8c
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = отклонение узла аттестованной кривой от опорной линии; построенной ТОЛЬКО по одиночным гамма-излучателям
#@ obs.area = величины взяты из файла .efr как есть — это уже готовые узлы эффективности; площади здесь не снимаются
#@ obs.window = не применимо — узлы кривой; а не спектр
#@ obs.shelf = не применимо
#@ obs.blurred = не применимо — сравниваются узлы аттестованной кривой между собой
#@ obs.reference = степенная линия eps = k*E^p по трём одиночным узлам 661;657 / 834;848 / 1115;539
#@ obs.scope = 662…1116 кэВ — диапазон опорных узлов; на 2614;5 тест НЕ переносится (одиночных узлов выше 1115;5 нет)
# Проверка БЕЗ внешнего эталона: кривая обязана быть гладкой; одиночные излучатели задают опору; каскадные проверяются.
# Опора — только Cs-137 661;657; Mn-54 834;848; Zn-65 1115;539: в одном акте один регистрируемый квант.
# Сомнительные (Co-57 с 14;41; Am-241 и Cd-109 с рентгеном) отнесены к каскадным намеренно: при сомнении — вон из опоры.
# Просадка каскадных узлов — след неучтённого суммирования в аттестации; то есть занижения аттестованной eps.
# Диапазон действия — только между крайними опорными узлами; на 2614;5 тест не переносится.
E_keV,nuclide,eps_attested,eps_reference,dev_pct,d_node_pct,n_sigma,role
661.657,Cs-137,1.374200e-02,1.391893e-02,-1.27,1.5839,0.8,опора
727.330,Th-228,1.212129e-02,1.266722e-02,-4.31,2.1734,2.0,каскад
834.848,Mn-54,1.129982e-02,1.104228e-02,+2.33,1.9850,1.2,опора
860.557,Th-228,1.021314e-02,1.071377e-02,-4.67,1.9028,2.5,каскад
898.042,Y-88,9.998491e-03,1.026843e-02,-2.63,1.5534,1.7,каскад
964.057,Eu-152,1.023209e-02,9.568155e-03,+6.94,2.5585,2.7,каскад
1115.539,Zn-65,8.189508e-03,8.273982e-03,-1.02,2.0108,0.5,опора
