#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/peak_to_total.py
#@ src.git = 915834b-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = ok
#@ src.inputs_n = 1
#@ src.inputs_sha1 = bd17f9bea1e4
#@ src.inputs_digest = 304105d77f74
#@ obs.quantity = P/T — отношение площади пика к полной площади в окне +-2.5 ПШПВ; величина безразмерная и от уровня эффективности не зависит
#@ obs.area = P — площадь гауссианы фита (ступенька и подложка в неё не входят); T — валовая сумма отсчётов в том же окне
#@ obs.window = +-2.5 ПШПВ — LeftPeakBound/RightPeakBound из lsrm.cnf прибора
#@ obs.shelf = подложка входит в T целиком; из P исключается фитом (линейная плюс ступенька-из-образа)
#@ obs.blurred = да — расчётный спектр распада размыт приборной ПШПВ по шести измеренным линиям
#@ obs.caveat = фон помещения в модели отсутствует; он поднимает T измерения; поэтому измеренное P/T — нижняя оценка
#@ obs.source = расчёт — прогон распада p5_Th228 (не моно: в окне должен быть континуум всей цепочки); измерение — запись Th-228 5 см
# Отношение пик/полная площадь: проверка ФОРМЫ отклика; не уровня. От абсолютной эффективности не зависит.
# «Полная площадь» — по определению ЛСРМ: сумма площади под пиком и фона под пиком в окне границ пика.
# Границы +-2;5 ПШПВ — LeftPeakBound/RightPeakBound из lsrm.cnf прибора; в слепке аттестации те же.
# Измеренные пары (Площадь; Полная площадь) перенесены из окна «Параметры пиков»; файла-артефакта в репозитории нет.
# Фон помещения в модели отсутствует: измеренное P/T — нижняя оценка; разница модель-минус-измерение — верхняя.
E_keV,P_model,T_model,pt_model,d_pt_stat,pt_measured,diff_abs,n_sigma,fit_width_rel,usable,neighbours
238.632,47392,72164,0.6567,0.0018,0.6080,+0.0487,27.6,0.968,0,дублет с 240;99 (Ra-224) внутри окна
583.187,11018,23074,0.4775,0.0033,0.6597,-0.1822,55.4,0.876,0,510;77 (Tl-208) и аннигиляционная 511 внутри окна
2614.511,3337,5139,0.6494,0.0067,0.6966,-0.0472,7.1,0.904,1,нет
