#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/corr_gamma_effect.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = отношение эффективности с включённым флагом correlatedGamma к эффективности без него
#@ obs.area = чистая площадь пика за вычетом полки; одно правило на оба прогона
#@ obs.window = +-6 кэВ в каналах; полка [E-25; E-10]
#@ obs.shelf = односторонняя слева; вычитается одинаково в обоих прогонах
#@ obs.blurred = нет — депозит-спектры как есть
# Влияние /process/had/deex/correlatedGamma на суммирование: Co-60 вплотную к торцу.
# Флаг по умолчанию ВЫКЛЮЧЕН, и включить его из макроса нельзя — параметр деэксцитации принимается только до инициализации,
#   а команда в макросе отвергается с нулевым кодом возврата. Включается переменной G1S_CORRELATED_GAMMA.
# Геометрия вплотную выбрана намеренно: на рабочих 5 см сдвиг составил бы 0,23 процентного пункта и потребовал бы
#   около 130 млн распадов, чтобы отличаться от нуля на трёх сигмах.
quantity,eps_off,eps_on,ratio,d_ratio,sigma
пик 1173 кэВ,3.741150e-02,3.728700e-02,0.9967,0.0052,-0.65
пик 1332 кэВ,3.286040e-02,3.274030e-02,0.9963,0.0055,-0.66
сумм-пик 2506 кэВ,1.689000e-03,1.755300e-03,1.0393,0.0250,+1.57
