#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/hard_edge_th228.py
#@ src.git = e3db348-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = активность Th-228 по точечной записи 5 см на нашей и штатной кривых; двумя методами программы
#@ obs.area = площадь снимает СпектраЛайн; сюда приходит готовое число из окна программы
#@ obs.window = конвенция программы (границы пиков в долях ПШПВ)
#@ obs.shelf = ступенька-из-образа плюс полином — конвенция программы
#@ obs.blurred = не применимо — измеренный спектр
# Отношение наша/штатная (метод Base) и превышение eps модели над штатной кривой, ПОЛИНОМ ЗА ПОЛИНОМ (при одной площади съёма отношение есть тождество eps_штатн/eps_наша).
# role: плато (583-861 кэВ, чистые линии) / край (2614,5, жёсткий) / вне_плато (238,6 дублет, 300,1 триплет — неразделимы, не использовать как опору).
# УСТАРЕЛО как числовой источник для задачи 109 (01.08.2026 ночь; сеанс до миграции на peakwin; задача 150-151 P1-4): residual_budget_2614.py и bridge_mono.py теперь читают bridge_attested_ratio.csv (тот же расчёт; точнее и свежее).
# Роль ЭТОЙ таблицы теперь — независимое подтверждение тождества A_наша/A_штатная = eps_штатн/eps_наша (не устарело).
E_keV,ratio_ours_over_lsrm,excess_model_pct,role
238.632,0.8804,+13.58,вне_плато
300.087,0.9221,+8.45,вне_плато
583.187,0.9326,+7.23,плато
727.330,0.9318,+7.32,плато
860.557,0.9186,+8.86,плато
2614.511,0.7841,+27.54,край
