metric,value
n_events,5000000
n_hits_in_crystal,4221
n_hits_direct,1951
n_hits_pb_scat,1578
n_hits_pb_born,692
flux_total_cm2_s,0
surface_cm2,0
rate_per_s,0.0086625
t_run_s,577200577.2
cps_total,7.3128825e-06
shield,1
shield_pb_mm,50
shield_cavity_mm,150x150x385
stand_mm,25
device_z_mm,-133.75
screen_up,1

bin_keV,counts,cps,counts_direct,counts_pb_scat,counts_pb_born
168,4,6.93e-09,0,2,2
169,6,1.0395e-08,2,1,3
170,7,1.21275e-08,4,3,0
171,2,3.465e-09,0,1,1
172,9,1.55925e-08,4,3,2
173,5,8.6625e-09,0,4,1
174,2,3.465e-09,1,1,0
175,4,6.93e-09,0,2,2
176,4,6.93e-09,2,2,0
177,5,8.6625e-09,0,5,0
178,9,1.55925e-08,3,5,1
179,3,5.1975e-09,0,2,1
180,2,3.465e-09,1,1,0
181,7,1.21275e-08,1,5,1
182,6,1.0395e-08,2,4,0
183,7,1.21275e-08,3,1,3
184,4,6.93e-09,3,1,0
185,8,1.386e-08,4,4,0
186,5,8.6625e-09,0,3,2
187,10,1.7325e-08,2,5,3
188,8,1.386e-08,4,4,0
189,2,3.465e-09,2,0,0
190,8,1.386e-08,1,7,0
191,7,1.21275e-08,3,3,1
192,9,1.55925e-08,3,4,2
193,5,8.6625e-09,3,2,0
194,5,8.6625e-09,3,1,1
195,6,1.0395e-08,1,2,3
196,9,1.55925e-08,3,5,1
197,10,1.7325e-08,5,5,0
198,7,1.21275e-08,0,6,1
199,6,1.0395e-08,2,3,1
200,6,1.0395e-08,3,3,0
201,9,1.55925e-08,4,5,0
202,3,5.1975e-09,0,2,1
203,5,8.6625e-09,0,3,2
204,1,1.7325e-09,0,1,0
205,3,5.1975e-09,1,1,1
206,6,1.0395e-08,2,4,0
207,2,3.465e-09,2,0,0
208,5,8.6625e-09,4,1,0
209,4,6.93e-09,2,1,1
210,7,1.21275e-08,3,4,0
211,4,6.93e-09,2,2,0
212,5,8.6625e-09,2,3,0
213,5,8.6625e-09,0,4,1
214,5,8.6625e-09,2,2,1
215,5,8.6625e-09,1,4,0
216,6,1.0395e-08,1,5,0
217,7,1.21275e-08,0,7,0
218,3,5.1975e-09,1,1,1
219,5,8.6625e-09,0,5,0
220,8,1.386e-08,1,7,0
221,4,6.93e-09,1,3,0
222,5,8.6625e-09,2,3,0
223,5,8.6625e-09,2,2,1
224,2,3.465e-09,0,2,0
225,3,5.1975e-09,0,2,1
226,5,8.6625e-09,3,2,0
227,6,1.0395e-08,1,5,0
228,2,3.465e-09,1,0,1
229,7,1.21275e-08,3,3,1
230,7,1.21275e-08,4,2,1
231,8,1.386e-08,5,1,2
232,5,8.6625e-09,3,2,0
233,7,1.21275e-08,1,5,1
234,1,1.7325e-09,0,1,0
235,2,3.465e-09,1,1,0
236,2,3.465e-09,2,0,0
237,3,5.1975e-09,1,2,0
238,5,8.6625e-09,2,3,0
239,4,6.93e-09,4,0,0
240,0,0,0,0,0
241,6,1.0395e-08,3,3,0
242,2,3.465e-09,1,1,0
243,4,6.93e-09,1,2,1
244,2,3.465e-09,1,1,0
245,3,5.1975e-09,2,1,0
246,7,1.21275e-08,5,2,0
247,8,1.386e-08,5,3,0
248,2,3.465e-09,1,1,0
249,5,8.6625e-09,3,1,1
250,6,1.0395e-08,3,3,0
251,3,5.1975e-09,1,2,0
252,3,5.1975e-09,3,0,0
253,5,8.6625e-09,3,2,0
254,8,1.386e-08,3,5,0
255,6,1.0395e-08,3,2,1
256,5,8.6625e-09,1,4,0
257,4,6.93e-09,0,4,0
258,4,6.93e-09,1,3,0
259,6,1.0395e-08,3,3,0
260,5,8.6625e-09,1,4,0
261,6,1.0395e-08,2,3,1
262,1,1.7325e-09,1,0,0
263,5,8.6625e-09,3,2,0
264,3,5.1975e-09,2,1,0
265,7,1.21275e-08,0,5,2
266,4,6.93e-09,3,0,1
267,2,3.465e-09,1,0,1
268,8,1.386e-08,4,3,1
269,4,6.93e-09,1,2,1
270,6,1.0395e-08,1,5,0
271,4,6.93e-09,2,2,0
272,1,1.7325e-09,0,1,0
