config,matrix,rho_gcm3,E_keV,eps_p,d_eps_p,eps_t,d_eps_t,f_abs
full_organic_0.50,organic,0.5000,3000.0,3.600000e-05,4.24e-06,2.199500e-03,3.32e-05,0.8471
full_soil_0.80,soil,0.8000,30.0,4.976500e-03,4.99e-05,5.028000e-03,5.01e-05,0.4089
full_soil_0.80,soil,0.8000,46.5,8.176500e-03,6.39e-05,9.435000e-03,6.87e-05,0.7692
full_soil_0.80,soil,0.8000,59.5,9.521500e-03,6.90e-05,1.413600e-02,8.41e-05,0.8312
full_soil_0.80,soil,0.8000,80.0,1.012150e-02,7.11e-05,1.569300e-02,8.86e-05,0.8523
full_soil_0.80,soil,0.8000,92.6,1.040450e-02,7.21e-05,1.588100e-02,8.91e-05,0.8866
full_soil_0.80,soil,0.8000,122.0,9.764000e-03,6.99e-05,1.519200e-02,8.72e-05,0.8936
full_soil_0.80,soil,0.8000,186.0,7.005000e-03,5.92e-05,1.178600e-02,7.68e-05,0.9022
full_soil_0.80,soil,0.8000,238.6,4.788000e-03,4.89e-05,9.246000e-03,6.80e-05,0.9327
full_soil_0.80,soil,0.8000,295.2,3.169000e-03,3.98e-05,7.423000e-03,6.09e-05,0.9004
full_soil_0.80,soil,0.8000,351.9,2.284000e-03,3.38e-05,6.275500e-03,5.60e-05,0.9006
full_soil_0.80,soil,0.8000,477.0,1.240500e-03,2.49e-05,4.910000e-03,4.95e-05,0.9005
full_soil_0.80,soil,0.8000,583.2,8.345000e-04,2.04e-05,4.228000e-03,4.60e-05,0.9581
full_soil_0.80,soil,0.8000,609.3,7.350000e-04,1.92e-05,4.113500e-03,4.54e-05,0.8888
full_soil_0.80,soil,0.8000,661.7,6.685000e-04,1.83e-05,3.892000e-03,4.41e-05,0.9233
full_soil_0.80,soil,0.8000,795.0,4.640000e-04,1.52e-05,3.470000e-03,4.17e-05,0.8889
full_soil_0.80,soil,0.8000,911.2,3.680000e-04,1.36e-05,3.192500e-03,4.00e-05,0.9412
full_soil_0.80,soil,0.8000,968.9,3.840000e-04,1.39e-05,3.276500e-03,4.05e-05,1.1870
full_soil_0.80,soil,0.8000,1120.3,2.730000e-04,1.17e-05,2.843500e-03,3.77e-05,1.0168
full_soil_0.80,soil,0.8000,1173.2,2.485000e-04,1.11e-05,2.969500e-03,3.85e-05,1.0205
full_soil_0.80,soil,0.8000,1332.5,1.785000e-04,9.45e-06,2.742500e-03,3.70e-05,0.8992
full_soil_0.80,soil,0.8000,1460.8,1.535000e-04,8.76e-06,2.643500e-03,3.64e-05,0.8434
full_soil_0.80,soil,0.8000,1764.5,1.200000e-04,7.75e-06,2.481500e-03,3.52e-05,0.9524
full_soil_0.80,soil,0.8000,2204.0,8.250000e-05,6.42e-06,2.467000e-03,3.51e-05,1.0061
full_soil_0.80,soil,0.8000,2614.5,5.700000e-05,5.34e-06,2.372000e-03,3.44e-05,0.9913
full_soil_0.80,soil,0.8000,3000.0,4.350000e-05,4.66e-06,2.300500e-03,3.39e-05,1.0235
full_soil_1.20,soil,1.2000,30.0,3.671000e-03,4.28e-05,3.705500e-03,4.30e-05,0.3016
full_soil_1.20,soil,1.2000,46.5,7.001000e-03,5.92e-05,8.179000e-03,6.39e-05,0.6586
full_soil_1.20,soil,1.2000,59.5,8.619000e-03,6.56e-05,1.338600e-02,8.18e-05,0.7524
full_soil_1.20,soil,1.2000,80.0,9.559500e-03,6.91e-05,1.585600e-02,8.90e-05,0.8049
full_soil_1.20,soil,1.2000,92.6,9.842500e-03,7.02e-05,1.646650e-02,9.07e-05,0.8387
full_soil_1.20,soil,1.2000,122.0,9.171500e-03,6.77e-05,1.574450e-02,8.87e-05,0.8394
full_soil_1.20,soil,1.2000,186.0,6.506500e-03,5.70e-05,1.248250e-02,7.90e-05,0.8380
full_soil_1.20,soil,1.2000,238.6,4.526500e-03,4.76e-05,9.880000e-03,7.03e-05,0.8818
full_soil_1.20,soil,1.2000,295.2,3.117500e-03,3.95e-05,8.087000e-03,6.36e-05,0.8858
full_soil_1.20,soil,1.2000,351.9,2.164500e-03,3.29e-05,6.848500e-03,5.85e-05,0.8535
full_soil_1.20,soil,1.2000,477.0,1.215500e-03,2.47e-05,5.473500e-03,5.23e-05,0.8824
full_soil_1.20,soil,1.2000,583.2,8.475000e-04,2.06e-05,4.739500e-03,4.87e-05,0.9730
full_soil_1.20,soil,1.2000,609.3,7.365000e-04,1.92e-05,4.537000e-03,4.76e-05,0.8906
full_soil_1.20,soil,1.2000,661.7,6.160000e-04,1.75e-05,4.246500e-03,4.61e-05,0.8508
full_soil_1.20,soil,1.2000,795.0,4.795000e-04,1.55e-05,3.880000e-03,4.40e-05,0.9186
full_soil_1.20,soil,1.2000,911.2,3.610000e-04,1.34e-05,3.582000e-03,4.23e-05,0.9233
full_soil_1.20,soil,1.2000,968.9,3.400000e-04,1.30e-05,3.493500e-03,4.18e-05,1.0510
full_soil_1.20,soil,1.2000,1120.3,2.655000e-04,1.15e-05,3.205000e-03,4.00e-05,0.9888
full_soil_1.20,soil,1.2000,1173.2,2.235000e-04,1.06e-05,3.080000e-03,3.92e-05,0.9179
full_soil_1.20,soil,1.2000,1332.5,1.870000e-04,9.67e-06,2.932000e-03,3.83e-05,0.9421
full_soil_1.20,soil,1.2000,1460.8,1.580000e-04,8.89e-06,2.837500e-03,3.77e-05,0.8681
full_soil_1.20,soil,1.2000,1764.5,1.235000e-04,7.86e-06,2.711000e-03,3.68e-05,0.9802
full_soil_1.20,soil,1.2000,2204.0,7.450000e-05,6.10e-06,2.588500e-03,3.60e-05,0.9085
