E_keV,k_soil_1.20,k_soil_1.60,k_water_1.00
1655.0,1.0644,1.1031,1.1790
1665.0,1.0253,1.0790,1.1863
1675.0,0.9792,1.0496,1.1867
1685.0,0.9329,1.0156,1.1803
1695.0,0.8920,0.9794,1.1693
1705.0,0.8594,0.9444,1.1571
1715.0,0.8355,0.9146,1.1462
1725.0,0.8187,0.8929,1.1378
1735.0,0.8073,0.8806,1.1314
1745.0,0.7999,0.8777,1.1259
1755.0,0.7958,0.8828,1.1201
1765.0,0.7948,0.8938,1.1132
1775.0,0.7976,0.9080,1.1052
1785.0,0.8053,0.9219,1.0965
1795.0,0.8191,0.9315,1.0887
1805.0,0.8397,0.9331,1.0842
1815.0,0.8660,0.9248,1.0852
1825.0,0.8946,0.9084,1.0928
1835.0,0.9201,0.8898,1.1057
1845.0,0.9365,0.8764,1.1202
1855.0,0.9389,0.8747,1.1313
1865.0,0.9255,0.8880,1.1348
1875.0,0.8973,0.9158,1.1275
1885.0,0.8584,0.9541,1.1089
1895.0,0.8147,0.9966,1.0803
1905.0,0.7726,1.0359,1.0450
1915.0,0.7369,1.0651,1.0071
1925.0,0.7098,1.0794,0.9706
1935.0,0.6909,1.0767,0.9383
1945.0,0.6779,1.0582,0.9117
1955.0,0.6676,1.0279,0.8909
1965.0,0.6580,0.9914,0.8744
1975.0,0.6482,0.9551,0.8605
1985.0,0.6392,0.9245,0.8468
1995.0,0.6333,0.9040,0.8317
2005.0,0.6337,0.8958,0.8145
2015.0,0.6437,0.9004,0.7962
2025.0,0.6651,0.9165,0.7791
2035.0,0.6980,0.9420,0.7664
2045.0,0.7406,0.9739,0.7611
2055.0,0.7893,1.0090,0.7652
2065.0,0.8394,1.0442,0.7789
2075.0,0.8861,1.0761,0.8004
2085.0,0.9246,1.1022,0.8266
2095.0,0.9512,1.1211,0.8539
2105.0,0.9634,1.1334,0.8799
2115.0,0.9603,1.1415,0.9035
2125.0,0.9422,1.1492,0.9250
2135.0,0.9107,1.1602,0.9456
2145.0,0.8686,1.1768,0.9657
2155.0,0.8190,1.1991,0.9847
2165.0,0.7654,1.2247,1.0010
2175.0,0.7113,1.2498,1.0120
2185.0,0.6594,1.2690,1.0152
2195.0,0.6120,1.2772,1.0081
2205.0,0.5711,1.2697,0.9890
2215.0,0.5387,1.2440,0.9570
2225.0,0.5168,1.2004,0.9131
2235.0,0.5073,1.1432,0.8606
2245.0,0.5115,1.0800,0.8050
2255.0,0.5296,1.0195,0.7532
2265.0,0.5608,0.9693,0.7116
2275.0,0.6031,0.9338,0.6846
2285.0,0.6543,0.9142,0.6742
2295.0,0.7123,0.9090,0.6800
2305.0,0.7749,0.9160,0.7002
2315.0,0.8404,0.9329,0.7323
2325.0,0.9071,0.9577,0.7732
2335.0,0.9732,0.9891,0.8200
2345.0,1.0368,1.0265,0.8698
2355.0,1.0961,1.0692,0.9198
2365.0,1.1489,1.1170,0.9671
2375.0,1.1933,1.1699,1.0093
2385.0,1.2272,1.2278,1.0439
2395.0,1.2487,1.2905,1.0686
2405.0,1.2561,1.3569,1.0815
2415.0,1.2478,1.4239,1.0809
2425.0,1.2232,1.4859,1.0657
2435.0,1.1828,1.5342,1.0358
2445.0,1.1297,1.5587,0.9924
2455.0,1.0694,1.5501,0.9385
2465.0,1.0103,1.5028,0.8795
2475.0,0.9620,1.4153,0.8231
2485.0,0.9353,1.2906,0.7799
2495.0,0.9391,1.1359,0.7618
2505.0,0.9773,0.9657,0.7790
2515.0,1.0423,0.8031,0.8312
2525.0,1.1144,0.6732,0.9022
2535.0,1.1725,0.5888,0.9675
2545.0,1.2071,0.5450,1.0107
2555.0,1.2209,0.5277,1.0297
2565.0,1.2215,0.5242,1.0305
2575.0,1.2155,0.5266,1.0206
2585.0,1.2070,0.5311,1.0056
2595.0,1.1980,0.5361,0.9890
2605.0,1.1895,0.5410,0.9727
2615.0,1.1817,0.5457,0.9578
2625.0,1.1747,0.5503,0.9445
2635.0,1.1683,0.5548,0.9331
2645.0,1.1625,0.5592,0.9234
2655.0,1.1571,0.5636,0.9153
2665.0,1.1521,0.5680,0.9087
2675.0,1.1474,0.5724,0.9035
2685.0,1.1429,0.5768,0.8994
2695.0,1.1387,0.5812,0.8964
2705.0,1.1347,0.5857,0.8944
2715.0,1.1309,0.5902,0.8931
2725.0,1.1273,0.5947,0.8926
2735.0,1.1238,0.5993,0.8927
2745.0,1.1204,0.6039,0.8934
2755.0,1.1172,0.6085,0.8946
2765.0,1.1142,0.6132,0.8962
2775.0,1.1112,0.6179,0.8982
2785.0,1.1084,0.6227,0.9005
2795.0,1.1057,0.6274,0.9031
2805.0,1.1031,0.6323,0.9060
2815.0,1.1007,0.6372,0.9060
2825.0,1.0983,0.6421,0.9057
2835.0,1.0802,0.6470,0.9102
2845.0,1.0533,0.7688,1.0206
