#@ stamp.version = 1
#@ src.script = detectors/AtomSpectra-Nano-16-PRO/analysis/export_curve.py
#@ src.spectra_sha1 = 9e77aa916928
#@ src.inputs_n = 61
#@ src.inputs_verdict = stamped
#@ obs.quantity = абсолютная эффективность по пику полного поглощения, отнесённая к 4pi
#@ obs.area = строгая: окно в три канала вокруг floor(E0)+0,5 минус континуум по наблюдаемому каналу
#@ obs.window = 3 канала по 1 кэВ; вычет шириной 1+дробная часть E0
#@ obs.shelf = не применимо — полок нет, оконная величина снята с публикации
#@ obs.blurred = нет — спектры не размывались
#@ obs.reference_plane = наружная поверхность торцевой крышки корпуса
# AtomSpectra Nano 16 PRO, точечный источник на оси кристалла
# постановка взята из шапок спектров, а не вписана здесь:
#   run_args = response_step50_500k.mac
#   solid_angle_frac = 0.09042391
#   front_face_z_mm = 32.600  (наружная поверхность крышки), work_face_y_mm = 10.100  (наружная поверхность стенки)
# наблюдаемая: абсолютная эффективность по ППП на 4pi
# src_sha1 = 9e77aa916928
# fwhm_662_keV = 41.60  (собственная запись Cs-137)
# escapes_keV = 28.60, 30.97
# подложка под линией: содержимое НАБЛЮДАЕМОГО канала (kc-1
#   при дробной E0, kc-2 при целой) на ширину 1+дробная часть
#   E0. Экстраполяции нет: прежняя линейная завышала вычет на
#   20-170 %% там, где истина наблюдаема (аудит 06.08.2026)
# d_eps_peak = дисперсия РАЗНОСТИ (окно минус подложка):
#   при дробной E0 вычитаемый канал kc-1 входит в окно, части
#   зависимы, Var = N(kc)+N(kc+1)+frac^2*N(kc-1); при целой E0
#   вычитается kc-2 вне окна, Var = сырое окно + N(kc-2)
# eps_peak — строгая (канал полного поглощения), ЕДИНСТВЕННАЯ
#   публикуемая величина по пику
# ОКОННАЯ величина eps_peak_win СНЯТА С ПУБЛИКАЦИИ: её левая
#   полка на жёстких узлах садится на размытый комптоновский
#   край, смещение относительно строгой доходит до десятков
#   процентов и меняет знак по диапазону. До замены конвенции
#   на общий модуль сравнивать с измеренными кривыми нечем
E_keV,eps_peak,d_eps_peak,eps_total,fep_counts,fep_raw_counts,fep_bg_counts,N_primaries,solid_angle_frac,fwhm_keV
30.000,1.575004e-03,1.733e-05,1.711905e-03,8709.0,8946,237.0,500000,0.09042391,8.86
80.000,1.701416e-03,1.777e-05,2.282119e-03,9408.0,9531,123.0,500000,0.09042391,14.47
130.000,1.745543e-03,1.783e-05,2.250109e-03,9652.0,9688,36.0,500000,0.09042391,18.44
180.000,1.621482e-03,1.716e-05,2.144132e-03,8966.0,8987,21.0,500000,0.09042391,21.70
230.000,1.451665e-03,1.622e-05,2.024772e-03,8027.0,8035,8.0,500000,0.09042391,24.53
280.000,1.280041e-03,1.522e-05,1.938689e-03,7078.0,7082,4.0,500000,0.09042391,27.06
330.000,1.064470e-03,1.388e-05,1.807936e-03,5886.0,5888,2.0,500000,0.09042391,29.38
380.000,9.270259e-04,1.295e-05,1.706842e-03,5126.0,5126,0.0,500000,0.09042391,31.53
430.000,8.129110e-04,1.213e-05,1.656747e-03,4495.0,4497,2.0,500000,0.09042391,33.54
480.000,7.109128e-04,1.134e-05,1.595620e-03,3931.0,3932,1.0,500000,0.09042391,35.43
530.000,6.255526e-04,1.064e-05,1.545706e-03,3459.0,3460,1.0,500000,0.09042391,37.23
580.000,5.577347e-04,1.005e-05,1.522377e-03,3084.0,3085,1.0,500000,0.09042391,38.95
630.000,4.996825e-04,9.506e-06,1.467761e-03,2763.0,2763,0.0,500000,0.09042391,40.59
680.000,4.481409e-04,9.003e-06,1.436113e-03,2478.0,2478,0.0,500000,0.09042391,42.17
730.000,3.973227e-04,8.477e-06,1.372273e-03,2197.0,2197,0.0,500000,0.09042391,43.70
780.000,3.727274e-04,8.210e-06,1.374263e-03,2061.0,2061,0.0,500000,0.09042391,45.17
830.000,3.541000e-04,8.002e-06,1.368837e-03,1958.0,1958,0.0,500000,0.09042391,46.59
880.000,3.235367e-04,7.649e-06,1.303009e-03,1789.0,1789,0.0,500000,0.09042391,47.98
930.000,3.087072e-04,7.472e-06,1.312774e-03,1707.0,1707,0.0,500000,0.09042391,49.32
980.000,2.839311e-04,7.166e-06,1.294690e-03,1570.0,1570,0.0,500000,0.09042391,50.63
1030.000,2.622293e-04,6.886e-06,1.265754e-03,1450.0,1450,0.0,500000,0.09042391,51.90
1080.000,2.701866e-04,6.995e-06,1.263041e-03,1494.0,1495,1.0,500000,0.09042391,53.15
1130.000,2.410701e-04,6.603e-06,1.241159e-03,1333.0,1333,0.0,500000,0.09042391,54.36
1180.000,2.287725e-04,6.432e-06,1.202276e-03,1265.0,1265,0.0,500000,0.09042391,55.55
1230.000,2.175599e-04,6.273e-06,1.189074e-03,1203.0,1203,0.0,500000,0.09042391,56.72
1280.000,2.106877e-04,6.173e-06,1.197755e-03,1165.0,1165,0.0,500000,0.09042391,57.86
1330.000,1.949539e-04,5.938e-06,1.164479e-03,1078.0,1078,0.0,500000,0.09042391,58.98
1380.000,1.813904e-04,5.727e-06,1.164298e-03,1003.0,1003,0.0,500000,0.09042391,60.08
1430.000,1.850073e-04,5.784e-06,1.136086e-03,1023.0,1023,0.0,500000,0.09042391,61.16
1480.000,1.703586e-04,5.556e-06,1.152543e-03,942.0,943,1.0,500000,0.09042391,62.22
1530.000,1.645715e-04,5.455e-06,1.125054e-03,910.0,910,0.0,500000,0.09042391,63.26
1580.000,1.555291e-04,5.310e-06,1.120533e-03,860.0,861,1.0,500000,0.09042391,64.28
1630.000,1.548057e-04,5.291e-06,1.116735e-03,856.0,856,0.0,500000,0.09042391,65.29
1680.000,1.443166e-04,5.109e-06,1.123065e-03,798.0,798,0.0,500000,0.09042391,66.29
1730.000,1.463059e-04,5.144e-06,1.118725e-03,809.0,809,0.0,500000,0.09042391,67.27
1780.000,1.387103e-04,5.009e-06,1.110767e-03,767.0,767,0.0,500000,0.09042391,68.23
1830.000,1.352742e-04,4.946e-06,1.110586e-03,748.0,748,0.0,500000,0.09042391,69.18
1880.000,1.267743e-04,4.788e-06,1.091597e-03,701.0,701,0.0,500000,0.09042391,70.12
1930.000,1.199021e-04,4.657e-06,1.079300e-03,663.0,663,0.0,500000,0.09042391,71.05
1980.000,1.092321e-04,4.445e-06,1.076045e-03,604.0,604,0.0,500000,0.09042391,71.96
2030.000,1.124873e-04,4.510e-06,1.072608e-03,622.0,622,0.0,500000,0.09042391,72.87
2080.000,1.117640e-04,4.496e-06,1.060492e-03,618.0,618,0.0,500000,0.09042391,73.76
2130.000,1.047109e-04,4.352e-06,1.047290e-03,579.0,579,0.0,500000,0.09042391,74.64
2180.000,9.910461e-05,4.234e-06,1.061215e-03,548.0,548,0.0,500000,0.09042391,75.51
2230.000,9.982800e-05,4.249e-06,1.071885e-03,552.0,552,0.0,500000,0.09042391,76.37
2280.000,1.016365e-04,4.287e-06,1.061396e-03,562.0,562,0.0,500000,0.09042391,77.22
2330.000,9.386002e-05,4.120e-06,1.036258e-03,519.0,519,0.0,500000,0.09042391,78.06
2380.000,8.572187e-05,3.937e-06,1.045300e-03,474.0,474,0.0,500000,0.09042391,78.90
2430.000,9.386002e-05,4.120e-06,1.086895e-03,519.0,519,0.0,500000,0.09042391,79.72
2480.000,8.554102e-05,3.933e-06,1.045481e-03,473.0,473,0.0,500000,0.09042391,80.54
2530.000,8.264745e-05,3.875e-06,1.042769e-03,457.0,458,1.0,500000,0.09042391,81.35
2580.000,8.138152e-05,3.836e-06,1.032460e-03,450.0,450,0.0,500000,0.09042391,82.15
2630.000,7.613693e-05,3.711e-06,1.042588e-03,421.0,421,0.0,500000,0.09042391,82.94
2680.000,7.649863e-05,3.719e-06,1.029386e-03,423.0,423,0.0,500000,0.09042391,83.72
2730.000,6.872217e-05,3.525e-06,1.001354e-03,380.0,380,0.0,500000,0.09042391,84.50
2780.000,6.619030e-05,3.460e-06,1.037343e-03,366.0,366,0.0,500000,0.09042391,85.27
2830.000,7.450930e-05,3.671e-06,1.057417e-03,412.0,412,0.0,500000,0.09042391,86.03
2880.000,7.288167e-05,3.630e-06,1.025950e-03,403.0,403,0.0,500000,0.09042391,86.79
2930.000,6.600945e-05,3.455e-06,1.037886e-03,365.0,365,0.0,500000,0.09042391,87.54
2980.000,5.823300e-05,3.245e-06,1.014195e-03,322.0,322,0.0,500000,0.09042391,88.28
3000.000,6.347758e-05,3.388e-06,1.023418e-03,351.0,351,0.0,500000,0.09042391,88.58
