# Источник: Payne S.A. et al., IEEE TNS 61 (2014) 2771, DOI 10.1109/TNS.2014.2343572, OSTI 1762905
# Панель: CsI(Tl)
# Температура: T_m40
# Способ: извлечение векторных путей PDF
# Дата генерации: 2026-09-03 22:20:49
# Оцифровка графика, не табличные данные автора
# ВНИМАНИЕ: данные Fig. 2 обрываются около 458 кэВ, поэтому
#   колонка rel_to_662 ПУСТА: нормировка на 662 кэВ из этого
#   рисунка недостижима. rel_to_max_E — нормировка на самую
#   высокую энергию кривой. К какой точке нормировал автор,
#   в тексте статьи не сказано (проверено поиском по тексту).
E_keV,rel_light_yield,rel_to_662,rel_to_max_E
6.517,1.3340,,1.3632
7.419,1.3284,,1.3574
8.575,1.3190,,1.3478
9.628,1.3002,,1.3286
10.502,1.2908,,1.3190
11.456,1.2782,,1.3062
12.496,1.2626,,1.2902
13.630,1.2594,,1.2870
14.443,1.2469,,1.2741
15.754,1.2375,,1.2645
16.694,1.2250,,1.2517
17.689,1.2218,,1.2485
18.744,1.2124,,1.2389
19.295,1.1999,,1.2261
21.047,1.1905,,1.2165
22.957,1.1717,,1.1973
25.042,1.1654,,1.1909
27.315,1.1529,,1.1781
28.944,1.1435,,1.1685
30.670,1.1403,,1.1653
33.454,1.1309,,1.1557
35.449,1.1215,,1.1461
37.563,1.1184,,1.1429
38.667,1.1153,,1.1397
40.973,1.1090,,1.1332
43.417,1.0996,,1.1236
44.693,1.1027,,1.1268
47.358,1.0933,,1.1172
48.750,1.0933,,1.1172
51.658,1.0839,,1.1076
53.176,1.0871,,1.1108
54.738,1.0871,,1.1108
56.347,1.0808,,1.1044
59.708,1.0777,,1.1012
61.462,1.0745,,1.0980
63.268,1.0745,,1.0980
65.128,1.0714,,1.0948
67.042,1.0651,,1.0884
69.012,1.0620,,1.0852
71.040,1.0620,,1.0852
73.128,1.0557,,1.0788
75.277,1.0589,,1.0820
77.489,1.0589,,1.0820
79.766,1.0557,,1.0788
82.110,1.0526,,1.0756
84.523,1.0463,,1.0692
87.007,1.0463,,1.0692
89.564,1.0463,,1.0692
92.196,1.0416,,1.0644
94.906,1.0401,,1.0628
97.695,1.0401,,1.0628
100.566,1.0401,,1.0628
103.521,1.0401,,1.0628
106.564,1.0354,,1.0580
109.695,1.0322,,1.0548
112.919,1.0275,,1.0500
116.237,1.0275,,1.0500
119.653,1.0275,,1.0500
123.170,1.0275,,1.0500
126.789,1.0260,,1.0484
130.515,1.0213,,1.0436
134.351,1.0228,,1.0452
138.299,1.0181,,1.0404
142.363,1.0197,,1.0420
146.547,1.0181,,1.0404
150.854,1.0150,,1.0372
155.287,1.0150,,1.0372
159.850,1.0134,,1.0356
164.548,1.0119,,1.0340
169.384,1.0134,,1.0356
174.361,1.0087,,1.0308
179.486,1.0087,,1.0308
184.760,1.0072,,1.0292
190.190,1.0056,,1.0276
195.779,1.0056,,1.0276
201.533,1.0072,,1.0292
207.455,1.0040,,1.0260
213.552,1.0025,,1.0244
219.828,1.0009,,1.0228
226.288,0.9993,,1.0212
232.938,0.9993,,1.0212
239.783,0.9978,,1.0196
246.830,0.9978,,1.0196
254.084,0.9962,,1.0180
261.551,0.9962,,1.0180
269.237,0.9962,,1.0180
277.149,0.9962,,1.0180
285.294,0.9946,,1.0164
293.678,0.9915,,1.0132
302.309,0.9899,,1.0116
311.193,0.9899,,1.0116
320.338,0.9884,,1.0100
329.752,0.9915,,1.0132
339.443,0.9899,,1.0116
349.418,0.9899,,1.0116
359.686,0.9884,,1.0100
370.257,0.9884,,1.0100
381.138,0.9868,,1.0084
392.339,0.9852,,1.0068
403.869,0.9852,,1.0068
415.737,0.9837,,1.0052
427.955,0.9837,,1.0052
440.532,0.9809,,1.0024
453.478,0.9796,,1.0010
457.932,0.9786,,1.0000
