# Источник: Payne S.A. et al., IEEE TNS 61 (2014) 2771, DOI 10.1109/TNS.2014.2343572, OSTI 1762905
# Панель: CsI(Tl)
# Температура: T_p40
# Способ: извлечение векторных путей PDF
# Дата генерации: 2026-09-03 22:20:49
# Оцифровка графика, не табличные данные автора
# ВНИМАНИЕ: данные Fig. 2 обрываются около 458 кэВ, поэтому
#   колонка rel_to_662 ПУСТА: нормировка на 662 кэВ из этого
#   рисунка недостижима. rel_to_max_E — нормировка на самую
#   высокую энергию кривой. К какой точке нормировал автор,
#   в тексте статьи не сказано (проверено поиском по тексту).
E_keV,rel_light_yield,rel_to_662,rel_to_max_E
5.266,1.0777,,1.0921
5.717,1.0933,,1.1080
6.607,1.1027,,1.1175
7.419,1.1153,,1.1302
8.575,1.1278,,1.1429
9.628,1.1341,,1.1493
10.502,1.1372,,1.1524
11.456,1.1424,,1.1577
12.496,1.1424,,1.1577
13.630,1.1403,,1.1556
14.443,1.1403,,1.1556
15.754,1.1372,,1.1524
16.694,1.1372,,1.1524
17.689,1.1341,,1.1493
18.744,1.1341,,1.1493
19.295,1.1341,,1.1493
21.047,1.1247,,1.1397
22.957,1.1215,,1.1365
25.042,1.1184,,1.1334
27.315,1.1121,,1.1270
28.944,1.1059,,1.1207
30.670,1.1027,,1.1175
33.454,1.1027,,1.1175
35.449,1.0996,,1.1143
37.563,1.0965,,1.1111
38.667,1.0871,,1.1016
40.973,1.0902,,1.1048
43.417,1.0871,,1.1016
44.693,1.0839,,1.0984
47.358,1.0808,,1.0953
48.750,1.0777,,1.0921
51.658,1.0777,,1.0921
53.176,1.0714,,1.0857
54.738,1.0714,,1.0857
56.347,1.0683,,1.0826
59.708,1.0651,,1.0794
61.462,1.0651,,1.0794
63.268,1.0620,,1.0762
65.128,1.0620,,1.0762
67.042,1.0589,,1.0730
69.012,1.0589,,1.0730
71.040,1.0557,,1.0699
73.128,1.0557,,1.0699
75.277,1.0526,,1.0667
77.489,1.0495,,1.0635
79.766,1.0495,,1.0635
82.110,1.0495,,1.0635
84.523,1.0463,,1.0603
87.007,1.0432,,1.0572
89.564,1.0432,,1.0572
92.196,1.0416,,1.0556
94.906,1.0401,,1.0540
97.695,1.0385,,1.0524
100.566,1.0369,,1.0508
103.521,1.0369,,1.0508
106.564,1.0369,,1.0508
109.695,1.0354,,1.0492
112.919,1.0338,,1.0476
116.237,1.0322,,1.0460
119.653,1.0291,,1.0429
123.170,1.0307,,1.0445
126.789,1.0291,,1.0429
130.515,1.0275,,1.0413
134.351,1.0260,,1.0397
138.299,1.0244,,1.0381
142.363,1.0228,,1.0365
146.547,1.0213,,1.0349
150.854,1.0213,,1.0349
155.287,1.0181,,1.0318
159.850,1.0181,,1.0318
164.548,1.0181,,1.0318
169.384,1.0150,,1.0286
174.361,1.0150,,1.0286
179.486,1.0150,,1.0286
184.760,1.0150,,1.0286
190.190,1.0119,,1.0254
195.779,1.0103,,1.0238
201.533,1.0087,,1.0222
207.455,1.0087,,1.0222
213.552,1.0056,,1.0191
219.828,1.0056,,1.0191
226.288,1.0056,,1.0191
232.938,1.0056,,1.0191
239.783,1.0040,,1.0175
246.830,1.0025,,1.0159
254.084,1.0025,,1.0159
261.551,1.0025,,1.0159
269.237,1.0025,,1.0159
277.149,1.0025,,1.0159
285.294,0.9993,,1.0127
293.678,0.9993,,1.0127
302.309,0.9962,,1.0095
311.193,0.9946,,1.0079
320.338,0.9962,,1.0095
329.752,0.9952,,1.0085
339.443,0.9931,,1.0064
349.418,0.9931,,1.0064
359.686,0.9931,,1.0064
370.257,0.9931,,1.0064
381.138,0.9910,,1.0042
392.339,0.9915,,1.0048
403.869,0.9915,,1.0048
415.737,0.9915,,1.0048
427.955,0.9915,,1.0048
440.532,0.9878,,1.0011
453.478,0.9883,,1.0015
457.932,0.9868,,1.0000
