# Источник: Payne S.A. et al., IEEE TNS 61 (2014) 2771, DOI 10.1109/TNS.2014.2343572, OSTI 1762905
# Панель: CsI(Tl)
# Температура: T_0
# Способ: извлечение векторных путей PDF
# Дата генерации: 2026-09-03 22:20:49
# Оцифровка графика, не табличные данные автора
# ВНИМАНИЕ: данные Fig. 2 обрываются около 458 кэВ, поэтому
#   колонка rel_to_662 ПУСТА: нормировка на 662 кэВ из этого
#   рисунка недостижима. rel_to_max_E — нормировка на самую
#   высокую энергию кривой. К какой точке нормировал автор,
#   в тексте статьи не сказано (проверено поиском по тексту).
E_keV,rel_light_yield,rel_to_662,rel_to_max_E
6.517,1.2030,,1.2191
7.419,1.2124,,1.2286
8.575,1.2183,,1.2346
9.628,1.2156,,1.2318
10.502,1.2156,,1.2318
11.456,1.2062,,1.2223
12.496,1.2062,,1.2223
13.630,1.2030,,1.2191
14.443,1.1905,,1.2064
15.754,1.1905,,1.2064
16.694,1.1874,,1.2032
17.689,1.1811,,1.1969
18.744,1.1748,,1.1905
19.295,1.1686,,1.1842
21.047,1.1592,,1.1747
22.957,1.1529,,1.1683
25.042,1.1466,,1.1620
27.315,1.1403,,1.1556
28.944,1.1309,,1.1461
30.670,1.1247,,1.1397
33.454,1.1153,,1.1302
35.449,1.1121,,1.1270
37.563,1.1090,,1.1238
38.667,1.1059,,1.1207
40.973,1.1027,,1.1175
43.417,1.0965,,1.1111
44.693,1.0933,,1.1080
47.358,1.0902,,1.1048
48.750,1.0871,,1.1016
51.658,1.0839,,1.0984
53.176,1.0871,,1.1016
54.738,1.0777,,1.0921
56.347,1.0777,,1.0921
59.708,1.0745,,1.0889
61.462,1.0745,,1.0889
63.268,1.0714,,1.0857
65.128,1.0651,,1.0794
67.042,1.0651,,1.0794
69.012,1.0589,,1.0730
71.040,1.0620,,1.0762
73.128,1.0557,,1.0699
75.277,1.0557,,1.0699
77.489,1.0557,,1.0699
79.766,1.0526,,1.0667
82.110,1.0526,,1.0667
84.523,1.0495,,1.0635
87.007,1.0463,,1.0603
89.564,1.0463,,1.0603
92.196,1.0463,,1.0603
94.906,1.0432,,1.0572
97.695,1.0401,,1.0540
100.566,1.0401,,1.0540
103.521,1.0401,,1.0540
106.564,1.0354,,1.0492
109.695,1.0354,,1.0492
112.919,1.0307,,1.0445
116.237,1.0322,,1.0460
119.653,1.0307,,1.0445
123.170,1.0275,,1.0413
126.789,1.0275,,1.0413
130.515,1.0260,,1.0397
134.351,1.0228,,1.0365
138.299,1.0228,,1.0365
142.363,1.0197,,1.0333
146.547,1.0181,,1.0318
150.854,1.0166,,1.0302
155.287,1.0166,,1.0302
159.850,1.0150,,1.0286
164.548,1.0134,,1.0270
169.384,1.0150,,1.0286
174.361,1.0134,,1.0270
179.486,1.0103,,1.0238
184.760,1.0103,,1.0238
190.190,1.0103,,1.0238
195.779,1.0066,,1.0201
201.533,1.0056,,1.0191
207.455,1.0072,,1.0206
213.552,1.0056,,1.0191
219.828,1.0025,,1.0159
226.288,1.0025,,1.0159
232.938,1.0025,,1.0159
239.783,1.0025,,1.0159
246.830,0.9993,,1.0127
254.084,0.9993,,1.0127
261.551,0.9993,,1.0127
269.237,0.9993,,1.0127
277.149,0.9962,,1.0095
285.294,0.9946,,1.0079
293.678,0.9962,,1.0095
302.309,0.9931,,1.0064
311.193,0.9931,,1.0064
320.338,0.9899,,1.0032
329.752,0.9931,,1.0064
339.443,0.9915,,1.0048
349.418,0.9899,,1.0032
359.686,0.9899,,1.0032
370.257,0.9878,,1.0011
381.138,0.9899,,1.0032
392.339,0.9884,,1.0016
403.869,0.9868,,1.0000
415.737,0.9868,,1.0000
427.955,0.9858,,0.9989
440.532,0.9852,,0.9984
453.478,0.9831,,0.9963
457.932,0.9868,,1.0000
