# Источник: Payne S.A. et al., IEEE TNS 61 (2014) 2771, DOI 10.1109/TNS.2014.2343572, OSTI 1762905
# Панель: CsI(Tl)
# Температура: T_0
# Способ: извлечение векторных путей PDF
# Дата генерации: 2026-09-03 22:20:49
# Оцифровка графика, не табличные данные автора
# ВНИМАНИЕ: данные Fig. 2 обрываются около 458 кэВ, поэтому
#   колонка rel_to_662 ПУСТА: нормировка на 662 кэВ из этого
#   рисунка недостижима. rel_to_max_E — нормировка на самую
#   высокую энергию кривой. К какой точке нормировал автор,
#   в тексте статьи не сказано (проверено поиском по тексту).
E_keV,rel_light_yield,rel_to_662,rel_to_max_E
3.753,1.0182,,1.0389
4.257,1.0309,,1.0519
4.789,1.0691,,1.0908
5.232,1.0786,,1.1006
5.716,1.0786,,1.1006
6.431,1.0977,,1.1200
7.452,1.1168,,1.1395
8.384,1.1168,,1.1395
9.433,1.1390,,1.1622
10.614,1.1454,,1.1687
11.595,1.1613,,1.1849
12.667,1.1618,,1.1855
13.436,1.1549,,1.1784
14.678,1.1549,,1.1784
15.570,1.1517,,1.1752
16.515,1.1549,,1.1784
17.518,1.1517,,1.1752
18.581,1.1549,,1.1784
19.710,1.1549,,1.1784
20.906,1.1517,,1.1752
22.839,1.1422,,1.1655
24.950,1.1358,,1.1590
27.257,1.1390,,1.1622
28.912,1.1422,,1.1655
30.668,1.1295,,1.1525
33.503,1.1231,,1.1460
35.537,1.1263,,1.1492
36.600,1.1231,,1.1460
38.822,1.1231,,1.1460
41.180,1.1199,,1.1427
43.680,1.1136,,1.1363
44.986,1.1168,,1.1395
47.718,1.1136,,1.1363
49.145,1.1040,,1.1265
50.615,1.1040,,1.1265
53.689,1.1040,,1.1265
55.295,1.0945,,1.1168
56.949,1.0913,,1.1135
58.652,1.0945,,1.1168
60.407,1.0913,,1.1135
62.214,1.0882,,1.1103
65.991,1.0786,,1.1006
67.965,1.0850,,1.1071
69.998,1.0786,,1.1006
72.092,1.0786,,1.1006
74.248,1.0786,,1.1006
76.469,1.0691,,1.0908
78.756,1.0691,,1.0908
81.112,1.0723,,1.0941
83.538,1.0627,,1.0843
86.037,1.0643,,1.0860
88.611,1.0595,,1.0811
91.261,1.0595,,1.0811
93.991,1.0532,,1.0746
96.803,1.0564,,1.0779
99.698,1.0500,,1.0714
102.681,1.0500,,1.0714
105.752,1.0436,,1.0649
108.915,1.0341,,1.0552
112.173,1.0373,,1.0584
115.528,1.0373,,1.0584
118.984,1.0341,,1.0552
122.543,1.0325,,1.0535
126.209,1.0357,,1.0568
129.984,1.0277,,1.0487
133.872,1.0309,,1.0519
137.876,1.0325,,1.0535
142.001,1.0246,,1.0454
146.248,1.0262,,1.0470
150.623,1.0230,,1.0438
155.128,1.0224,,1.0433
159.768,1.0214,,1.0422
164.547,1.0198,,1.0406
169.469,1.0235,,1.0443
174.539,1.0134,,1.0341
179.759,1.0182,,1.0389
202.252,1.0055,,1.0260
208.302,1.0118,,1.0324
214.532,1.0087,,1.0292
220.950,1.0118,,1.0324
227.559,1.0071,,1.0276
234.365,1.0055,,1.0260
241.376,1.0039,,1.0243
248.596,1.0055,,1.0260
256.032,1.0055,,1.0260
263.690,1.0007,,1.0211
271.578,1.0055,,1.0260
279.701,1.0118,,1.0324
305.559,1.0023,,1.0227
314.699,0.9970,,1.0173
324.113,1.0007,,1.0211
333.807,0.9991,,1.0195
343.792,0.9991,,1.0195
364.667,0.9848,,1.0049
375.575,0.9843,,1.0043
386.809,0.9832,,1.0032
398.380,0.9836,,1.0036
410.296,0.9864,,1.0065
422.568,0.9843,,1.0043
435.209,0.9832,,1.0032
448.227,0.9864,,1.0065
458.752,0.9801,,1.0000
