E_keV,measured,baseline,apparent
276.60,1.002042e-02,4.024650e-03,4.446838e-03
279.11,9.950184e-03,3.894651e-03,4.329658e-03
281.63,9.685586e-03,3.777395e-03,4.216785e-03
284.15,9.479788e-03,3.662914e-03,4.099442e-03
286.67,9.073091e-03,3.560243e-03,3.988107e-03
289.19,8.986525e-03,3.458058e-03,3.871641e-03
291.71,8.728461e-03,3.366762e-03,3.763271e-03
294.23,8.543895e-03,3.273768e-03,3.649441e-03
296.75,8.161699e-03,3.190703e-03,3.545672e-03
299.27,8.161699e-03,3.104484e-03,3.436867e-03
301.80,7.699469e-03,3.026857e-03,3.338688e-03
304.32,7.472438e-03,2.946594e-03,3.237529e-03
306.84,7.307472e-03,2.873229e-03,3.145561e-03
309.37,7.114741e-03,2.798906e-03,3.052729e-03
311.89,6.871376e-03,2.730650e-03,2.967327e-03
314.42,6.652511e-03,2.663639e-03,2.882630e-03
316.95,6.691711e-03,2.602292e-03,2.803433e-03
319.47,6.758677e-03,2.544293e-03,2.726098e-03
322.00,6.430380e-03,2.491416e-03,2.652381e-03
324.53,6.175582e-03,2.443164e-03,2.581492e-03
327.06,6.157615e-03,2.398905e-03,2.512571e-03
329.59,6.026950e-03,2.359312e-03,2.447445e-03
332.12,6.067783e-03,2.321806e-03,2.382960e-03
334.65,5.866884e-03,2.287901e-03,2.323300e-03
337.19,5.865251e-03,2.253530e-03,2.263269e-03
339.72,5.777052e-03,2.221230e-03,2.209080e-03
342.25,5.670886e-03,2.185637e-03,2.153730e-03
344.78,5.484688e-03,2.150722e-03,2.104679e-03
347.32,5.344222e-03,2.110866e-03,2.054976e-03
349.85,5.295223e-03,2.070357e-03,2.010515e-03
352.39,4.926092e-03,2.024922e-03,1.966461e-03
354.93,5.128624e-03,1.978241e-03,1.926245e-03
357.46,4.868926e-03,1.928176e-03,1.887298e-03
360.00,4.715394e-03,1.877036e-03,1.850865e-03
362.54,4.648428e-03,1.825147e-03,1.816308e-03
365.08,4.372397e-03,1.772694e-03,1.783065e-03
367.62,4.429563e-03,1.722436e-03,1.752146e-03
370.16,4.218865e-03,1.672018e-03,1.721483e-03
372.70,3.895468e-03,1.626232e-03,1.693510e-03
375.24,3.900367e-03,1.580281e-03,1.664865e-03
377.78,3.683136e-03,1.540081e-03,1.639019e-03
380.33,3.689669e-03,1.500232e-03,1.612349e-03
382.87,3.653736e-03,1.465199e-03,1.587820e-03
385.41,3.573704e-03,1.431247e-03,1.562917e-03
387.96,3.493671e-03,1.400424e-03,1.539244e-03
390.50,3.366272e-03,1.371097e-03,1.515763e-03
393.05,3.282973e-03,1.343375e-03,1.492704e-03
395.60,3.233973e-03,1.317421e-03,1.470401e-03
398.14,3.104941e-03,1.291875e-03,1.447783e-03
400.69,3.116374e-03,1.268462e-03,1.426487e-03
403.24,3.067374e-03,1.244606e-03,1.404173e-03
405.79,2.920376e-03,1.223162e-03,1.383518e-03
408.34,2.879543e-03,1.201350e-03,1.361800e-03
410.89,2.908942e-03,1.181548e-03,1.341310e-03
413.44,2.743977e-03,1.162051e-03,1.320247e-03
415.99,2.755410e-03,1.143922e-03,1.299660e-03
418.55,2.730911e-03,1.126760e-03,1.279105e-03
421.10,2.694978e-03,1.110373e-03,1.258296e-03
423.65,2.712944e-03,1.095425e-03,1.238162e-03
426.21,2.574112e-03,1.080688e-03,1.217081e-03
428.76,2.577379e-03,1.067593e-03,1.197247e-03
431.32,2.585545e-03,1.054407e-03,1.176213e-03
433.87,2.474479e-03,1.042575e-03,1.156450e-03
436.43,2.440180e-03,1.030802e-03,1.136086e-03
438.99,2.428746e-03,1.019707e-03,1.116398e-03
441.55,2.402613e-03,1.008898e-03,1.096965e-03
444.11,2.414047e-03,9.981717e-04,1.077658e-03
446.67,2.332381e-03,9.879543e-04,1.059452e-03
449.23,2.276848e-03,9.772943e-04,1.040875e-03
451.79,2.317681e-03,9.673081e-04,1.023996e-03
454.35,2.165782e-03,9.567525e-04,1.006844e-03
456.91,2.175582e-03,9.467006e-04,9.912348e-04
459.47,2.257248e-03,9.363999e-04,9.759979e-04
462.04,2.165782e-03,9.262503e-04,9.617462e-04
464.60,2.097183e-03,9.163315e-04,9.485046e-04
467.17,2.067783e-03,9.062793e-04,9.357469e-04
469.73,2.118416e-03,8.969489e-04,9.244330e-04
472.30,2.121682e-03,8.873175e-04,9.132307e-04
474.86,2.041650e-03,8.786424e-04,9.034876e-04
477.43,2.036750e-03,8.700165e-04,8.940558e-04
480.00,2.089016e-03,8.620318e-04,8.854947e-04
482.57,1.915884e-03,8.544929e-04,8.775047e-04
485.14,1.976317e-03,8.472384e-04,8.698618e-04
487.71,1.943650e-03,8.406467e-04,8.629348e-04
490.28,1.966517e-03,8.339134e-04,8.558833e-04
492.85,1.832585e-03,8.277705e-04,8.495051e-04
495.42,1.933851e-03,8.213664e-04,8.429706e-04
497.99,1.803185e-03,8.150053e-04,8.366669e-04
500.57,1.824418e-03,8.083811e-04,8.303513e-04
503.14,1.871784e-03,8.012295e-04,8.238514e-04
505.71,1.829318e-03,7.939260e-04,8.175362e-04
508.29,1.742752e-03,7.855664e-04,8.106569e-04
510.86,1.816252e-03,7.771949e-04,8.040667e-04
513.44,1.721519e-03,7.679606e-04,7.970331e-04
516.02,1.754185e-03,7.584794e-04,7.899663e-04
518.59,1.718252e-03,7.487933e-04,7.827886e-04
521.17,1.734586e-03,7.387482e-04,7.752504e-04
523.75,1.703552e-03,7.293092e-04,7.679345e-04
526.33,1.651286e-03,7.197211e-04,7.600574e-04
528.91,1.618620e-03,7.112669e-04,7.524731e-04
531.49,1.572887e-03,7.034773e-04,7.445845e-04
534.07,1.636586e-03,6.968744e-04,7.366264e-04
536.66,1.602287e-03,6.917166e-04,7.287690e-04
539.24,1.541854e-03,6.878828e-04,7.204492e-04
541.82,1.625153e-03,6.858488e-04,7.125076e-04
544.41,1.540220e-03,6.854154e-04,7.041176e-04
546.99,1.532054e-03,6.866979e-04,6.959035e-04
549.58,1.590853e-03,6.895658e-04,6.876149e-04
552.16,1.509187e-03,6.940492e-04,6.790983e-04
554.75,1.458555e-03,6.996282e-04,6.709274e-04
557.33,1.540220e-03,7.066405e-04,6.622926e-04
559.92,1.465088e-03,7.141236e-04,6.541214e-04
562.51,1.541854e-03,7.222474e-04,6.458297e-04
565.10,1.406288e-03,7.305279e-04,6.376264e-04
567.69,1.509187e-03,7.383404e-04,6.298152e-04
570.28,1.504287e-03,7.459565e-04,6.217379e-04
572.87,1.594120e-03,7.521983e-04,6.143445e-04
575.46,1.603920e-03,7.573760e-04,6.069189e-04
578.06,1.483054e-03,7.608875e-04,5.998523e-04
580.65,1.502654e-03,7.625950e-04,5.931816e-04
583.24,1.538587e-03,7.622888e-04,5.865168e-04
585.84,1.623520e-03,7.599494e-04,5.804933e-04
588.43,1.509187e-03,7.553523e-04,5.745156e-04
591.03,1.585953e-03,7.487076e-04,5.689593e-04
593.62,1.548387e-03,7.401591e-04,5.637222e-04
596.22,1.551654e-03,7.293263e-04,5.585710e-04
598.82,1.376889e-03,7.173540e-04,5.539212e-04
601.41,1.585953e-03,7.033618e-04,5.493138e-04
604.01,1.536954e-03,6.884773e-04,5.450649e-04
606.61,1.367089e-03,6.727144e-04,5.410566e-04
609.21,1.489588e-03,6.556729e-04,5.371427e-04
611.81,1.414455e-03,6.389633e-04,5.336281e-04
614.41,1.295223e-03,6.213103e-04,5.301805e-04
617.02,1.355655e-03,6.041104e-04,5.270469e-04
619.62,1.309922e-03,5.872067e-04,5.241470e-04
622.22,1.322989e-03,5.701093e-04,5.213768e-04
624.83,1.269089e-03,5.543392e-04,5.189647e-04
627.43,1.226623e-03,5.386130e-04,5.166845e-04
630.04,1.321356e-03,5.239997e-04,5.146897e-04
632.64,1.153124e-03,5.103713e-04,5.129417e-04
635.25,1.154757e-03,4.971128e-04,5.113551e-04
637.86,1.156390e-03,4.854262e-04,5.100733e-04
640.46,1.167824e-03,4.742695e-04,5.089597e-04
643.07,1.184157e-03,4.641886e-04,5.080717e-04
645.68,1.091058e-03,4.551892e-04,5.073907e-04
648.29,9.848918e-04,4.466054e-04,5.068510e-04
650.90,1.046958e-03,4.392895e-04,5.064983e-04
653.51,9.571254e-04,4.325080e-04,5.062555e-04
656.12,1.079624e-03,4.264121e-04,5.061059e-04
658.73,1.022458e-03,4.210999e-04,5.060157e-04
661.35,9.930584e-04,4.160869e-04,5.059240e-04
663.96,1.027358e-03,4.117941e-04,5.058021e-04
666.58,9.309922e-04,4.078789e-04,5.055887e-04
