metric,value
n_events,30000000
n_hits_in_crystal,21152
n_overflow,11685
r_disk_mm,300
z_disk_mm,100
disk_area_cm2,2827.433388
pdg_expected_per_s,47.21813758
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,21814.34998

bin_keV,counts,per_muon
263,5,1.666666667e-07
264,2,6.666666667e-08
265,4,1.333333333e-07
266,2,6.666666667e-08
267,3,1e-07
268,4,1.333333333e-07
269,8,2.666666667e-07
270,4,1.333333333e-07
271,3,1e-07
272,7,2.333333333e-07
273,0,0
274,5,1.666666667e-07
275,2,6.666666667e-08
276,5,1.666666667e-07
277,2,6.666666667e-08
278,2,6.666666667e-08
279,2,6.666666667e-08
280,6,2e-07
281,2,6.666666667e-08
282,4,1.333333333e-07
283,5,1.666666667e-07
284,1,3.333333333e-08
285,4,1.333333333e-07
286,2,6.666666667e-08
287,8,2.666666667e-07
288,4,1.333333333e-07
289,5,1.666666667e-07
290,4,1.333333333e-07
291,2,6.666666667e-08
292,5,1.666666667e-07
293,3,1e-07
294,2,6.666666667e-08
295,2,6.666666667e-08
296,1,3.333333333e-08
297,4,1.333333333e-07
298,4,1.333333333e-07
299,5,1.666666667e-07
300,3,1e-07
301,5,1.666666667e-07
302,5,1.666666667e-07
303,3,1e-07
304,5,1.666666667e-07
305,2,6.666666667e-08
306,2,6.666666667e-08
307,3,1e-07
308,6,2e-07
309,4,1.333333333e-07
310,5,1.666666667e-07
311,4,1.333333333e-07
312,3,1e-07
313,4,1.333333333e-07
314,3,1e-07
315,5,1.666666667e-07
316,6,2e-07
317,2,6.666666667e-08
318,5,1.666666667e-07
319,5,1.666666667e-07
320,4,1.333333333e-07
321,5,1.666666667e-07
322,1,3.333333333e-08
323,5,1.666666667e-07
324,6,2e-07
325,1,3.333333333e-08
326,6,2e-07
327,3,1e-07
328,5,1.666666667e-07
329,4,1.333333333e-07
330,2,6.666666667e-08
331,7,2.333333333e-07
332,4,1.333333333e-07
333,6,2e-07
334,1,3.333333333e-08
335,5,1.666666667e-07
336,3,1e-07
337,0,0
338,5,1.666666667e-07
339,2,6.666666667e-08
340,1,3.333333333e-08
341,3,1e-07
342,2,6.666666667e-08
343,4,1.333333333e-07
344,4,1.333333333e-07
345,4,1.333333333e-07
346,5,1.666666667e-07
347,3,1e-07
348,4,1.333333333e-07
349,3,1e-07
350,5,1.666666667e-07
351,6,2e-07
352,7,2.333333333e-07
353,3,1e-07
354,2,6.666666667e-08
355,4,1.333333333e-07
356,5,1.666666667e-07
357,1,3.333333333e-08
358,7,2.333333333e-07
359,2,6.666666667e-08
360,3,1e-07
361,4,1.333333333e-07
362,4,1.333333333e-07
363,7,2.333333333e-07
364,2,6.666666667e-08
365,2,6.666666667e-08
366,2,6.666666667e-08
367,1,3.333333333e-08
368,2,6.666666667e-08
369,1,3.333333333e-08
370,2,6.666666667e-08
371,4,1.333333333e-07
372,10,3.333333333e-07
373,1,3.333333333e-08
374,5,1.666666667e-07
375,7,2.333333333e-07
376,7,2.333333333e-07
377,3,1e-07
378,3,1e-07
379,4,1.333333333e-07
380,3,1e-07
381,4,1.333333333e-07
382,4,1.333333333e-07
383,3,1e-07
384,0,0
385,9,3e-07
386,3,1e-07
387,4,1.333333333e-07
388,5,1.666666667e-07
389,5,1.666666667e-07
390,3,1e-07
391,6,2e-07
392,3,1e-07
393,4,1.333333333e-07
394,7,2.333333333e-07
395,2,6.666666667e-08
396,5,1.666666667e-07
397,7,2.333333333e-07
398,5,1.666666667e-07
399,4,1.333333333e-07
400,3,1e-07
401,4,1.333333333e-07
