metric,value
n_events,100000000
n_hits_in_crystal,7758
n_overflow,4270
r_disk_mm,900
z_disk_mm,300
disk_area_cm2,25446.90049
pdg_expected_per_s,424.9632383
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,19708.55922

bin_keV,counts,per_muon
361,0,0
362,1,1e-08
363,2,2e-08
364,1,1e-08
365,1,1e-08
366,3,3e-08
367,1,1e-08
368,0,0
369,2,2e-08
370,2,2e-08
371,1,1e-08
372,1,1e-08
373,0,0
374,4,4e-08
375,2,2e-08
376,0,0
377,2,2e-08
378,1,1e-08
379,2,2e-08
380,2,2e-08
381,2,2e-08
382,1,1e-08
383,1,1e-08
384,1,1e-08
385,0,0
386,0,0
387,2,2e-08
388,2,2e-08
389,2,2e-08
390,1,1e-08
391,1,1e-08
392,2,2e-08
393,2,2e-08
394,4,4e-08
395,1,1e-08
396,1,1e-08
397,2,2e-08
398,0,0
399,3,3e-08
400,1,1e-08
401,1,1e-08
402,0,0
403,2,2e-08
404,1,1e-08
405,0,0
406,1,1e-08
407,0,0
408,2,2e-08
409,0,0
410,2,2e-08
411,1,1e-08
412,2,2e-08
413,2,2e-08
414,0,0
415,2,2e-08
416,1,1e-08
417,2,2e-08
418,0,0
419,2,2e-08
420,3,3e-08
421,0,0
422,0,0
423,0,0
424,1,1e-08
425,0,0
426,2,2e-08
427,1,1e-08
428,0,0
429,0,0
430,1,1e-08
431,0,0
432,0,0
433,1,1e-08
434,2,2e-08
435,1,1e-08
436,0,0
437,2,2e-08
438,2,2e-08
439,1,1e-08
440,2,2e-08
441,0,0
442,2,2e-08
443,1,1e-08
444,1,1e-08
445,1,1e-08
446,1,1e-08
447,3,3e-08
448,1,1e-08
449,1,1e-08
450,0,0
451,3,3e-08
452,3,3e-08
453,1,1e-08
454,3,3e-08
455,1,1e-08
456,0,0
457,0,0
458,2,2e-08
459,2,2e-08
460,0,0
461,1,1e-08
462,0,0
463,2,2e-08
464,1,1e-08
465,3,3e-08
466,2,2e-08
467,1,1e-08
468,1,1e-08
469,3,3e-08
470,1,1e-08
471,2,2e-08
472,1,1e-08
473,0,0
474,0,0
475,2,2e-08
476,1,1e-08
477,1,1e-08
478,0,0
479,1,1e-08
480,1,1e-08
481,2,2e-08
482,1,1e-08
483,0,0
484,1,1e-08
485,1,1e-08
486,1,1e-08
487,3,3e-08
488,2,2e-08
489,2,2e-08
490,1,1e-08
491,0,0
492,1,1e-08
493,0,0
494,2,2e-08
495,1,1e-08
496,0,0
497,0,0
498,1,1e-08
499,1,1e-08
500,1,1e-08
501,0,0
502,1,1e-08
503,0,0
504,2,2e-08
505,1,1e-08
506,3,3e-08
507,2,2e-08
508,1,1e-08
509,0,0
510,1,1e-08
511,1,1e-08
512,2,2e-08
513,1,1e-08
514,2,2e-08
515,2,2e-08
516,2,2e-08
517,1,1e-08
518,1,1e-08
519,2,2e-08
520,3,3e-08
521,1,1e-08
522,1,1e-08
523,1,1e-08
524,1,1e-08
525,1,1e-08
526,1,1e-08
527,1,1e-08
528,2,2e-08
529,3,3e-08
530,3,3e-08
531,0,0
532,1,1e-08
533,0,0
534,1,1e-08
535,1,1e-08
536,0,0
537,1,1e-08
538,3,3e-08
539,1,1e-08
540,0,0
541,0,0
542,2,2e-08
543,0,0
544,0,0
545,1,1e-08
546,1,1e-08
547,1,1e-08
548,0,0
549,2,2e-08
550,3,3e-08
551,3,3e-08
552,2,2e-08
553,3,3e-08
554,1,1e-08
555,0,0
556,0,0
557,5,5e-08
558,2,2e-08
559,2,2e-08
560,1,1e-08
561,0,0
562,1,1e-08
563,0,0
564,2,2e-08
565,0,0
566,1,1e-08
567,0,0
568,2,2e-08
569,1,1e-08
570,2,2e-08
571,0,0
572,2,2e-08
573,0,0
574,1,1e-08
575,0,0
576,1,1e-08
577,0,0
578,1,1e-08
579,1,1e-08
580,2,2e-08
581,2,2e-08
582,1,1e-08
583,1,1e-08
584,0,0
585,2,2e-08
586,1,1e-08
587,2,2e-08
588,2,2e-08
589,6,6e-08
590,1,1e-08
591,1,1e-08
592,0,0
593,2,2e-08
594,0,0
595,2,2e-08
596,2,2e-08
597,0,0
598,0,0
599,5,5e-08
600,2,2e-08
601,2,2e-08
602,0,0
603,1,1e-08
604,2,2e-08
605,2,2e-08
606,1,1e-08
607,1,1e-08
608,2,2e-08
609,2,2e-08
610,1,1e-08
611,0,0
612,0,0
613,1,1e-08
614,0,0
615,3,3e-08
616,0,0
617,0,0
618,1,1e-08
619,1,1e-08
620,0,0
621,0,0
622,0,0
623,1,1e-08
624,1,1e-08
625,1,1e-08
626,2,2e-08
627,2,2e-08
628,0,0
629,6,6e-08
630,2,2e-08
631,2,2e-08
632,2,2e-08
633,0,0
634,0,0
635,0,0
636,0,0
637,3,3e-08
638,2,2e-08
639,0,0
640,2,2e-08
641,2,2e-08
642,0,0
643,3,3e-08
644,1,1e-08
645,2,2e-08
646,0,0
647,1,1e-08
648,1,1e-08
649,0,0
650,2,2e-08
651,2,2e-08
652,1,1e-08
653,3,3e-08
654,1,1e-08
655,0,0
656,1,1e-08
657,1,1e-08
658,3,3e-08
659,1,1e-08
660,1,1e-08
661,1,1e-08
662,1,1e-08
663,1,1e-08
664,2,2e-08
665,1,1e-08
666,2,2e-08
667,0,0
668,3,3e-08
669,1,1e-08
670,1,1e-08
671,0,0
672,2,2e-08
673,0,0
674,1,1e-08
675,1,1e-08
676,0,0
677,1,1e-08
678,3,3e-08
679,1,1e-08
680,1,1e-08
681,0,0
682,1,1e-08
683,1,1e-08
684,0,0
685,2,2e-08
686,1,1e-08
687,0,0
688,1,1e-08
689,0,0
690,0,0
691,2,2e-08
692,0,0
693,2,2e-08
694,0,0
695,2,2e-08
696,2,2e-08
697,1,1e-08
698,1,1e-08
699,3,3e-08
700,2,2e-08
701,2,2e-08
702,2,2e-08
703,0,0
704,1,1e-08
705,0,0
706,1,1e-08
707,0,0
708,1,1e-08
709,1,1e-08
710,2,2e-08
711,0,0
712,3,3e-08
713,2,2e-08
714,2,2e-08
715,2,2e-08
716,1,1e-08
717,0,0
718,1,1e-08
719,0,0
720,0,0
721,2,2e-08
722,2,2e-08
723,1,1e-08
724,0,0
725,2,2e-08
726,0,0
727,0,0
728,2,2e-08
729,1,1e-08
730,4,4e-08
731,3,3e-08
732,0,0
733,0,0
734,2,2e-08
735,1,1e-08
736,0,0
737,0,0
738,2,2e-08
739,0,0
740,3,3e-08
741,3,3e-08
742,3,3e-08
743,0,0
744,0,0
745,0,0
746,0,0
747,1,1e-08
748,1,1e-08
749,0,0
750,1,1e-08
751,0,0
752,0,0
753,0,0
754,1,1e-08
755,1,1e-08
756,1,1e-08
757,1,1e-08
758,2,2e-08
759,2,2e-08
760,1,1e-08
761,2,2e-08
762,1,1e-08
763,1,1e-08
764,2,2e-08
765,1,1e-08
766,0,0
767,1,1e-08
768,1,1e-08
769,3,3e-08
770,3,3e-08
771,1,1e-08
772,1,1e-08
773,2,2e-08
774,1,1e-08
775,0,0
776,1,1e-08
777,0,0
778,1,1e-08
779,0,0
780,1,1e-08
781,1,1e-08
782,0,0
783,0,0
784,1,1e-08
785,3,3e-08
786,2,2e-08
787,2,2e-08
788,4,4e-08
789,2,2e-08
790,0,0
791,3,3e-08
792,0,0
793,1,1e-08
794,1,1e-08
795,3,3e-08
796,0,0
797,2,2e-08
798,1,1e-08
799,0,0
800,1,1e-08
801,3,3e-08
802,1,1e-08
803,1,1e-08
804,0,0
805,2,2e-08
806,1,1e-08
807,0,0
808,3,3e-08
809,2,2e-08
810,1,1e-08
811,0,0
812,1,1e-08
813,2,2e-08
814,2,2e-08
815,1,1e-08
816,0,0
817,3,3e-08
818,0,0
819,2,2e-08
820,1,1e-08
821,2,2e-08
822,1,1e-08
823,1,1e-08
824,1,1e-08
825,3,3e-08
826,2,2e-08
827,0,0
828,0,0
829,2,2e-08
830,0,0
831,1,1e-08
832,2,2e-08
833,3,3e-08
834,0,0
835,1,1e-08
836,1,1e-08
837,1,1e-08
838,0,0
839,4,4e-08
840,1,1e-08
841,2,2e-08
842,0,0
843,1,1e-08
844,0,0
845,1,1e-08
846,2,2e-08
847,1,1e-08
848,3,3e-08
849,1,1e-08
850,3,3e-08
851,0,0
852,3,3e-08
853,1,1e-08
854,3,3e-08
855,2,2e-08
856,1,1e-08
857,1,1e-08
858,0,0
859,1,1e-08
860,0,0
861,1,1e-08
862,0,0
863,1,1e-08
864,1,1e-08
865,1,1e-08
866,0,0
867,0,0
868,2,2e-08
869,3,3e-08
870,0,0
871,3,3e-08
872,1,1e-08
873,1,1e-08
874,2,2e-08
875,0,0
876,1,1e-08
877,2,2e-08
878,2,2e-08
879,2,2e-08
880,0,0
881,2,2e-08
882,1,1e-08
883,2,2e-08
884,2,2e-08
885,2,2e-08
886,0,0
887,3,3e-08
888,2,2e-08
889,0,0
890,1,1e-08
891,1,1e-08
892,0,0
893,3,3e-08
894,2,2e-08
895,1,1e-08
896,0,0
897,0,0
898,2,2e-08
899,1,1e-08
900,3,3e-08
901,2,2e-08
902,0,0
903,2,2e-08
904,2,2e-08
905,0,0
906,1,1e-08
907,3,3e-08
908,1,1e-08
909,0,0
910,3,3e-08
911,1,1e-08
912,1,1e-08
913,0,0
914,2,2e-08
915,1,1e-08
916,3,3e-08
917,2,2e-08
918,2,2e-08
919,2,2e-08
920,1,1e-08
921,1,1e-08
922,1,1e-08
923,1,1e-08
924,3,3e-08
925,2,2e-08
926,1,1e-08
927,1,1e-08
928,1,1e-08
929,0,0
930,1,1e-08
931,0,0
932,1,1e-08
933,2,2e-08
934,1,1e-08
935,1,1e-08
936,1,1e-08
937,2,2e-08
938,0,0
939,1,1e-08
940,1,1e-08
941,2,2e-08
942,2,2e-08
943,0,0
944,1,1e-08
945,3,3e-08
946,4,4e-08
947,1,1e-08
948,1,1e-08
949,0,0
950,1,1e-08
951,2,2e-08
952,1,1e-08
953,0,0
954,1,1e-08
955,1,1e-08
956,0,0
957,4,4e-08
958,1,1e-08
959,3,3e-08
960,1,1e-08
961,1,1e-08
962,1,1e-08
963,1,1e-08
964,1,1e-08
965,0,0
966,0,0
967,2,2e-08
968,1,1e-08
969,1,1e-08
970,0,0
971,0,0
972,3,3e-08
973,1,1e-08
974,0,0
975,1,1e-08
976,2,2e-08
977,2,2e-08
978,0,0
979,0,0
980,0,0
981,2,2e-08
982,4,4e-08
983,1,1e-08
984,1,1e-08
985,0,0
986,1,1e-08
987,2,2e-08
988,1,1e-08
989,2,2e-08
990,1,1e-08
991,0,0
992,0,0
993,1,1e-08
994,2,2e-08
995,2,2e-08
996,0,0
997,0,0
998,1,1e-08
999,0,0
1000,0,0
1001,2,2e-08
1002,0,0
1003,1,1e-08
1004,0,0
1005,0,0
1006,0,0
1007,1,1e-08
1008,0,0
1009,1,1e-08
1010,1,1e-08
1011,2,2e-08
1012,1,1e-08
1013,0,0
1014,2,2e-08
1015,1,1e-08
1016,0,0
1017,1,1e-08
1018,1,1e-08
1019,0,0
1020,2,2e-08
1021,0,0
1022,0,0
1023,0,0
1024,0,0
1025,3,3e-08
1026,3,3e-08
1027,1,1e-08
1028,1,1e-08
1029,2,2e-08
1030,1,1e-08
1031,0,0
1032,0,0
1033,0,0
1034,2,2e-08
1035,1,1e-08
1036,0,0
1037,2,2e-08
1038,2,2e-08
1039,3,3e-08
1040,0,0
1041,3,3e-08
1042,0,0
1043,1,1e-08
1044,0,0
1045,1,1e-08
1046,1,1e-08
1047,0,0
1048,0,0
1049,1,1e-08
1050,1,1e-08
1051,2,2e-08
1052,1,1e-08
1053,2,2e-08
1054,2,2e-08
1055,3,3e-08
1056,0,0
1057,5,5e-08
1058,0,0
1059,2,2e-08
1060,0,0
1061,1,1e-08
1062,2,2e-08
1063,0,0
1064,1,1e-08
1065,1,1e-08
1066,3,3e-08
1067,1,1e-08
1068,3,3e-08
1069,0,0
1070,3,3e-08
1071,0,0
1072,0,0
1073,1,1e-08
1074,0,0
1075,0,0
1076,0,0
1077,1,1e-08
1078,0,0
1079,2,2e-08
1080,2,2e-08
1081,2,2e-08
1082,1,1e-08
1083,2,2e-08
1084,0,0
1085,0,0
1086,2,2e-08
1087,0,0
1088,0,0
1089,2,2e-08
1090,0,0
1091,3,3e-08
1092,2,2e-08
1093,1,1e-08
1094,0,0
1095,1,1e-08
1096,1,1e-08
1097,0,0
1098,2,2e-08
1099,1,1e-08
1100,1,1e-08
1101,3,3e-08
1102,0,0
1103,1,1e-08
1104,0,0
1105,2,2e-08
1106,2,2e-08
1107,1,1e-08
1108,1,1e-08
1109,2,2e-08
1110,2,2e-08
1111,1,1e-08
1112,0,0
1113,2,2e-08
1114,1,1e-08
1115,3,3e-08
1116,0,0
1117,1,1e-08
1118,1,1e-08
1119,4,4e-08
1120,2,2e-08
1121,0,0
1122,2,2e-08
1123,1,1e-08
1124,0,0
1125,0,0
1126,2,2e-08
1127,1,1e-08
1128,3,3e-08
1129,0,0
1130,2,2e-08
1131,2,2e-08
1132,1,1e-08
1133,0,0
1134,1,1e-08
1135,1,1e-08
1136,1,1e-08
1137,1,1e-08
1138,1,1e-08
1139,0,0
1140,0,0
1141,0,0
1142,0,0
1143,1,1e-08
1144,0,0
1145,0,0
1146,1,1e-08
1147,1,1e-08
1148,2,2e-08
1149,2,2e-08
1150,1,1e-08
1151,2,2e-08
1152,1,1e-08
1153,2,2e-08
1154,0,0
1155,1,1e-08
1156,1,1e-08
1157,0,0
1158,0,0
1159,1,1e-08
1160,3,3e-08
1161,2,2e-08
1162,1,1e-08
1163,2,2e-08
1164,0,0
1165,2,2e-08
1166,1,1e-08
1167,2,2e-08
1168,1,1e-08
1169,1,1e-08
1170,3,3e-08
1171,0,0
1172,0,0
1173,1,1e-08
1174,0,0
1175,1,1e-08
1176,1,1e-08
1177,3,3e-08
1178,2,2e-08
1179,3,3e-08
1180,2,2e-08
1181,0,0
1182,3,3e-08
1183,1,1e-08
1184,1,1e-08
1185,2,2e-08
1186,2,2e-08
1187,1,1e-08
1188,2,2e-08
1189,3,3e-08
1190,2,2e-08
1191,0,0
1192,0,0
1193,1,1e-08
1194,1,1e-08
1195,1,1e-08
1196,0,0
1197,2,2e-08
1198,0,0
1199,1,1e-08
1200,1,1e-08
1201,3,3e-08
1202,1,1e-08
1203,2,2e-08
1204,1,1e-08
1205,1,1e-08
1206,1,1e-08
1207,3,3e-08
1208,0,0
1209,0,0
1210,1,1e-08
1211,1,1e-08
1212,0,0
1213,1,1e-08
1214,0,0
1215,0,0
1216,0,0
1217,2,2e-08
1218,0,0
1219,0,0
1220,4,4e-08
1221,0,0
1222,0,0
1223,0,0
1224,1,1e-08
1225,0,0
1226,2,2e-08
1227,0,0
1228,5,5e-08
1229,3,3e-08
1230,0,0
1231,1,1e-08
1232,1,1e-08
1233,4,4e-08
1234,3,3e-08
1235,2,2e-08
1236,1,1e-08
1237,2,2e-08
1238,1,1e-08
1239,3,3e-08
1240,0,0
1241,1,1e-08
1242,4,4e-08
1243,0,0
1244,0,0
1245,1,1e-08
1246,0,0
1247,2,2e-08
1248,0,0
1249,1,1e-08
1250,1,1e-08
1251,0,0
1252,2,2e-08
1253,2,2e-08
1254,1,1e-08
1255,3,3e-08
1256,0,0
1257,0,0
1258,0,0
