metric,value
n_events,100000000
n_hits_in_crystal,7857
n_overflow,4346
r_disk_mm,900
z_disk_mm,300
disk_area_cm2,25446.90049
pdg_expected_per_s,424.9632383
e_lo_gev,0.3
e_hi_gev,100
max_edep_keV,20530.84348

bin_keV,counts,per_muon
361,1,1e-08
362,0,0
363,3,3e-08
364,1,1e-08
365,2,2e-08
366,1,1e-08
367,1,1e-08
368,0,0
369,4,4e-08
370,0,0
371,1,1e-08
372,0,0
373,0,0
374,1,1e-08
375,2,2e-08
376,1,1e-08
377,4,4e-08
378,1,1e-08
379,1,1e-08
380,0,0
381,1,1e-08
382,1,1e-08
383,1,1e-08
384,3,3e-08
385,0,0
386,1,1e-08
387,0,0
388,0,0
389,1,1e-08
390,0,0
391,1,1e-08
392,4,4e-08
393,1,1e-08
394,3,3e-08
395,2,2e-08
396,0,0
397,0,0
398,1,1e-08
399,3,3e-08
400,2,2e-08
401,1,1e-08
402,3,3e-08
403,4,4e-08
404,3,3e-08
405,1,1e-08
406,2,2e-08
407,1,1e-08
408,1,1e-08
409,1,1e-08
410,2,2e-08
411,2,2e-08
412,0,0
413,0,0
414,1,1e-08
415,1,1e-08
416,3,3e-08
417,1,1e-08
418,1,1e-08
419,0,0
420,0,0
421,2,2e-08
422,1,1e-08
423,0,0
424,1,1e-08
425,1,1e-08
426,0,0
427,1,1e-08
428,0,0
429,1,1e-08
430,0,0
431,0,0
432,0,0
433,1,1e-08
434,0,0
435,1,1e-08
436,0,0
437,2,2e-08
438,1,1e-08
439,0,0
440,1,1e-08
441,1,1e-08
442,2,2e-08
443,1,1e-08
444,2,2e-08
445,0,0
446,2,2e-08
447,2,2e-08
448,1,1e-08
449,0,0
450,4,4e-08
451,0,0
452,1,1e-08
453,0,0
454,2,2e-08
455,3,3e-08
456,0,0
457,1,1e-08
458,1,1e-08
459,2,2e-08
460,1,1e-08
461,1,1e-08
462,1,1e-08
463,2,2e-08
464,2,2e-08
465,1,1e-08
466,0,0
467,0,0
468,3,3e-08
469,1,1e-08
470,0,0
471,2,2e-08
472,2,2e-08
473,1,1e-08
474,1,1e-08
475,0,0
476,1,1e-08
477,3,3e-08
478,0,0
479,0,0
480,1,1e-08
481,1,1e-08
482,1,1e-08
483,1,1e-08
484,1,1e-08
485,1,1e-08
486,0,0
487,0,0
488,0,0
489,2,2e-08
490,1,1e-08
491,1,1e-08
492,0,0
493,2,2e-08
494,2,2e-08
495,1,1e-08
496,0,0
497,0,0
498,5,5e-08
499,2,2e-08
500,1,1e-08
501,1,1e-08
502,2,2e-08
503,3,3e-08
504,3,3e-08
505,3,3e-08
506,3,3e-08
507,0,0
508,1,1e-08
509,0,0
510,2,2e-08
511,0,0
512,1,1e-08
513,0,0
514,1,1e-08
515,2,2e-08
516,3,3e-08
517,0,0
518,2,2e-08
519,0,0
520,1,1e-08
521,2,2e-08
522,1,1e-08
523,3,3e-08
524,4,4e-08
525,0,0
526,3,3e-08
527,1,1e-08
528,1,1e-08
529,0,0
530,4,4e-08
531,1,1e-08
532,0,0
533,2,2e-08
534,2,2e-08
535,1,1e-08
536,1,1e-08
537,0,0
538,0,0
539,1,1e-08
540,4,4e-08
541,2,2e-08
542,2,2e-08
543,2,2e-08
544,2,2e-08
545,2,2e-08
546,1,1e-08
547,1,1e-08
548,0,0
549,0,0
550,0,0
551,0,0
552,2,2e-08
553,0,0
554,1,1e-08
555,1,1e-08
556,2,2e-08
557,1,1e-08
558,0,0
559,1,1e-08
560,1,1e-08
561,2,2e-08
562,0,0
563,2,2e-08
564,0,0
565,4,4e-08
566,1,1e-08
567,1,1e-08
568,0,0
569,2,2e-08
570,2,2e-08
571,2,2e-08
572,1,1e-08
573,3,3e-08
574,2,2e-08
575,2,2e-08
576,0,0
577,3,3e-08
578,1,1e-08
579,0,0
580,0,0
581,4,4e-08
582,2,2e-08
583,2,2e-08
584,2,2e-08
585,0,0
586,2,2e-08
587,1,1e-08
588,2,2e-08
589,2,2e-08
590,0,0
591,1,1e-08
592,0,0
593,1,1e-08
594,0,0
595,1,1e-08
596,2,2e-08
597,1,1e-08
598,2,2e-08
599,2,2e-08
600,0,0
601,3,3e-08
602,0,0
603,2,2e-08
604,1,1e-08
605,1,1e-08
606,2,2e-08
607,1,1e-08
608,0,0
609,0,0
610,1,1e-08
611,1,1e-08
612,0,0
613,3,3e-08
614,2,2e-08
615,0,0
616,2,2e-08
617,0,0
618,2,2e-08
619,1,1e-08
620,3,3e-08
621,1,1e-08
622,0,0
623,1,1e-08
624,3,3e-08
625,1,1e-08
626,0,0
627,0,0
628,0,0
629,1,1e-08
630,1,1e-08
631,0,0
632,1,1e-08
633,2,2e-08
634,2,2e-08
635,1,1e-08
636,3,3e-08
637,2,2e-08
638,4,4e-08
639,0,0
640,1,1e-08
641,3,3e-08
642,3,3e-08
643,0,0
644,1,1e-08
645,1,1e-08
646,1,1e-08
647,1,1e-08
648,1,1e-08
649,5,5e-08
650,1,1e-08
651,3,3e-08
652,0,0
653,0,0
654,2,2e-08
655,2,2e-08
656,2,2e-08
657,1,1e-08
658,1,1e-08
659,0,0
660,1,1e-08
661,2,2e-08
662,2,2e-08
663,1,1e-08
664,2,2e-08
665,1,1e-08
666,1,1e-08
667,1,1e-08
668,0,0
669,2,2e-08
670,1,1e-08
671,0,0
672,1,1e-08
673,2,2e-08
674,2,2e-08
675,3,3e-08
676,1,1e-08
677,1,1e-08
678,1,1e-08
679,4,4e-08
680,0,0
681,3,3e-08
682,2,2e-08
683,3,3e-08
684,0,0
685,0,0
686,0,0
687,1,1e-08
688,0,0
689,2,2e-08
690,0,0
691,1,1e-08
692,1,1e-08
693,2,2e-08
694,1,1e-08
695,1,1e-08
696,1,1e-08
697,0,0
698,0,0
699,1,1e-08
700,0,0
701,1,1e-08
702,0,0
703,2,2e-08
704,2,2e-08
705,1,1e-08
706,0,0
707,1,1e-08
708,0,0
709,1,1e-08
710,2,2e-08
711,2,2e-08
712,1,1e-08
713,3,3e-08
714,2,2e-08
715,1,1e-08
716,0,0
717,0,0
718,0,0
719,0,0
720,3,3e-08
721,1,1e-08
722,1,1e-08
723,1,1e-08
724,0,0
725,2,2e-08
726,0,0
727,1,1e-08
728,1,1e-08
729,4,4e-08
730,2,2e-08
731,0,0
732,3,3e-08
733,1,1e-08
734,1,1e-08
735,1,1e-08
736,1,1e-08
737,3,3e-08
738,1,1e-08
739,3,3e-08
740,3,3e-08
741,1,1e-08
742,3,3e-08
743,1,1e-08
744,1,1e-08
745,2,2e-08
746,2,2e-08
747,1,1e-08
748,3,3e-08
749,2,2e-08
750,0,0
751,1,1e-08
752,2,2e-08
753,1,1e-08
754,1,1e-08
755,3,3e-08
756,0,0
757,0,0
758,2,2e-08
759,3,3e-08
760,0,0
761,3,3e-08
762,0,0
763,0,0
764,0,0
765,0,0
766,1,1e-08
767,2,2e-08
768,1,1e-08
769,0,0
770,0,0
771,1,1e-08
772,3,3e-08
773,2,2e-08
774,3,3e-08
775,0,0
776,2,2e-08
777,2,2e-08
778,1,1e-08
779,1,1e-08
780,2,2e-08
781,2,2e-08
782,1,1e-08
783,2,2e-08
784,2,2e-08
785,1,1e-08
786,0,0
787,1,1e-08
788,1,1e-08
789,0,0
790,1,1e-08
791,1,1e-08
792,0,0
793,5,5e-08
794,1,1e-08
795,2,2e-08
796,0,0
797,2,2e-08
798,4,4e-08
799,1,1e-08
800,0,0
801,0,0
802,3,3e-08
803,3,3e-08
804,0,0
805,1,1e-08
806,0,0
807,1,1e-08
808,1,1e-08
809,0,0
810,1,1e-08
811,2,2e-08
812,2,2e-08
813,4,4e-08
814,2,2e-08
815,0,0
816,2,2e-08
817,3,3e-08
818,0,0
819,0,0
820,1,1e-08
821,3,3e-08
822,0,0
823,1,1e-08
824,2,2e-08
825,1,1e-08
826,4,4e-08
827,0,0
828,0,0
829,1,1e-08
830,1,1e-08
831,0,0
832,2,2e-08
833,0,0
834,1,1e-08
835,1,1e-08
836,0,0
837,0,0
838,2,2e-08
839,1,1e-08
840,0,0
841,1,1e-08
842,0,0
843,1,1e-08
844,2,2e-08
845,0,0
846,0,0
847,1,1e-08
848,1,1e-08
849,0,0
850,3,3e-08
851,0,0
852,2,2e-08
853,2,2e-08
854,3,3e-08
855,1,1e-08
856,0,0
857,1,1e-08
858,3,3e-08
859,1,1e-08
860,0,0
861,1,1e-08
862,1,1e-08
863,0,0
864,1,1e-08
865,0,0
866,1,1e-08
867,0,0
868,0,0
869,1,1e-08
870,2,2e-08
871,2,2e-08
872,0,0
873,0,0
874,2,2e-08
875,1,1e-08
876,1,1e-08
877,1,1e-08
878,1,1e-08
879,0,0
880,1,1e-08
881,1,1e-08
882,2,2e-08
883,2,2e-08
884,1,1e-08
885,2,2e-08
886,0,0
887,0,0
888,0,0
889,1,1e-08
890,2,2e-08
891,3,3e-08
892,1,1e-08
893,2,2e-08
894,2,2e-08
895,1,1e-08
896,1,1e-08
897,1,1e-08
898,0,0
899,0,0
900,1,1e-08
901,1,1e-08
902,1,1e-08
903,1,1e-08
904,0,0
905,1,1e-08
906,2,2e-08
907,0,0
908,0,0
909,0,0
910,1,1e-08
911,0,0
912,2,2e-08
913,3,3e-08
914,3,3e-08
915,1,1e-08
916,0,0
917,1,1e-08
918,2,2e-08
919,2,2e-08
920,1,1e-08
921,0,0
922,1,1e-08
923,0,0
924,1,1e-08
925,3,3e-08
926,1,1e-08
927,0,0
928,0,0
929,2,2e-08
930,1,1e-08
931,1,1e-08
932,3,3e-08
933,2,2e-08
934,1,1e-08
935,1,1e-08
936,1,1e-08
937,1,1e-08
938,1,1e-08
939,1,1e-08
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,3,3e-08
946,1,1e-08
947,1,1e-08
948,4,4e-08
949,3,3e-08
950,2,2e-08
951,1,1e-08
952,0,0
953,2,2e-08
954,0,0
955,3,3e-08
956,1,1e-08
957,1,1e-08
958,0,0
959,2,2e-08
960,1,1e-08
961,1,1e-08
962,3,3e-08
963,0,0
964,1,1e-08
965,1,1e-08
966,1,1e-08
967,2,2e-08
968,2,2e-08
969,2,2e-08
970,3,3e-08
971,2,2e-08
972,0,0
973,3,3e-08
974,1,1e-08
975,0,0
976,1,1e-08
977,1,1e-08
978,2,2e-08
979,1,1e-08
980,0,0
981,1,1e-08
982,2,2e-08
983,3,3e-08
984,5,5e-08
985,2,2e-08
986,1,1e-08
987,5,5e-08
988,1,1e-08
989,1,1e-08
990,2,2e-08
991,0,0
992,2,2e-08
993,3,3e-08
994,5,5e-08
995,1,1e-08
996,1,1e-08
997,1,1e-08
998,0,0
999,2,2e-08
1000,1,1e-08
1001,1,1e-08
1002,0,0
1003,2,2e-08
1004,0,0
1005,0,0
1006,0,0
1007,0,0
1008,1,1e-08
1009,0,0
1010,0,0
1011,1,1e-08
1012,1,1e-08
1013,2,2e-08
1014,1,1e-08
1015,0,0
1016,1,1e-08
1017,0,0
1018,0,0
1019,3,3e-08
1020,4,4e-08
1021,1,1e-08
1022,1,1e-08
1023,1,1e-08
1024,5,5e-08
1025,0,0
1026,1,1e-08
1027,1,1e-08
1028,2,2e-08
1029,2,2e-08
1030,0,0
1031,0,0
1032,1,1e-08
1033,0,0
1034,0,0
1035,1,1e-08
1036,1,1e-08
1037,2,2e-08
1038,3,3e-08
1039,3,3e-08
1040,1,1e-08
1041,2,2e-08
1042,1,1e-08
1043,0,0
1044,1,1e-08
1045,0,0
1046,2,2e-08
1047,1,1e-08
1048,1,1e-08
1049,2,2e-08
1050,1,1e-08
1051,0,0
1052,0,0
1053,1,1e-08
1054,1,1e-08
1055,2,2e-08
1056,1,1e-08
1057,0,0
1058,2,2e-08
1059,2,2e-08
1060,0,0
1061,2,2e-08
1062,1,1e-08
1063,1,1e-08
1064,2,2e-08
1065,2,2e-08
1066,0,0
1067,1,1e-08
1068,2,2e-08
1069,1,1e-08
1070,2,2e-08
1071,5,5e-08
1072,2,2e-08
1073,2,2e-08
1074,1,1e-08
1075,0,0
1076,3,3e-08
1077,2,2e-08
1078,0,0
1079,1,1e-08
1080,2,2e-08
1081,0,0
1082,0,0
1083,1,1e-08
1084,1,1e-08
1085,1,1e-08
1086,4,4e-08
1087,2,2e-08
1088,3,3e-08
1089,1,1e-08
1090,1,1e-08
1091,4,4e-08
1092,1,1e-08
1093,0,0
1094,0,0
1095,0,0
1096,3,3e-08
1097,0,0
1098,0,0
1099,0,0
1100,2,2e-08
1101,3,3e-08
1102,2,2e-08
1103,0,0
1104,0,0
1105,1,1e-08
1106,0,0
1107,0,0
1108,0,0
1109,0,0
1110,1,1e-08
1111,2,2e-08
1112,1,1e-08
1113,1,1e-08
1114,0,0
1115,1,1e-08
1116,0,0
1117,0,0
1118,1,1e-08
1119,0,0
1120,1,1e-08
1121,0,0
1122,0,0
1123,0,0
1124,2,2e-08
1125,0,0
1126,3,3e-08
1127,3,3e-08
1128,3,3e-08
1129,0,0
1130,1,1e-08
1131,2,2e-08
1132,1,1e-08
1133,1,1e-08
1134,2,2e-08
1135,0,0
1136,1,1e-08
1137,0,0
1138,0,0
1139,1,1e-08
1140,0,0
1141,2,2e-08
1142,0,0
1143,1,1e-08
1144,1,1e-08
1145,2,2e-08
1146,1,1e-08
1147,0,0
1148,3,3e-08
1149,3,3e-08
1150,1,1e-08
1151,1,1e-08
1152,1,1e-08
1153,0,0
1154,0,0
1155,2,2e-08
1156,0,0
1157,2,2e-08
1158,0,0
1159,2,2e-08
1160,2,2e-08
1161,1,1e-08
1162,1,1e-08
1163,2,2e-08
1164,1,1e-08
1165,1,1e-08
1166,1,1e-08
1167,1,1e-08
1168,2,2e-08
1169,0,0
1170,1,1e-08
1171,0,0
1172,0,0
1173,2,2e-08
1174,1,1e-08
1175,2,2e-08
1176,1,1e-08
1177,1,1e-08
1178,2,2e-08
1179,0,0
1180,0,0
1181,0,0
1182,1,1e-08
1183,1,1e-08
1184,1,1e-08
1185,1,1e-08
1186,0,0
1187,1,1e-08
1188,4,4e-08
1189,1,1e-08
1190,0,0
1191,3,3e-08
1192,0,0
1193,1,1e-08
1194,1,1e-08
1195,0,0
1196,0,0
1197,1,1e-08
1198,1,1e-08
1199,1,1e-08
1200,0,0
1201,0,0
1202,4,4e-08
1203,0,0
1204,1,1e-08
1205,2,2e-08
1206,2,2e-08
1207,1,1e-08
1208,0,0
1209,3,3e-08
1210,2,2e-08
1211,1,1e-08
1212,1,1e-08
1213,2,2e-08
1214,3,3e-08
1215,1,1e-08
1216,3,3e-08
1217,1,1e-08
1218,1,1e-08
1219,0,0
1220,0,0
1221,1,1e-08
1222,1,1e-08
1223,0,0
1224,2,2e-08
1225,3,3e-08
1226,0,0
1227,0,0
1228,0,0
1229,2,2e-08
1230,1,1e-08
1231,2,2e-08
1232,2,2e-08
1233,0,0
1234,1,1e-08
1235,2,2e-08
1236,6,6e-08
1237,4,4e-08
1238,3,3e-08
1239,2,2e-08
1240,2,2e-08
1241,1,1e-08
1242,0,0
1243,1,1e-08
1244,1,1e-08
1245,1,1e-08
1246,2,2e-08
1247,6,6e-08
1248,1,1e-08
1249,0,0
1250,2,2e-08
1251,1,1e-08
1252,2,2e-08
1253,2,2e-08
1254,0,0
1255,0,0
1256,0,0
1257,0,0
1258,2,2e-08
1259,2,2e-08
1260,2,2e-08
1261,0,0
1262,0,0
1263,2,2e-08
1264,0,0
1265,0,0
1266,1,1e-08
1267,2,2e-08
1268,2,2e-08
1269,1,1e-08
1270,1,1e-08
1271,0,0
1272,0,0
1273,4,4e-08
1274,1,1e-08
1275,3,3e-08
1276,2,2e-08
1277,1,1e-08
1278,0,0
1279,4,4e-08
1280,2,2e-08
1281,1,1e-08
1282,0,0
1283,1,1e-08
1284,0,0
1285,0,0
1286,0,0
1287,3,3e-08
1288,0,0
1289,2,2e-08
1290,1,1e-08
1291,2,2e-08
1292,0,0
1293,1,1e-08
1294,2,2e-08
1295,2,2e-08
1296,1,1e-08
1297,4,4e-08
1298,2,2e-08
1299,1,1e-08
1300,2,2e-08
1301,0,0
1302,1,1e-08
1303,3,3e-08
1304,1,1e-08
1305,0,0
1306,2,2e-08
1307,0,0
1308,2,2e-08
1309,1,1e-08
1310,0,0
1311,2,2e-08
1312,3,3e-08
1313,1,1e-08
1314,2,2e-08
1315,0,0
1316,0,0
1317,0,0
1318,1,1e-08
1319,1,1e-08
1320,2,2e-08
1321,0,0
1322,1,1e-08
1323,3,3e-08
1324,4,4e-08
1325,2,2e-08
1326,0,0
1327,2,2e-08
1328,2,2e-08
1329,1,1e-08
1330,1,1e-08
1331,1,1e-08
1332,1,1e-08
1333,1,1e-08
1334,1,1e-08
1335,2,2e-08
1336,1,1e-08
1337,3,3e-08
1338,0,0
1339,1,1e-08
1340,2,2e-08
1341,0,0
1342,1,1e-08
1343,1,1e-08
1344,1,1e-08
1345,0,0
1346,1,1e-08
1347,0,0
1348,0,0
1349,2,2e-08
1350,1,1e-08
1351,0,0
1352,1,1e-08
1353,2,2e-08
1354,0,0
1355,1,1e-08
1356,2,2e-08
1357,1,1e-08
1358,1,1e-08
1359,2,2e-08
1360,2,2e-08
1361,1,1e-08
1362,1,1e-08
1363,1,1e-08
1364,1,1e-08
1365,1,1e-08
1366,1,1e-08
1367,1,1e-08
1368,1,1e-08
1369,1,1e-08
